,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,Madonna,Bausa,695731,https://open.spotify.com/track/0DAQryfUiFZdWFo76RYBc8
2,"Ohne Dich",KASIMIR1441,484364,https://open.spotify.com/track/4hSJUp6k7QeHLxU32MrLIU
3,"BAD EYEZ",Nimo,400316,https://open.spotify.com/track/5dDQDduj3EaWrPIZ9bc8tj
4,"Astronaut In The Ocean","Masked Wolf",365705,https://open.spotify.com/track/3VT8hOC5vuDXBsHrR53WFh
5,SMS,Samra,354689,https://open.spotify.com/track/65WZOMvIcnObuLEEZvlksc
6,"Wellerman - Sea Shanty / 220 KID x Billen Ted Remix","Nathan Evans",317711,https://open.spotify.com/track/3iw6V4LH7yPj1ESORX9RIN
7,"The Business",Tiësto,316455,https://open.spotify.com/track/6f3Slt0GbA2bPZlz0aIFXN
8,"drivers license","Olivia Rodrigo",288051,https://open.spotify.com/track/7lPN2DXiMsVn7XUKtOW1CS
9,"No Comprendo",Jamule,287564,https://open.spotify.com/track/5ezbc8nalmV7JqLQQfHwTV
10,"Your Love (9PM)",ATB,271112,https://open.spotify.com/track/5YaskwnGDZFDRipaqzbwQx
11,"Save Your Tears","The Weeknd",259675,https://open.spotify.com/track/5QO79kh1waicV47BqGRL3g
12,"WITHOUT YOU","The Kid LAROI",240840,https://open.spotify.com/track/27OeeYzk6klgBh83TSvGMA
13,"White Lies",VIZE,229429,https://open.spotify.com/track/2QuQkdLLzgktXwruPAz6f4
14,Brachland,"Kool Savas",227197,https://open.spotify.com/track/0HZsi7S5hOq6Vqdu5hBttZ
15,"Wenn sie ruft","Miksu / Macloud",216622,https://open.spotify.com/track/0O214XAfoQz8VVH83xpAjz
16,Adé,"PA Sports",206220,https://open.spotify.com/track/6ux4jXnopxlCQJM76XJRxf
17,"Girls Like Us","Zoe Wees",204821,https://open.spotify.com/track/5SFXOMJJ334Wn2PwBHeRZN
18,Whoopty,CJ,202867,https://open.spotify.com/track/1t9WgS8FN0534tLBRwbaxO
19,"Lost (feat. TOPIC42)",Samra,199467,https://open.spotify.com/track/19LqJBBfd73oeBc3CPgDdl
20,"Paradise (feat. Dermot Kennedy)",MEDUZA,198293,https://open.spotify.com/track/6ft4hAq6yde8jPZY2i5zLr
21,Angst,"Apache 207",198083,https://open.spotify.com/track/5yUzqd3H7cmJ1no6B4uTzu
22,"Head & Heart (feat. MNEK)","Joel Corry",197834,https://open.spotify.com/track/6cx06DFPPHchuUAcTxznu9
23,"Blinding Lights","The Weeknd",191509,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
24,"Love Not War (The Tampa Beat)","Jason Derulo",188887,https://open.spotify.com/track/4Lt6GXGzYsa1tgkv3nGSTm
25,"Mood (feat. iann dior)",24kGoldn,188823,https://open.spotify.com/track/3tjFYV6RSFtuktYl3ZtYcq
26,"All We Got (feat. KIDDO)","Robin Schulz",187476,https://open.spotify.com/track/1FP9s72rDYty6mfoOEYKnE
27,"Calling My Phone","Lil Tjay",173194,https://open.spotify.com/track/5Kskr9LcNYa0tpt5f0ZEJx
28,"Verdammt ich lieb' Dich","Mike Singer",172140,https://open.spotify.com/track/6PA5kMfB3Hbi7rFFKiRIf4
29,"Head Shoulders Knees & Toes (feat. Norma Jean Martine)",Ofenbach,171684,https://open.spotify.com/track/6i7zAdNhzUN2k1HcrBxPHG
30,Goosebumps,HVME,169151,https://open.spotify.com/track/20McUFi8KCIVdNDLrkTDuZ
31,"Rise Up (feat. Vamero)",VINAI,159003,https://open.spotify.com/track/46lyJh9GYmWsHez3EsvmAx
32,"Where The Lights Are Low","Toby Romeo",157757,https://open.spotify.com/track/0Cnb8XdGDMHAmIRBUJMkIS
33,Rapkiller,"Kool Savas",154035,https://open.spotify.com/track/04a5jHI3rPlt4r4kNIDc8N
34,Subwoofer,"SHINSKY x DIMA",149947,https://open.spotify.com/track/5zPT86unoFaNP2J348n1p0
35,"Lemonade (feat. Gunna, Don Toliver & NAV)","Internet Money",146628,https://open.spotify.com/track/7hxHWCCAIIxFLCzvDgnQHX
36,Lonely,"Miksu / Macloud",145727,https://open.spotify.com/track/2YjkalYiseRDPYjpzLu8Vl
37,"Wellerman - Sea Shanty","Nathan Evans",144321,https://open.spotify.com/track/54OBgO0Xwu20Jak9TMXbR7
38,Verlierer,LUNA,143214,https://open.spotify.com/track/6ZklqpekeC0KFGzyFVjQuj
39,Roller,"Apache 207",141685,https://open.spotify.com/track/6hw1Sy9wZ8UCxYGdpKrU6M
40,"Wer wenn nicht wir","Wincent Weiss",139709,https://open.spotify.com/track/5jYDCxuSx1mfApeWA4SlqX
41,"Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit",Riton,137211,https://open.spotify.com/track/4cG7HUWYHBV6R6tHn1gxrl
42,"My Head & My Heart","Ava Max",136840,https://open.spotify.com/track/1KixkQVDUHggZMU9dUobgm
43,"you broke me first","Tate McRae",134882,https://open.spotify.com/track/45bE4HXI0AwGZXfZtMp8JR
44,"coke light",Dardan,134422,https://open.spotify.com/track/31M6uFzb0yY2TjqfyuLU89
45,"Fly Away","Tones And I",128540,https://open.spotify.com/track/5ri4zqtWhG07hIuNNDWP76
46,"Irgendwie egal",Takt32,126321,https://open.spotify.com/track/1fAmxNqcMIv10kxqlJsLyu
47,Hypnotized,"Purple Disco Machine",126090,https://open.spotify.com/track/0vWUhCPxpJOJR5urYbZypB
48,"Prisoner (feat. Dua Lipa)","Miley Cyrus",125997,https://open.spotify.com/track/2Oycxb8QbPkpHTo8ZrmG0B
49,AMG,"Kool Savas",120957,https://open.spotify.com/track/4oPnjYqS5YYUpDpdm63pWa
50,Ordentlich,t-low,115688,https://open.spotify.com/track/4DnHEa1fuf3bn61AwT8Qiv
51,Afterglow,"Ed Sheeran",114329,https://open.spotify.com/track/0E4Y1XIbs8GrAT1YqVy6dq
52,"Jerusalema (feat. Nomcebo Zikode)","Master KG",113424,https://open.spotify.com/track/2MlOUXmcofMackX3bxfSwi
53,"Lebe Leben",Haftbefehl,112417,https://open.spotify.com/track/3mUroDCCTRCOM6H5PulZJA
