,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"MONTERO (Call Me By Your Name)","Lil Nas X",464418,https://open.spotify.com/track/3BZEcbdtXQSo7OrvKRJ6mb
2,"Frag mich nicht","Miksu / Macloud",464178,https://open.spotify.com/track/46zfTi4Wg6mmkOBPimtg6X
3,"Peaches (feat. Daniel Caesar & Giveon)","Justin Bieber",442803,https://open.spotify.com/track/4iJyoBOLtHqaGxP12qzhQI
4,Madonna,Bausa,364721,https://open.spotify.com/track/6a3kNt1UlUOapDKmEr3JzZ
5,"Astronaut In The Ocean","Masked Wolf",338725,https://open.spotify.com/track/3VT8hOC5vuDXBsHrR53WFh
6,"Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit",Riton,329242,https://open.spotify.com/track/4cG7HUWYHBV6R6tHn1gxrl
7,"Wellerman - Sea Shanty / 220 KID x Billen Ted Remix","Nathan Evans",309412,https://open.spotify.com/track/3iw6V4LH7yPj1ESORX9RIN
8,Diebe,Samra,257546,https://open.spotify.com/track/4allObWlgZ21WeVKbxSIlk
9,"Your Love (9PM)",ATB,256829,https://open.spotify.com/track/5YaskwnGDZFDRipaqzbwQx
10,Overdose,Jamule,248035,https://open.spotify.com/track/0iSNXzEBlNNJrqRiEIAw1s
11,"Cover Me In Sunshine",P!nk,243356,https://open.spotify.com/track/6Tio0ZoDeSQnI7EBAqWer2
12,"The Business",Tiësto,241827,https://open.spotify.com/track/6f3Slt0GbA2bPZlz0aIFXN
13,"Ohne Dich",KASIMIR1441,240521,https://open.spotify.com/track/4hSJUp6k7QeHLxU32MrLIU
14,"Wasted Love (feat. Lagique)",Ofenbach,238585,https://open.spotify.com/track/2pPO9YecZimmuVQfIzfV6U
15,"Save Your Tears","The Weeknd",222864,https://open.spotify.com/track/5QO79kh1waicV47BqGRL3g
16,"Girls Like Us","Zoe Wees",218687,https://open.spotify.com/track/5SFXOMJJ334Wn2PwBHeRZN
17,PEPPERMINT,Luciano,202347,https://open.spotify.com/track/6V1lWr7s8CO5VkxXe4hBtg
18,Ordentlich,t-low,194355,https://open.spotify.com/track/4DnHEa1fuf3bn61AwT8Qiv
19,"BAD EYEZ",Nimo,192306,https://open.spotify.com/track/5dDQDduj3EaWrPIZ9bc8tj
20,"WITHOUT YOU","The Kid LAROI",189453,https://open.spotify.com/track/27OeeYzk6klgBh83TSvGMA
