,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Frag mich nicht","Miksu / Macloud",479786,https://open.spotify.com/track/46zfTi4Wg6mmkOBPimtg6X
2,"MONTERO (Call Me By Your Name)","Lil Nas X",467950,https://open.spotify.com/track/67BtfxlNbhBmCDR2L2l8qd
3,"Leere Hände (feat. Sido & Samra)",SANTOS,384253,https://open.spotify.com/track/5QEqzFV7R8KSSCJa37tfvs
4,"Peaches (feat. Daniel Caesar & Giveon)","Justin Bieber",379444,https://open.spotify.com/track/4iJyoBOLtHqaGxP12qzhQI
5,"KIDS FROM THE BLOCK",Luciano,352388,https://open.spotify.com/track/26hbmLeqiz8loWjFshsegF
6,"Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit",Riton,340266,https://open.spotify.com/track/4cG7HUWYHBV6R6tHn1gxrl
7,Madonna,Bausa,332982,https://open.spotify.com/track/6a3kNt1UlUOapDKmEr3JzZ
8,"UNTER VERDACHT","Capital Bra",317811,https://open.spotify.com/track/54AnAMobwJ5ElDCTcPFJk5
9,"Astronaut In The Ocean","Masked Wolf",312830,https://open.spotify.com/track/3VT8hOC5vuDXBsHrR53WFh
10,"Wellerman - Sea Shanty / 220 KID x Billen Ted Remix","Nathan Evans",277100,https://open.spotify.com/track/3iw6V4LH7yPj1ESORX9RIN
11,"Cover Me In Sunshine",P!nk,259789,https://open.spotify.com/track/6Tio0ZoDeSQnI7EBAqWer2
12,"Your Love (9PM)",ATB,252618,https://open.spotify.com/track/5YaskwnGDZFDRipaqzbwQx
13,ANGEKOMMEN,Ufo361,245209,https://open.spotify.com/track/0MYlBBu6RZktCUKz9If4wF
14,"Wasted Love (feat. Lagique)",Ofenbach,237786,https://open.spotify.com/track/2pPO9YecZimmuVQfIzfV6U
15,"The Business",Tiësto,234168,https://open.spotify.com/track/6f3Slt0GbA2bPZlz0aIFXN
16,"Unter dem Radar","AK AUSSERKONTROLLE",226531,https://open.spotify.com/track/4NOSbom2QAjXJoyoJZehGe
17,"Ohne Dich",KASIMIR1441,224648,https://open.spotify.com/track/4hSJUp6k7QeHLxU32MrLIU
18,RAPSTAR,"Polo G",212537,https://open.spotify.com/track/43PGPuHIlVOc04jrZVh9L6
19,"Save Your Tears","The Weeknd",206908,https://open.spotify.com/track/5QO79kh1waicV47BqGRL3g
20,"Girls Like Us","Zoe Wees",190696,https://open.spotify.com/track/5SFXOMJJ334Wn2PwBHeRZN
21,"BAD EYEZ",Nimo,188438,https://open.spotify.com/track/5dDQDduj3EaWrPIZ9bc8tj
22,PEPPERMINT,Luciano,188167,https://open.spotify.com/track/6V1lWr7s8CO5VkxXe4hBtg
23,Runaway,AURORA,184750,https://open.spotify.com/track/1v1oIWf2Xgh54kIWuKsDf6
24,"Drei Uhr Nachts","Mark Forster",178587,https://open.spotify.com/track/58GxgFEG5uHc9oMhofuuIP
25,Overdose,Jamule,178227,https://open.spotify.com/track/0iSNXzEBlNNJrqRiEIAw1s
26,"WITHOUT YOU","The Kid LAROI",171646,https://open.spotify.com/track/27OeeYzk6klgBh83TSvGMA
27,ZART,Nimo,166349,https://open.spotify.com/track/1WUXlAFlKIu7fixKZvQECX
28,"Niemand bringt Marten um",Marteria,166099,https://open.spotify.com/track/0nYSnbFVX5ghrERjwVZgwZ
29,"Head & Heart (feat. MNEK)","Joel Corry",160330,https://open.spotify.com/track/6cx06DFPPHchuUAcTxznu9
30,"Faded Love",Leony,160096,https://open.spotify.com/track/3RcXFW8aiRYHRaDDYBqJ76
31,"Wer wenn nicht wir","Wincent Weiss",156058,https://open.spotify.com/track/5jYDCxuSx1mfApeWA4SlqX
32,Arcade,"Duncan Laurence",155775,https://open.spotify.com/track/1J14CdDAvBTE1AJYUOwl6C
33,"White Lies",VIZE,152268,https://open.spotify.com/track/2QuQkdLLzgktXwruPAz6f4
34,"Paradise (feat. Dermot Kennedy)",MEDUZA,151724,https://open.spotify.com/track/6ft4hAq6yde8jPZY2i5zLr
35,"drivers license","Olivia Rodrigo",149982,https://open.spotify.com/track/7lPN2DXiMsVn7XUKtOW1CS
36,"Das ist alles von der Kunstfreiheit gedeckt","Danger Dan",147268,https://open.spotify.com/track/4ioQKdmkdBTkqjhfHeu4YU
37,"Kiss Me More (feat. SZA)","Doja Cat",147072,https://open.spotify.com/track/748mdHapucXQri7IAO8yFK
38,"OK (feat. Summer Cem, Nimo & JAY1)","DJ JEEZY",145264,https://open.spotify.com/track/1hpzB1BMURqy30tHpLkQfp
39,"Wellerman - Sea Shanty","Nathan Evans",145156,https://open.spotify.com/track/54OBgO0Xwu20Jak9TMXbR7
40,Ordentlich,t-low,144485,https://open.spotify.com/track/4DnHEa1fuf3bn61AwT8Qiv
41,"Love Again (feat. Alida)",Alok,143895,https://open.spotify.com/track/63bWXWGcWnRQvdS8bJWdkB
42,"Blinding Lights","The Weeknd",143640,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
43,"Head Shoulders Knees & Toes (feat. Norma Jean Martine)",Ofenbach,142724,https://open.spotify.com/track/6i7zAdNhzUN2k1HcrBxPHG
44,"Love Not War (The Tampa Beat)","Jason Derulo",140650,https://open.spotify.com/track/4Lt6GXGzYsa1tgkv3nGSTm
45,Frisch,01099,136512,https://open.spotify.com/track/7toCqux0Ln42OttYYyds4k
46,Roller,"Apache 207",135566,https://open.spotify.com/track/6hw1Sy9wZ8UCxYGdpKrU6M
47,"Levitating (feat. DaBaby)","Dua Lipa",134430,https://open.spotify.com/track/5nujrmhLynf4yMoMtj8AQF
48,"Fuck Love",Samo104,133788,https://open.spotify.com/track/0HhifV2v8vcNC4I3gpnwf3
49,"Deine Schuld",AYLIVA,133259,https://open.spotify.com/track/1dXz1boMWgpeiNcTK3jRtU
50,"Mood (feat. iann dior)",24kGoldn,132068,https://open.spotify.com/track/4jPy3l0RUwlUI9T5XHBW2m
