,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
55,"HIGHWAY (feat. ELIF)","Katja Krasavice",110157,https://open.spotify.com/track/6QVxJg8q95hEuPgNRb56jK
56,Paradies,Gzuz,109970,https://open.spotify.com/track/6qNLO4HzHeVvHxTaCFMXrf
57,"We're Good","Dua Lipa",108404,https://open.spotify.com/track/1diS6nkxMQc3wwC4G1j0bh
58,Lovefool,twocolors,108311,https://open.spotify.com/track/51Of5p3lKZeOg6itfs4og4
59,"Der letzte Tanz",Bosse,104328,https://open.spotify.com/track/3JtIS5WNPJokeMeEVnWWEM
60,AMG,"Kool Savas",103971,https://open.spotify.com/track/4oPnjYqS5YYUpDpdm63pWa
61,"ROCKSTAR (feat. Roddy Ricch)",DaBaby,103307,https://open.spotify.com/track/7ytR5pFWmSjzHJIeQkgog4
62,Airwaves,Pashanim,103262,https://open.spotify.com/track/5CqkgDH8QZjSqqI3HmYxDD
63,Bläulich,"Apache 207",103100,https://open.spotify.com/track/2WRTnY0slmFgWcrmEr8dPj
64,"Breaking Me",Topic,102743,https://open.spotify.com/track/3H7ihDc1dqLriiWXwsc2po
65,Paradise,VIZE,102742,https://open.spotify.com/track/2qpZjutAe3pstQsjwSXQb4
66,Frisch,01099,102648,https://open.spotify.com/track/2iKPlIQFubIq7tcK2MUMBp
67,HOLIDAY,"Lil Nas X",102502,https://open.spotify.com/track/6zFMeegAMYQo0mt8rXtrli
68,"Easy Peasy",FiNCH,101693,https://open.spotify.com/track/6bW4olKzz8M2BRYNU1ASUi
69,Unterwegs,KitschKrieg,101330,https://open.spotify.com/track/7mrWTjhYctgEQb0lJKrVWy
70,"Savage Love (Laxed - Siren Beat)","Jawsh 685",101324,https://open.spotify.com/track/1xQ6trAsedVPCdbtDAmk0c
71,"Wieder am Block",Haftbefehl,100697,https://open.spotify.com/track/3dPL3n8Q8z8oeCtbPxkE7m
72,Hell,"PA Sports",98693,https://open.spotify.com/track/1CFBjAXDYaKLyxGMrijeo1
73,"What You Know Bout Love","Pop Smoke",98479,https://open.spotify.com/track/1tkg4EHVoqnhR6iFEXb60y
74,Angeklagt,"Bonez MC",98246,https://open.spotify.com/track/5eu4Lxm5TlI0tKSTTDWJAT
75,7,Ufo361,97716,https://open.spotify.com/track/3ipliatTDndCmnYGaNiAbI
76,"Dance Monkey","Tones And I",97713,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
77,Monet,Alligatoah,97436,https://open.spotify.com/track/2vS1HmVoOpvWeFKf7HnWdJ
78,"gebe auf.",Lune,96890,https://open.spotify.com/track/1upzszB5JxMfNUEBmkcgaO
79,"Never Let Me Down",VIZE,95782,https://open.spotify.com/track/5TGcyccg8Hkgn9jB7gUpMN
80,"ALLES DOPE",CRO,95326,https://open.spotify.com/track/7HZMdCSq7oUYmn6OHU6kSB
81,Wohin,Monet192,95166,https://open.spotify.com/track/0KFRdJLIcr3Tozz6bpAHNV
82,Habibi,"Ricky Rich",94974,https://open.spotify.com/track/5lrq8sHObtY0xMmF7Ukzl7
83,"Wasted Love (feat. Lagique)",Ofenbach,92937,https://open.spotify.com/track/2pPO9YecZimmuVQfIzfV6U
84,SugarCrash!,ElyOtto,91559,https://open.spotify.com/track/3FxPbp05KjMBa4HbhAJTH0
85,Habibi,Casar,90922,https://open.spotify.com/track/5wvuvSerLcNK5Xc8v2duWn
86,"Floating Through Space",Sia,90898,https://open.spotify.com/track/0XwSUpdrF7nR7hVxbDs7mb
87,"NO HUGS",Ufo361,90833,https://open.spotify.com/track/6lWncv0txvt3Qwf5jY3ogH
88,Anyone,"Justin Bieber",90651,https://open.spotify.com/track/31qCy5ZaophVA81wtlwLc4
89,"Bayrisch Drip",Sääftig,90465,https://open.spotify.com/track/3ECbHfRSFMjfm99YFvAD4x
90,"Baila Conmigo (with Rauw Alejandro)","Selena Gomez",89758,https://open.spotify.com/track/0D75ciM842cdUMKSMfAR9y
91,"Lebe Leben",Haftbefehl,88228,https://open.spotify.com/track/3mUroDCCTRCOM6H5PulZJA
92,Streets,"Doja Cat",86961,https://open.spotify.com/track/60ynsPSSKe6O3sfwRnIBRf
93,Up,"Cardi B",86926,https://open.spotify.com/track/1M4OcYkxAtu3ErzSgDEfoi
94,"Take You Dancing","Jason Derulo",86519,https://open.spotify.com/track/59qrUpoplZxbIZxk6X0Bm3
95,"Heat Waves","Glass Animals",83749,https://open.spotify.com/track/02MWAaffLxlfxAUY7c5dvx
96,"Someone You Loved","Lewis Capaldi",82784,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
97,Fame,"Apache 207",82595,https://open.spotify.com/track/0QjjaCaXE45mvhCnV3C0TA
98,JUANA,Akuma,82519,https://open.spotify.com/track/4n1aHlA4W31SWNnNiqD4Gf
99,"For a Second","Michael Schulte",82043,https://open.spotify.com/track/5qYf19BLOheApfe6NqhDPg
100,"Goosebumps - Remix","Travis Scott",81403,https://open.spotify.com/track/5uEYRdEIh9Bo4fpjDd4Na9
101,"Die Straße lebt",XATAR,80535,https://open.spotify.com/track/04QJg9WAFJEECNFVlNbH3b
102,"Devil Eyes","Hippie Sabotage",79888,https://open.spotify.com/track/7MiZjKawmXTsTNePyTfPyL
103,Elbe,Bozza,78759,https://open.spotify.com/track/2kvJnNMqnimkCZUUWjOINy
104,"Star Shopping","Lil Peep",78709,https://open.spotify.com/track/30bqVoKjX479ab90a8Pafp
105,"In meinem Benz","AK AUSSERKONTROLLE",77828,https://open.spotify.com/track/3dy7SaVShdnjwtx9IXhtzg
106,"Close Your Eyes","Felix Jaehn",77480,https://open.spotify.com/track/7N06jo3EnV792VFaG8vuW6
107,"Fuck Love",Samo104,75386,https://open.spotify.com/track/0HhifV2v8vcNC4I3gpnwf3
108,"Lifestyle (feat. Adam Levine)","Jason Derulo",75173,https://open.spotify.com/track/0osvOdeD3YXZiWkT8MKolJ
109,"Big (feat. Gunna)","Rita Ora",74869,https://open.spotify.com/track/0BjfodYJYki5xbxHJZe0Cf
110,Übermorgen,"Mark Forster",74629,https://open.spotify.com/track/1NP7bzm8UksJUWXsuFoOwE
111,"Watermelon Sugar","Harry Styles",74174,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
112,"NICHT WACH",Luciano,74148,https://open.spotify.com/track/3s60n518rusOQcNmLRIGZH
113,Robbery,"Juice WRLD",74007,https://open.spotify.com/track/6Hj9jySrnFppAI0sEMCZpJ
114,"Lucid Dreams","Juice WRLD",73886,https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR
115,"Therefore I Am","Billie Eilish",73414,https://open.spotify.com/track/54bFM56PmE4YLRnqpW6Tha
116,"Dicka Was","Kool Savas",73308,https://open.spotify.com/track/4yXWWUOZ2TfI5PODkiPkeK
117,"Can't Hold Us (feat. Ray Dalton)","Macklemore & Ryan Lewis",73142,https://open.spotify.com/track/3bidbhpOYeV4knp8AIu8Xn
118,Dior,"Pop Smoke",73008,https://open.spotify.com/track/79s5XnCN4TJKTVMSmOx8Ep
119,"Hello (feat. A Boogie Wit da Hoodie)","Pop Smoke",72923,https://open.spotify.com/track/2r6OAV3WsYtXuXjvJ1lIDi
120,"For The Night (feat. Lil Baby & DaBaby)","Pop Smoke",72912,https://open.spotify.com/track/0PvFJmanyNQMseIFrU708S
121,"WINGS 2.0",Ufo361,72840,https://open.spotify.com/track/6aYOUPYfjhOvj9E1wR1QPE
122,"Gece Gündüz",Murda,72258,https://open.spotify.com/track/4jq1WK3fiUU2SOhZ0iaMP1
123,"Some Say - Felix Jaehn Remix",Nea,71951,https://open.spotify.com/track/7C1trmcQQ5n5RNy4l6ziCv
124,"Ride It",Regard,71811,https://open.spotify.com/track/2tnVG71enUj33Ic2nFN6kZ
125,"Optik 4 Life","Kool Savas",71702,https://open.spotify.com/track/3rM4JL6TosTiIqKTWJVB1J
126,positions,"Ariana Grande",71536,https://open.spotify.com/track/35mvY5S1H3J2QZyna3TFe0
127,110,"Capital Bra",71410,https://open.spotify.com/track/67ojvEGRPAUCOohuMPqoRC
128,DÁKITI,"Bad Bunny",71141,https://open.spotify.com/track/4MzXwWMhyBbmu6hOcLVD49
129,Lauf,Noah,71141,https://open.spotify.com/track/0jndTxTVIWHswm2Wh2S8is
130,"I Need You To Hate Me","JC Stewart",71045,https://open.spotify.com/track/1zY6ekSJ8VI6tZ6nBqoo7g
131,"I Got Bitches",A2M,70858,https://open.spotify.com/track/6gPqBegU4aDWoSYXeCyURA
132,"In the End","Linkin Park",70471,https://open.spotify.com/track/60a0Rd6pjrkxjPbaKzXjfq
133,"Kings & Queens","Ava Max",69083,https://open.spotify.com/track/7a53HqqArd4b9NF4XAmlbI
134,Dynamite,BTS,68770,https://open.spotify.com/track/4saklk6nie3yiGePpBwUoc
135,"200 km/h","Apache 207",68672,https://open.spotify.com/track/2PGA1AsJal6cyMNmKyE56q
136,"GIRL LIKE ME","Black Eyed Peas",68411,https://open.spotify.com/track/2vBET2pmrQqafaS6zIaYta
137,Violent,carolesdaughter,68236,https://open.spotify.com/track/7CFfqRW50ffULvBv7lfIIg
138,"No Therapy","Felix Jaehn",68132,https://open.spotify.com/track/7tUTCcqkMCnC9qLqbQeI0T
139,2002,Sido,68044,https://open.spotify.com/track/2u8AXJyk8pICzj2wyPBL0b
140,"Bist du Okay","Mark Forster",67954,https://open.spotify.com/track/1O2gOblgfyostGPbLzqghY
141,"Someone To You",BANNERS,67870,https://open.spotify.com/track/2f0pn9DkEJwAzXApnFh5cr
142,"vija vija",Dardan,67850,https://open.spotify.com/track/3a39XsnQ0ALi9AWTGBU3wH
143,"Weekend (feat. Emelie Cyréus)",LIZOT,67762,https://open.spotify.com/track/4KPYXZUCKYLEEcGmKN4Exs
144,2012,Bausa,67703,https://open.spotify.com/track/6bM4daGlfZHtKMQp8tEqVz
145,"Sweater Weather","The Neighbourhood",67343,https://open.spotify.com/track/2QjOHCTQ1Jl3zawyYOpxh6
146,"Best of Us",WIER,66702,https://open.spotify.com/track/5DhcEJWVdkPNkJUVnbiUKo
147,"Memories (feat. Kid Cudi)","David Guetta",66434,https://open.spotify.com/track/0Xh6R6XLoTDRBYriQRgkHj
148,"Vermissen (feat. Henning May)",Juju,66369,https://open.spotify.com/track/07f2b3CTdgKKlhv0mqUksz
149,Alien,"Dennis Lloyd",65970,https://open.spotify.com/track/1Tqshmc0rnQPaIGJfRp2Da
150,"Lemon Tree","Alle Farben",65279,https://open.spotify.com/track/6sGeBxS4PIEtZdWpgdnitV
151,"Levitating (feat. DaBaby)","Dua Lipa",65194,https://open.spotify.com/track/5nujrmhLynf4yMoMtj8AQF
152,SHAWTY,Luciano,65037,https://open.spotify.com/track/2zeWbdSyAcN0O0r7em4j3B
153,"HIGHEST IN THE ROOM","Travis Scott",64724,https://open.spotify.com/track/3eekarcy7kvN4yt5ZFzltW
154,"i miss u (with Au/Ra)","Jax Jones",64566,https://open.spotify.com/track/7CH8J4ulT49UfZwSDSkSZA
155,"Ohne mein Team","Bonez MC",64430,https://open.spotify.com/track/05Mp2UJulSttxQ4E6hQPH3
156,"Good Days",SZA,64421,https://open.spotify.com/track/3YJJjQPAbDT7mGpX3WtQ9A
157,"Frühstück in Paris","Capital Bra",64281,https://open.spotify.com/track/1ddbNJwDjjmCYz1GFGYnsw
158,Mars,"Georg Stengel",64236,https://open.spotify.com/track/5iUveERei5JgBhqWlu3JIN
159,"Come & Go (with Marshmello)","Juice WRLD",64148,https://open.spotify.com/track/2Y0wPrPQBrGhoLn14xRYCG
160,"WEISSER RAUCH",FOURTY,64142,https://open.spotify.com/track/6bRR9tU3WUBsC4aywSgHEO
161,"Love Again (feat. Alida)",Alok,64087,https://open.spotify.com/track/63bWXWGcWnRQvdS8bJWdkB
162,Alane,"Robin Schulz",63507,https://open.spotify.com/track/2u6Jm2klS4yvAlbSHlxUwI
163,"Cooler Than Me","Lucky Luke",63438,https://open.spotify.com/track/525GY0mXYnxajolwgS8Eaz
164,Control,"Zoe Wees",63067,https://open.spotify.com/track/50Td3qilgs8BLtv8mHyT1t
165,"Fuckst mich nur ab","Bonez MC",62686,https://open.spotify.com/track/0y8mJFmm4ogCHnfe0oTuT6
166,"PELICAN FLY",Veysel,62165,https://open.spotify.com/track/5VTiVfXyhYTy8HIJxU4BIm
167,Spinjitzu,"Kool Savas",62079,https://open.spotify.com/track/61hiq7HImgATyeD4YzPSBy
168,Hollywood,"LA Vision",62076,https://open.spotify.com/track/1XdMp6v9Q3N80WnKSbGfl4
169,Goodbye,Imanbek,61580,https://open.spotify.com/track/4crczEC1PpoD8TsDsmoWNI
170,"500 PS","Bonez MC",61458,https://open.spotify.com/track/4UOXo3xWnxYdTf3sFyRaUG
171,"Wishing Well","Juice WRLD",61350,https://open.spotify.com/track/2U5WueTLIK5WJLD7mvDODv
172,WINGS,Ufo361,61092,https://open.spotify.com/track/3uv6J5o0TKCMOrLJ7GvTYC
173,Monster,LUM!X,61076,https://open.spotify.com/track/0YU17F0BlVXvmx5ytsR43w
174,"WO DU",Nimo,60871,https://open.spotify.com/track/27jutMh8QmJfaJrMFEnTDN
175,NBA,Jalil,60781,https://open.spotify.com/track/0i2H7vm6eVR3JvWXBIYrpO
176,"Monster (Shawn Mendes & Justin Bieber)","Shawn Mendes",60029,https://open.spotify.com/track/1HbA4N1MiOsPthALesGFR1
177,goosebumps,"Travis Scott",59710,https://open.spotify.com/track/6gBFPUFcJLzWGx4lenP6h2
178,"I'm not Pretty",JESSIA,59675,https://open.spotify.com/track/3promGTTwsn1N5D6RzaFMV
179,Pierre,"Ryn Weaver",58707,https://open.spotify.com/track/31c1V9xUONZYk78NE4Id8D
180,XXL,"Miksu / Macloud",58659,https://open.spotify.com/track/0p3euGPg5LgFeQGC7bBFuR
181,"Lonely (with benny blanco)","Justin Bieber",58652,https://open.spotify.com/track/4y4spB9m0Q6026KfkAvy9Q
182,"Ohne Dich",Veysel,58643,https://open.spotify.com/track/0AqrJySgoQIVVRK5ENFfyF
183,Wellerman,"Sea Shanty",58512,https://open.spotify.com/track/1fC0uGs48Sb7GLioUe0tN4
184,"Midnight Sky","Miley Cyrus",58504,https://open.spotify.com/track/4i2qxFEVVUi8yOYoxB8TCX
185,"Ich würd' lügen",KAYEF,58442,https://open.spotify.com/track/5T2RHnuyK2sa9R0pleO9yP
186,Shallow,"Lady Gaga",58294,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B
