,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Auf & Ab",Montez,728509,https://open.spotify.com/track/0RSZ8EmUPEN3ySfCgytPke
2,"STAY (with Justin Bieber)","The Kid LAROI",644404,https://open.spotify.com/track/5PjdY0CKGZdEuoNab3yDmX
3,"Blaues Licht","RAF Camora",640754,https://open.spotify.com/track/08EPQiLMyGB8GJX2EiVoCM
4,Sommergewitter,Pashanim,506772,https://open.spotify.com/track/2H7jZg2HliuQhZjfBblLrZ
5,"Bad Habits","Ed Sheeran",479507,https://open.spotify.com/track/6PQ88X9TkUIAUIZJHW2upE
6,Beggin',Måneskin,420291,https://open.spotify.com/track/3Wrjm47oTz2sjIgck11l5e
7,"Love Tonight - Edit",Shouse,336226,https://open.spotify.com/track/6OufwUcCqo81guU2jAlDVP
8,"good 4 u","Olivia Rodrigo",310308,https://open.spotify.com/track/4ZtFanR9U6ndgddUvNcjcG
9,"I WANNA BE YOUR SLAVE",Måneskin,304712,https://open.spotify.com/track/4pt5fDVTg5GhEvEtlz9dKk
10,"INDUSTRY BABY (feat. Jack Harlow)","Lil Nas X",287862,https://open.spotify.com/track/27NovPIUIRrOZoCHxABJwK
11,"Because You Move Me",Tinlicker,233024,https://open.spotify.com/track/05GvwwTLLID738BbKN1ze0
12,"Wenn ich geh",Jamule,226818,https://open.spotify.com/track/7bs43GIqBJY9V6lCQEVSep
13,"Happier Than Ever","Billie Eilish",220773,https://open.spotify.com/track/4RVwu0g32PAqgUiJoXsdF8
14,"Lieben wir","Shirin David",218426,https://open.spotify.com/track/49gzU1IS1B6P3GATSZ5eCE
15,Zukunft,"RAF Camora",213206,https://open.spotify.com/track/34tKBUUl8bAeqex8i82Z0L
16,"Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit",Riton,212430,https://open.spotify.com/track/4cG7HUWYHBV6R6tHn1gxrl
17,"MONTERO (Call Me By Your Name)","Lil Nas X",210226,https://open.spotify.com/track/67BtfxlNbhBmCDR2L2l8qd
18,Durstlöscher,01099,190585,https://open.spotify.com/track/51S7lhJk6AHiFg0PhJupfz
19,SCHMETTERLING,Luciano,188342,https://open.spotify.com/track/3gUVLJZ0JoGRuoRNUCIYsI
20,"King Kong",HBz,173341,https://open.spotify.com/track/7GIlBNE6pZRfoRfo4oL7f0
21,"Nice To Meet Ya (feat. Yxng Bane)","Wes Nelson",173282,https://open.spotify.com/track/1YHjRAptXqPdsdx3g6FNJL
22,"Iko Iko (My Bestie)","Justin Wellington",168159,https://open.spotify.com/track/7MC4XR9M9amdmKQr2iDF7i
23,"Liege wieder wach",Jamule,163095,https://open.spotify.com/track/2knDuFWczh1Wv92eBAdPTa
24,"Heat Waves","Glass Animals",159502,https://open.spotify.com/track/02MWAaffLxlfxAUY7c5dvx
25,Schwarz,LEA,159105,https://open.spotify.com/track/0XpTuvT4Yueddiv20w6M9a
26,"Nese Don",Loredana,158327,https://open.spotify.com/track/6ZVpk9bSJGebJJzJmMocua
27,"Ich darf das","Shirin David",157236,https://open.spotify.com/track/4txsSBdT4yVJtUj41YaQEB
28,"Ramenez la coupe à la maison",Vegedream,155265,https://open.spotify.com/track/1m0UFnuTktOkksvjbF9z0m
29,Run,OneRepublic,152622,https://open.spotify.com/track/2UbVnbE5FH6008mAm6Mmgw
30,"Love Tonight - David Guetta Remix Edit",Shouse,150768,https://open.spotify.com/track/2prnn41CblB8B4yWACDljP
31,"Levitating (feat. DaBaby)","Dua Lipa",143885,https://open.spotify.com/track/5nujrmhLynf4yMoMtj8AQF
32,Crashen,t-low,141020,https://open.spotify.com/track/5STeQZH1Ahz3h0X9Njaij7
33,"Your Love (9PM)",ATB,139985,https://open.spotify.com/track/5YaskwnGDZFDRipaqzbwQx
34,Extasy,"187 Strassenbande",137269,https://open.spotify.com/track/79lc69ZXfL4WmJIzVSDmWT
35,Madonna,Bausa,136751,https://open.spotify.com/track/6a3kNt1UlUOapDKmEr3JzZ
36,"Following the Sun",SUPER-Hi,136409,https://open.spotify.com/track/2sFbdDiEDpyCdP5nUCuGBm
37,"The Business",Tiësto,132275,https://open.spotify.com/track/6f3Slt0GbA2bPZlz0aIFXN
38,"Wasted Love (feat. Lagique)",Ofenbach,131527,https://open.spotify.com/track/2pPO9YecZimmuVQfIzfV6U
39,Frisch,01099,130063,https://open.spotify.com/track/7toCqux0Ln42OttYYyds4k
40,Redlight,Glockenbach,129587,https://open.spotify.com/track/24osWl0SQSyHzGyEMdf394
41,GHETTOGIRL,Capo,129350,https://open.spotify.com/track/0G5x5rALxKOkwicMjKta79
42,"Kiss Me More (feat. SZA)","Doja Cat",123046,https://open.spotify.com/track/3DarAbFujv6eYNliUTyqtz
