,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,Extasy,"187 Strassenbande",548627,https://open.spotify.com/track/5OqIKA0ETzvxocl2IS7nV6
2,"Liege wieder wach",Jamule,435983,https://open.spotify.com/track/2knDuFWczh1Wv92eBAdPTa
3,"Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit",Riton,365783,https://open.spotify.com/track/4cG7HUWYHBV6R6tHn1gxrl
4,"MONTERO (Call Me By Your Name)","Lil Nas X",357558,https://open.spotify.com/track/67BtfxlNbhBmCDR2L2l8qd
5,"BLESSED (feat. Capital Bra)",CRO,338920,https://open.spotify.com/track/28tBoBognmn3BBdfjPzSw9
6,"Frag mich nicht","Miksu / Macloud",322727,https://open.spotify.com/track/5ZIFzmhVJRO3tRwtBXrPXh
7,ELMAS,Luciano,318252,https://open.spotify.com/track/37yAd2kwEI9axbB6UznrOQ
8,Madonna,Bausa,272253,https://open.spotify.com/track/6a3kNt1UlUOapDKmEr3JzZ
9,"Peaches (feat. Daniel Caesar & Giveon)","Justin Bieber",256908,https://open.spotify.com/track/4iJyoBOLtHqaGxP12qzhQI
10,"Leere Hände (feat. Sido & Samra)",SANTOS,248702,https://open.spotify.com/track/5QEqzFV7R8KSSCJa37tfvs
11,"Wellerman - Sea Shanty / 220 KID x Billen Ted Remix","Nathan Evans",247004,https://open.spotify.com/track/3iw6V4LH7yPj1ESORX9RIN
12,"Astronaut In The Ocean","Masked Wolf",246001,https://open.spotify.com/track/3VT8hOC5vuDXBsHrR53WFh
13,"Your Love (9PM)",ATB,236445,https://open.spotify.com/track/5YaskwnGDZFDRipaqzbwQx
14,"Levitating (feat. DaBaby)","Dua Lipa",235389,https://open.spotify.com/track/5nujrmhLynf4yMoMtj8AQF
15,"Allein sein","Mario Novembre",234753,https://open.spotify.com/track/11NFxVnEwPDz4LjIyKazxV
16,"Cover Me In Sunshine",P!nk,230664,https://open.spotify.com/track/6Tio0ZoDeSQnI7EBAqWer2
17,"The Business",Tiësto,216069,https://open.spotify.com/track/6f3Slt0GbA2bPZlz0aIFXN
18,"Wasted Love (feat. Lagique)",Ofenbach,210504,https://open.spotify.com/track/2pPO9YecZimmuVQfIzfV6U
19,"KIDS FROM THE BLOCK",Luciano,206160,https://open.spotify.com/track/26hbmLeqiz8loWjFshsegF
20,ZART,Nimo,191792,https://open.spotify.com/track/1WUXlAFlKIu7fixKZvQECX
21,3065,"AK AUSSERKONTROLLE",191707,https://open.spotify.com/track/4tow4iBkVBJvmvMohCygQH
22,"Kiss Me More (feat. SZA)","Doja Cat",186396,https://open.spotify.com/track/748mdHapucXQri7IAO8yFK
23,"Ohne Dich",KASIMIR1441,184652,https://open.spotify.com/track/4hSJUp6k7QeHLxU32MrLIU
24,"Drei Uhr Nachts","Mark Forster",181821,https://open.spotify.com/track/58GxgFEG5uHc9oMhofuuIP
25,"Head & Heart (feat. MNEK)","Joel Corry",174959,https://open.spotify.com/track/6cx06DFPPHchuUAcTxznu9
