,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,Sommer,"Beatzarre & Djorkaeff",578075,https://open.spotify.com/track/3sqZwhR5UFmHAh1KLXGOgq
2,"good 4 u","Olivia Rodrigo",552294,https://open.spotify.com/track/4ZtFanR9U6ndgddUvNcjcG
3,DRILLA,Luciano,529302,https://open.spotify.com/track/4P9lNdUhVPhwfVxZlgjWlL
4,"Ich darf das","Shirin David",416006,https://open.spotify.com/track/4txsSBdT4yVJtUj41YaQEB
5,"Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit",Riton,412078,https://open.spotify.com/track/4cG7HUWYHBV6R6tHn1gxrl
6,Rosenkrieg,Loredana,387456,https://open.spotify.com/track/6DiaHETMcKdX7FwuGXwp1O
7,"Liege wieder wach",Jamule,377491,https://open.spotify.com/track/2knDuFWczh1Wv92eBAdPTa
8,"HAPPY BIRTHDAY","Farid Bang",374462,https://open.spotify.com/track/3bmhalgSjoDFfDwdu21aws
9,GHETTOGIRL,Capo,353001,https://open.spotify.com/track/3idbCPumlga23rxFA08fZE
10,Extasy,"187 Strassenbande",335329,https://open.spotify.com/track/79lc69ZXfL4WmJIzVSDmWT
11,"Nice To Meet Ya (feat. Yxng Bane)","Wes Nelson",332309,https://open.spotify.com/track/1YHjRAptXqPdsdx3g6FNJL
12,"MONTERO (Call Me By Your Name)","Lil Nas X",315368,https://open.spotify.com/track/67BtfxlNbhBmCDR2L2l8qd
13,"I WANNA BE YOUR SLAVE",Måneskin,302139,https://open.spotify.com/track/4pt5fDVTg5GhEvEtlz9dKk
14,"Drink Ist Kalt",BHZ,299348,https://open.spotify.com/track/2CF0s1PAImWgGhEr7W6iY2
15,"BLESSED (feat. Capital Bra)",CRO,272002,https://open.spotify.com/track/28tBoBognmn3BBdfjPzSw9
16,"Frag mich nicht","Miksu / Macloud",268554,https://open.spotify.com/track/5ZIFzmhVJRO3tRwtBXrPXh
17,"ZITTI E BUONI",Måneskin,253947,https://open.spotify.com/track/776AftMmFFAWUIEAb3lHhw
18,Madonna,Bausa,252776,https://open.spotify.com/track/6a3kNt1UlUOapDKmEr3JzZ
19,"Your Love (9PM)",ATB,242839,https://open.spotify.com/track/5YaskwnGDZFDRipaqzbwQx
20,"Ti Harro",Azet,242735,https://open.spotify.com/track/0WixzPVNqTdkvkm8WyBKxE
21,"Levitating (feat. DaBaby)","Dua Lipa",239728,https://open.spotify.com/track/5nujrmhLynf4yMoMtj8AQF
22,Traffic,Lucio101,236553,https://open.spotify.com/track/5KM1EXLcddixJNYv1Hqukk
23,"Lost Cause","Billie Eilish",236430,https://open.spotify.com/track/2xdwCJLfKCkat14mlgR26M
24,ELMAS,Luciano,233042,https://open.spotify.com/track/37yAd2kwEI9axbB6UznrOQ
25,"Alles nach Plan","187 Strassenbande",231384,https://open.spotify.com/track/1fW5PpJSmPiVXAi0l92PHm
26,Flugangst,FOURTY,228810,https://open.spotify.com/track/35sMaFXKwu4q4o19iLpdxC
27,"Astronaut In The Ocean","Masked Wolf",220439,https://open.spotify.com/track/0BGwAKW4u8kWOhWFflZxfl
28,"Tu nicht so",badmómzjay,220109,https://open.spotify.com/track/4rs0jr2tC1Qg32Fm7zfdsT
29,Frisch,01099,219490,https://open.spotify.com/track/7toCqux0Ln42OttYYyds4k
30,"Peaches (feat. Daniel Caesar & Giveon)","Justin Bieber",216249,https://open.spotify.com/track/4iJyoBOLtHqaGxP12qzhQI
31,"Wellerman - Sea Shanty / 220 KID x Billen Ted Remix","Nathan Evans",215271,https://open.spotify.com/track/3iw6V4LH7yPj1ESORX9RIN
32,"Vielen Dank","187 Strassenbande",214487,https://open.spotify.com/track/4xN9cgMVhYyhnugUFZdhcZ
33,"The Business",Tiësto,214472,https://open.spotify.com/track/6f3Slt0GbA2bPZlz0aIFXN
34,"Wasted Love (feat. Lagique)",Ofenbach,212603,https://open.spotify.com/track/2pPO9YecZimmuVQfIzfV6U
35,"Cover Me In Sunshine",P!nk,195507,https://open.spotify.com/track/0UKUfxIkDAMZz7hMdiVX3m
36,"Bessere Fehler",Nessi,194243,https://open.spotify.com/track/3qOgpguipSTOahuNq2z31T
37,Rasputin,Majestic,189176,https://open.spotify.com/track/0b18g3G5spr4ZCkz7Y6Q0Q
38,Durstlöscher,01099,188810,https://open.spotify.com/track/51S7lhJk6AHiFg0PhJupfz
39,"Leere Hände (feat. Sido & Samra)",SANTOS,187395,https://open.spotify.com/track/5QEqzFV7R8KSSCJa37tfvs
40,"Iko Iko (My Bestie)","Justin Wellington",187341,https://open.spotify.com/track/7MC4XR9M9amdmKQr2iDF7i
41,"Ohne Dich",KASIMIR1441,177124,https://open.spotify.com/track/4hSJUp6k7QeHLxU32MrLIU
42,"Kiss Me More (feat. SZA)","Doja Cat",175594,https://open.spotify.com/track/748mdHapucXQri7IAO8yFK
43,"Head & Heart (feat. MNEK)","Joel Corry",174956,https://open.spotify.com/track/6cx06DFPPHchuUAcTxznu9
44,"DU BIST DER FEHLER.",Lune,168857,https://open.spotify.com/track/7Fz8qYsfyRfUCKCzdiCiaV
45,ZART,Nimo,164735,https://open.spotify.com/track/1WUXlAFlKIu7fixKZvQECX
46,BED,"Joel Corry",163067,https://open.spotify.com/track/0siYMEsGrzzzlWLXK5zJfS
47,"KIDS FROM THE BLOCK",Luciano,162566,https://open.spotify.com/track/26hbmLeqiz8loWjFshsegF
48,Run,OneRepublic,161357,https://open.spotify.com/track/2UbVnbE5FH6008mAm6Mmgw
49,"Girls Like Us","Zoe Wees",161163,https://open.spotify.com/track/5SFXOMJJ334Wn2PwBHeRZN
50,"Drei Uhr Nachts","Mark Forster",157426,https://open.spotify.com/track/58GxgFEG5uHc9oMhofuuIP
51,BOUNCE,KALIM,156961,https://open.spotify.com/track/1SVI1xBJz23bUK3HrX8Kka
52,"White Lies",VIZE,156157,https://open.spotify.com/track/2QuQkdLLzgktXwruPAz6f4
53,Butter,BTS,152727,https://open.spotify.com/track/3VqeTFIvhxu3DIe4eZVzGq
54,"Fireworks (feat. Moss Kena & The Knocks)","Purple Disco Machine",148004,https://open.spotify.com/track/1kTlT3phtU2yqTJYT1x6hb
55,"Blinding Lights","The Weeknd",147355,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
56,3065,"AK AUSSERKONTROLLE",143567,https://open.spotify.com/track/4tow4iBkVBJvmvMohCygQH
57,"Save Your Tears","The Weeknd",142262,https://open.spotify.com/track/5QO79kh1waicV47BqGRL3g
58,"Head Shoulders Knees & Toes (feat. Norma Jean Martine)",Ofenbach,141345,https://open.spotify.com/track/6i7zAdNhzUN2k1HcrBxPHG
59,Beggin',Måneskin,140922,https://open.spotify.com/track/3Wrjm47oTz2sjIgck11l5e
60,Lila,Kida,136604,https://open.spotify.com/track/4uzjXVcYivDXD5FHKwVVTR
61,Roller,"Apache 207",135503,https://open.spotify.com/track/6hw1Sy9wZ8UCxYGdpKrU6M
62,Redlight,Glockenbach,134744,https://open.spotify.com/track/24osWl0SQSyHzGyEMdf394
63,"Little Bit of Love","Tom Grennan",134320,https://open.spotify.com/track/3Iba59sFmGhQ4kbCY5L8AX
64,Magia,"Alvaro Soler",134173,https://open.spotify.com/track/3KJ1QkwWObfuq54pgwTRyW
65,Strip,Lena,133770,https://open.spotify.com/track/6YAbciQiCPFDURL31TgtdH
66,Dynamite,ILIRA,132784,https://open.spotify.com/track/3HqQpSTLHJRKDhulVacRFb
67,RAPSTAR,"Polo G",129137,https://open.spotify.com/track/43PGPuHIlVOc04jrZVh9L6
68,WEEE,"Scorpion Gang",128786,https://open.spotify.com/track/5R2HaFZUDpMNo9RslRAkSf
69,"Paradise (feat. Dermot Kennedy)",MEDUZA,127989,https://open.spotify.com/track/6ft4hAq6yde8jPZY2i5zLr
70,PEPPERMINT,Luciano,125168,https://open.spotify.com/track/6V1lWr7s8CO5VkxXe4hBtg
71,"DIS IS FASTLIFE",NGEE,125083,https://open.spotify.com/track/686JMwtROED9urmcVAwbUK
72,"Ich ficke euch (alle)",K.I.Z,123821,https://open.spotify.com/track/0ggal2fI5xr8gtOVIhLKke
73,"Fuck Love",Samo104,123640,https://open.spotify.com/track/0HhifV2v8vcNC4I3gpnwf3
74,"Body (Remix) [feat. ArrDee, E1 (3x3), ZT (3x3), Bugzy Malone, Buni, Fivio Foreign & Darkoo]","Tion Wayne",123211,https://open.spotify.com/track/6uvMKqNlrSvcC4NaKnrwjZ
75,"deja vu","Olivia Rodrigo",122874,https://open.spotify.com/track/6HU7h9RYOaPRFeh0R3UeAr
76,"Wer wenn nicht wir","Wincent Weiss",122857,https://open.spotify.com/track/4eNW5iyZwK6ZgyZTojV4vI
77,"drivers license","Olivia Rodrigo",122038,https://open.spotify.com/track/5wANPM4fQCJwkGd4rN57mH
78,"Unterfickt und geistig behindert",K.I.Z,121458,https://open.spotify.com/track/52P6IsUUXpVlYagiqc9lo3
79,"Faded Love",Leony,121326,https://open.spotify.com/track/3RcXFW8aiRYHRaDDYBqJ76
80,"Love Not War (The Tampa Beat)","Jason Derulo",120493,https://open.spotify.com/track/4Lt6GXGzYsa1tgkv3nGSTm
81,"Save Your Tears (with Ariana Grande) (Remix)","The Weeknd",118642,https://open.spotify.com/track/37BZB0z9T8Xu7U3e65qxFy
82,"Mood (feat. iann dior)",24kGoldn,117341,https://open.spotify.com/track/4jPy3l0RUwlUI9T5XHBW2m
83,Kinderkram,K.I.Z,116013,https://open.spotify.com/track/0674eBMZxpwxHWOz1pxly4
84,"Following The Sun",SUPER-Hi,115221,https://open.spotify.com/track/2JzXBqTIVHYX43t7EcLyMs
85,"Ramenez la coupe à la maison",Vegedream,113429,https://open.spotify.com/track/1m0UFnuTktOkksvjbF9z0m
86,"By Your Side (feat. Tom Grennan)","Calvin Harris",112784,https://open.spotify.com/track/0vR2rIVORmgeKiGIgNT0fV
87,Clubhouse,SSIO,112500,https://open.spotify.com/track/0oSIYJiJNBXIMVCUEhsN1q
88,"BAD EYEZ",Nimo,112296,https://open.spotify.com/track/5dDQDduj3EaWrPIZ9bc8tj
89,"Wenn das Schicksal trifft","Kontra K",109031,https://open.spotify.com/track/1g7alT46CACdfftqj1wxm9
90,"Alles nur Image",Soufian,108587,https://open.spotify.com/track/5afmVzxz4UwrFfnJeijzVK
91,"Heartbreak Anthem (with David Guetta & Little Mix)",Galantis,108558,https://open.spotify.com/track/5K6Ssv4Z3zRvxt0P6EKUAP
92,"Eine Nacht",Ra'is,108252,https://open.spotify.com/track/2rqAlNQ1T3kSaZ3varWtto
93,"WITHOUT YOU","The Kid LAROI",106295,https://open.spotify.com/track/27OeeYzk6klgBh83TSvGMA
94,"Build a Bitch","Bella Poarch",106193,https://open.spotify.com/track/7BoobGhD4x5K96Me0hqC8Q
95,Filmriss,K.I.Z,104803,https://open.spotify.com/track/1b3thE0t0BxzLqCuRkqKZE
96,Anytime,"Phil The Beat",104472,https://open.spotify.com/track/58VgSGe9D9xz3BSvY9Gpua
97,Arcade,"Duncan Laurence",103868,https://open.spotify.com/track/1J14CdDAvBTE1AJYUOwl6C
98,"Rap über Hass",K.I.Z,103648,https://open.spotify.com/track/21ownMQ51Jqlv8si9CTI6R
99,"Another Love","Tom Odell",102550,https://open.spotify.com/track/7jtQIBanIiJOMS6RyCx6jZ
100,"Love Again (feat. Alida)",Alok,101820,https://open.spotify.com/track/63bWXWGcWnRQvdS8bJWdkB
101,"Wellerman - Sea Shanty","Nathan Evans",101740,https://open.spotify.com/track/54OBgO0Xwu20Jak9TMXbR7
102,"Rise Up (feat. Vamero)",VINAI,100377,https://open.spotify.com/track/46lyJh9GYmWsHez3EsvmAx
103,"All We Got (feat. KIDDO)","Robin Schulz",100196,https://open.spotify.com/track/1iAyJBksvAI6DQEnzv8l1E
104,Airwaves,Pashanim,98437,https://open.spotify.com/track/5CqkgDH8QZjSqqI3HmYxDD
105,"Mehr als nur ein Fan",K.I.Z,98324,https://open.spotify.com/track/4qLeL7EImVqV9ZEb1qHdbv
106,"Roses - Imanbek Remix","SAINt JHN",98180,https://open.spotify.com/track/0zLCBJZSiELJf02ucPP9wb
