,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Frag mich nicht","Miksu / Macloud",595074,https://open.spotify.com/track/46zfTi4Wg6mmkOBPimtg6X
2,"Peaches (feat. Daniel Caesar & Giveon)","Justin Bieber",542128,https://open.spotify.com/track/4iJyoBOLtHqaGxP12qzhQI
3,Madonna,Bausa,491383,https://open.spotify.com/track/6a3kNt1UlUOapDKmEr3JzZ
4,"Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit",Riton,439322,https://open.spotify.com/track/4cG7HUWYHBV6R6tHn1gxrl
5,"Astronaut In The Ocean","Masked Wolf",413974,https://open.spotify.com/track/3VT8hOC5vuDXBsHrR53WFh
6,"Wellerman - Sea Shanty / 220 KID x Billen Ted Remix","Nathan Evans",401925,https://open.spotify.com/track/3iw6V4LH7yPj1ESORX9RIN
7,"Your Love (9PM)",ATB,353563,https://open.spotify.com/track/5YaskwnGDZFDRipaqzbwQx
8,Verpennt,"187 Strassenbande",343690,https://open.spotify.com/track/38ymFU7u5XorxpySYJT0FA
9,"The Business",Tiësto,333832,https://open.spotify.com/track/6f3Slt0GbA2bPZlz0aIFXN
10,"MONTERO (Call Me By Your Name)","Lil Nas X",333765,https://open.spotify.com/track/3BZEcbdtXQSo7OrvKRJ6mb
11,"Wasted Love (feat. Lagique)",Ofenbach,323761,https://open.spotify.com/track/2pPO9YecZimmuVQfIzfV6U
12,"Ohne Dich",KASIMIR1441,306086,https://open.spotify.com/track/4hSJUp6k7QeHLxU32MrLIU
13,PEPPERMINT,Luciano,286230,https://open.spotify.com/track/6V1lWr7s8CO5VkxXe4hBtg
14,"Save Your Tears","The Weeknd",271647,https://open.spotify.com/track/5QO79kh1waicV47BqGRL3g
15,"Girls Like Us","Zoe Wees",255014,https://open.spotify.com/track/5SFXOMJJ334Wn2PwBHeRZN
16,"Cover Me In Sunshine",P!nk,244519,https://open.spotify.com/track/6Tio0ZoDeSQnI7EBAqWer2
