,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,Beggin',Måneskin,555239,https://open.spotify.com/track/3Wrjm47oTz2sjIgck11l5e
2,"good 4 u","Olivia Rodrigo",478490,https://open.spotify.com/track/4ZtFanR9U6ndgddUvNcjcG
3,"I WANNA BE YOUR SLAVE",Måneskin,450134,https://open.spotify.com/track/4pt5fDVTg5GhEvEtlz9dKk
4,SCHMETTERLING,Luciano,446904,https://open.spotify.com/track/0it0PhmH2Tq2Xl5o49pdMo
5,"Ramenez la coupe à la maison",Vegedream,355582,https://open.spotify.com/track/1m0UFnuTktOkksvjbF9z0m
6,"Nice To Meet Ya (feat. Yxng Bane)","Wes Nelson",312148,https://open.spotify.com/track/1YHjRAptXqPdsdx3g6FNJL
7,"MONTERO (Call Me By Your Name)","Lil Nas X",290392,https://open.spotify.com/track/67BtfxlNbhBmCDR2L2l8qd
8,"Liege wieder wach",Jamule,270743,https://open.spotify.com/track/2knDuFWczh1Wv92eBAdPTa
9,"Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit",Riton,264784,https://open.spotify.com/track/4cG7HUWYHBV6R6tHn1gxrl
10,"Ich darf das","Shirin David",261569,https://open.spotify.com/track/4txsSBdT4yVJtUj41YaQEB
11,GHETTOGIRL,Capo,250860,https://open.spotify.com/track/3idbCPumlga23rxFA08fZE
12,Durstlöscher,01099,237480,https://open.spotify.com/track/51S7lhJk6AHiFg0PhJupfz
13,Shawty,"PA Sports",228264,https://open.spotify.com/track/3quQYEq6YMZmSmHpc2UKkc
14,Extasy,"187 Strassenbande",220956,https://open.spotify.com/track/79lc69ZXfL4WmJIzVSDmWT
15,Dinero,"Trinidad Cardona",212679,https://open.spotify.com/track/3ggtU1ZOKO8ZNiqPNyXGcm
16,"Iko Iko (My Bestie)","Justin Wellington",199845,https://open.spotify.com/track/7MC4XR9M9amdmKQr2iDF7i
17,"Levitating (feat. DaBaby)","Dua Lipa",187790,https://open.spotify.com/track/5nujrmhLynf4yMoMtj8AQF
18,"Drink Ist Kalt",BHZ,186616,https://open.spotify.com/track/4rewc9tTT02T7Tfxpd0mo4
19,"BLESSED (feat. Capital Bra)",CRO,181694,https://open.spotify.com/track/28tBoBognmn3BBdfjPzSw9
20,Rosenkrieg,Loredana,181299,https://open.spotify.com/track/6DiaHETMcKdX7FwuGXwp1O
21,Madonna,Bausa,177252,https://open.spotify.com/track/6a3kNt1UlUOapDKmEr3JzZ
22,"ZITTI E BUONI",Måneskin,176795,https://open.spotify.com/track/776AftMmFFAWUIEAb3lHhw
23,"Frag mich nicht","Miksu / Macloud",173437,https://open.spotify.com/track/5ZIFzmhVJRO3tRwtBXrPXh
24,"Astronaut In The Ocean","Masked Wolf",170442,https://open.spotify.com/track/0BGwAKW4u8kWOhWFflZxfl
25,Autotür,FOURTY,169594,https://open.spotify.com/track/6w3L8n7b9Y1dZ8JU1tHdzu
26,"Your Love (9PM)",ATB,166794,https://open.spotify.com/track/5YaskwnGDZFDRipaqzbwQx
27,Sommer,"Beatzarre & Djorkaeff",163591,https://open.spotify.com/track/3sqZwhR5UFmHAh1KLXGOgq
28,"Cover Me In Sunshine",P!nk,162616,https://open.spotify.com/track/0UKUfxIkDAMZz7hMdiVX3m
29,"Peaches (feat. Daniel Caesar & Giveon)","Justin Bieber",162476,https://open.spotify.com/track/4iJyoBOLtHqaGxP12qzhQI
30,Frisch,01099,160304,https://open.spotify.com/track/7toCqux0Ln42OttYYyds4k
31,Sommergewitter,Pashanim,159795,https://open.spotify.com/track/2H7jZg2HliuQhZjfBblLrZ
32,Redlight,Glockenbach,158456,https://open.spotify.com/track/24osWl0SQSyHzGyEMdf394
33,"The Business",Tiësto,157189,https://open.spotify.com/track/6f3Slt0GbA2bPZlz0aIFXN
34,"Wellerman - Sea Shanty / 220 KID x Billen Ted Remix","Nathan Evans",154901,https://open.spotify.com/track/3iw6V4LH7yPj1ESORX9RIN
35,"Wasted Love (feat. Lagique)",Ofenbach,152800,https://open.spotify.com/track/2pPO9YecZimmuVQfIzfV6U
36,"Fireworks (feat. Moss Kena & The Knocks)","Purple Disco Machine",152616,https://open.spotify.com/track/1kTlT3phtU2yqTJYT1x6hb
37,Rasputin,Majestic,150839,https://open.spotify.com/track/0b18g3G5spr4ZCkz7Y6Q0Q
38,Run,OneRepublic,148309,https://open.spotify.com/track/2UbVnbE5FH6008mAm6Mmgw
39,Rotlichtsonate,Kollegah,147584,https://open.spotify.com/track/1wxnA0kd9ywcsxG2YABWwm
40,"Alles nach Plan","187 Strassenbande",145048,https://open.spotify.com/track/1fW5PpJSmPiVXAi0l92PHm
41,DRILLA,Luciano,144063,https://open.spotify.com/track/4P9lNdUhVPhwfVxZlgjWlL
42,"Kiss Me More (feat. SZA)","Doja Cat",141589,https://open.spotify.com/track/748mdHapucXQri7IAO8yFK
43,ELMAS,Luciano,138193,https://open.spotify.com/track/37yAd2kwEI9axbB6UznrOQ
44,"Following The Sun",SUPER-Hi,137774,https://open.spotify.com/track/2JzXBqTIVHYX43t7EcLyMs
45,"Ohne Dich",KASIMIR1441,137493,https://open.spotify.com/track/4hSJUp6k7QeHLxU32MrLIU
46,"Tu nicht so",badmómzjay,136524,https://open.spotify.com/track/4rs0jr2tC1Qg32Fm7zfdsT
47,"Drei Uhr Nachts","Mark Forster",130370,https://open.spotify.com/track/58GxgFEG5uHc9oMhofuuIP
48,3065,"AK AUSSERKONTROLLE",129494,https://open.spotify.com/track/4tow4iBkVBJvmvMohCygQH
49,Magia,"Alvaro Soler",128027,https://open.spotify.com/track/3KJ1QkwWObfuq54pgwTRyW
50,BED,"Joel Corry",123651,https://open.spotify.com/track/0siYMEsGrzzzlWLXK5zJfS
51,River,"Tom Gregory",120937,https://open.spotify.com/track/6jmIUrOD5seJEh6Z6RP2xz
52,"DU BIST DER FEHLER.",Lune,120799,https://open.spotify.com/track/7Fz8qYsfyRfUCKCzdiCiaV
53,"Little Bit of Love","Tom Grennan",120718,https://open.spotify.com/track/3Iba59sFmGhQ4kbCY5L8AX
54,"King Kong",HBz,119228,https://open.spotify.com/track/7GIlBNE6pZRfoRfo4oL7f0
55,"Head & Heart (feat. MNEK)","Joel Corry",117862,https://open.spotify.com/track/6cx06DFPPHchuUAcTxznu9
56,"Blinding Lights","The Weeknd",112785,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
57,Sado,RIN,111538,https://open.spotify.com/track/5zohgCjZbTd40OhgezzFIO
58,RAPSTAR,"Polo G",110429,https://open.spotify.com/track/18vXApRmJSgQ6wG2ll9AOg
59,"KIDS FROM THE BLOCK",Luciano,109559,https://open.spotify.com/track/26hbmLeqiz8loWjFshsegF
60,"Girls Like Us","Zoe Wees",109138,https://open.spotify.com/track/5SFXOMJJ334Wn2PwBHeRZN
61,"Vielen Dank","187 Strassenbande",108021,https://open.spotify.com/track/4xN9cgMVhYyhnugUFZdhcZ
62,"Another Love","Tom Odell",107483,https://open.spotify.com/track/7jtQIBanIiJOMS6RyCx6jZ
63,Roller,"Apache 207",107072,https://open.spotify.com/track/6hw1Sy9wZ8UCxYGdpKrU6M
64,LILA,Olexesh,106278,https://open.spotify.com/track/0XXFjHW8325q9sYnYoB38B
65,ZART,Nimo,105501,https://open.spotify.com/track/1WUXlAFlKIu7fixKZvQECX
66,"We Are The People (feat. Bono & The Edge) - Official UEFA EURO 2020 Song","Martin Garrix",104083,https://open.spotify.com/track/2iL0W5qi0ivZ9WRXbZ74cS
67,"Head Shoulders Knees & Toes (feat. Norma Jean Martine)",Ofenbach,102011,https://open.spotify.com/track/6i7zAdNhzUN2k1HcrBxPHG
68,"Save Your Tears","The Weeknd",101892,https://open.spotify.com/track/5QO79kh1waicV47BqGRL3g
69,"Heartbreak Anthem (with David Guetta & Little Mix)",Galantis,100938,https://open.spotify.com/track/5K6Ssv4Z3zRvxt0P6EKUAP
70,"Nese Don",Belah,100290,https://open.spotify.com/track/1VqL1c1S6Bewcz226C8hQC
71,"Leere Hände (feat. Sido & Samra)",SANTOS,100085,https://open.spotify.com/track/5QEqzFV7R8KSSCJa37tfvs
72,Dynamite,ILIRA,100021,https://open.spotify.com/track/3HqQpSTLHJRKDhulVacRFb
73,"Because You Move Me",Tinlicker,99672,https://open.spotify.com/track/05GvwwTLLID738BbKN1ze0
74,"Ti Amo","Pietro Lombardi",99271,https://open.spotify.com/track/2vlXmglKhzSlV5XJgPzjnx
75,"drivers license","Olivia Rodrigo",98327,https://open.spotify.com/track/5wANPM4fQCJwkGd4rN57mH
76,"POPSMOKE DANCE","Farid Bang",97993,https://open.spotify.com/track/1ZU19OTgd4Xs5QaYJ78bQF
77,"Save Your Tears (with Ariana Grande) (Remix)","The Weeknd",97043,https://open.spotify.com/track/37BZB0z9T8Xu7U3e65qxFy
78,Butter,BTS,95806,https://open.spotify.com/track/2bgTY4UwhfBYhGT4HUYStN
79,"Paradise (feat. Dermot Kennedy)",MEDUZA,95512,https://open.spotify.com/track/6ft4hAq6yde8jPZY2i5zLr
80,"Faded Love",Leony,93864,https://open.spotify.com/track/3RcXFW8aiRYHRaDDYBqJ76
81,"deja vu","Olivia Rodrigo",93125,https://open.spotify.com/track/6HU7h9RYOaPRFeh0R3UeAr
82,FAFB,Lucio101,93101,https://open.spotify.com/track/25ERGFwjI1BUph1oqqTb6O
83,"Mood (feat. iann dior)",24kGoldn,92569,https://open.spotify.com/track/4jPy3l0RUwlUI9T5XHBW2m
84,"WITHOUT YOU","The Kid LAROI",91852,https://open.spotify.com/track/27OeeYzk6klgBh83TSvGMA
85,"White Lies",VIZE,91599,https://open.spotify.com/track/2QuQkdLLzgktXwruPAz6f4
86,PEPPERMINT,Luciano,91424,https://open.spotify.com/track/6V1lWr7s8CO5VkxXe4hBtg
87,"Love Not War (The Tampa Beat)","Jason Derulo",90421,https://open.spotify.com/track/4Lt6GXGzYsa1tgkv3nGSTm
88,Strip,Lena,87900,https://open.spotify.com/track/6YAbciQiCPFDURL31TgtdH
89,"Build a Bitch","Bella Poarch",87705,https://open.spotify.com/track/7BoobGhD4x5K96Me0hqC8Q
90,Arcade,"Duncan Laurence",85579,https://open.spotify.com/track/1J14CdDAvBTE1AJYUOwl6C
91,"Die guten Zeiten","Wincent Weiss",85418,https://open.spotify.com/track/62d30BdDeSz8D9TFc3wx6m
92,"Body (Remix) [feat. ArrDee, E1 (3x3), ZT (3x3), Bugzy Malone, Buni, Fivio Foreign & Darkoo]","Tion Wayne",84890,https://open.spotify.com/track/6uvMKqNlrSvcC4NaKnrwjZ
93,"Das ist alles von der Kunstfreiheit gedeckt","Danger Dan",84878,https://open.spotify.com/track/5axr5HmbZwBFHkc9mlU5aC
94,"Double Cup",Lucio101,84668,https://open.spotify.com/track/5zeZvO7j7n44XvglAhUZm8
95,Church,BHZ,84244,https://open.spotify.com/track/5r9PgwN9hQkjvoKhwmw2mM
96,"One More Time (feat. Alida)","Robin Schulz",83914,https://open.spotify.com/track/2REu6wX4KKrG6uGlTKVqu6
97,"Chain My Heart",Topic,83695,https://open.spotify.com/track/67lbzVADsqJJ6tyVk0XCgn
98,"Fuck Love",Samo104,83670,https://open.spotify.com/track/5TWILNgPPsX8Vweesc88zH
99,Bloodstream,twocolors,83019,https://open.spotify.com/track/236irGwQHCBQnRJs2zgoib
100,Airwaves,Pashanim,81566,https://open.spotify.com/track/5CqkgDH8QZjSqqI3HmYxDD
101,"Heat Waves","Glass Animals",81101,https://open.spotify.com/track/02MWAaffLxlfxAUY7c5dvx
