,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Ohne Dich",KASIMIR1441,534824,https://open.spotify.com/track/4hSJUp6k7QeHLxU32MrLIU
2,"drivers license","Olivia Rodrigo",349492,https://open.spotify.com/track/7lPN2DXiMsVn7XUKtOW1CS
3,"Wenn sie ruft","Miksu / Macloud",291730,https://open.spotify.com/track/0O214XAfoQz8VVH83xpAjz
4,"The Business",Tiësto,286413,https://open.spotify.com/track/6f3Slt0GbA2bPZlz0aIFXN
5,"Save Your Tears","The Weeknd",250071,https://open.spotify.com/track/5QO79kh1waicV47BqGRL3g
6,"Astronaut In The Ocean","Masked Wolf",247820,https://open.spotify.com/track/3Ofmpyhv5UAQ70mENzB277
7,"coke light",Dardan,238050,https://open.spotify.com/track/31M6uFzb0yY2TjqfyuLU89
8,"WITHOUT YOU","The Kid LAROI",232200,https://open.spotify.com/track/27OeeYzk6klgBh83TSvGMA
9,Angst,"Apache 207",222851,https://open.spotify.com/track/5yUzqd3H7cmJ1no6B4uTzu
10,"Blinding Lights","The Weeknd",222211,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
11,"Lost (feat. TOPIC42)",Samra,214840,https://open.spotify.com/track/19LqJBBfd73oeBc3CPgDdl
12,"NICHT WACH",Luciano,212958,https://open.spotify.com/track/3s60n518rusOQcNmLRIGZH
13,"Your Love (9PM)",ATB,204264,https://open.spotify.com/track/5YaskwnGDZFDRipaqzbwQx
14,Whoopty,CJ,201921,https://open.spotify.com/track/5vGLcdRuSbUhD8ScwsGSdA
15,"NO HUGS",Ufo361,191323,https://open.spotify.com/track/6lWncv0txvt3Qwf5jY3ogH
16,"All We Got (feat. KIDDO)","Robin Schulz",185236,https://open.spotify.com/track/1FP9s72rDYty6mfoOEYKnE
17,"Girls Like Us","Zoe Wees",183572,https://open.spotify.com/track/5SFXOMJJ334Wn2PwBHeRZN
18,"Mood (feat. iann dior)",24kGoldn,181637,https://open.spotify.com/track/3tjFYV6RSFtuktYl3ZtYcq
19,"Head & Heart (feat. MNEK)","Joel Corry",180712,https://open.spotify.com/track/6cx06DFPPHchuUAcTxznu9
20,"Paradise (feat. Dermot Kennedy)",MEDUZA,176425,https://open.spotify.com/track/6ft4hAq6yde8jPZY2i5zLr
21,"Love Not War (The Tampa Beat)","Jason Derulo",166367,https://open.spotify.com/track/4Lt6GXGzYsa1tgkv3nGSTm
22,NBA,Jalil,165363,https://open.spotify.com/track/0i2H7vm6eVR3JvWXBIYrpO
23,Lonely,"Miksu / Macloud",162321,https://open.spotify.com/track/2YjkalYiseRDPYjpzLu8Vl
24,"Verdammt ich lieb' Dich","Mike Singer",160534,https://open.spotify.com/track/6PA5kMfB3Hbi7rFFKiRIf4
25,"Head Shoulders Knees & Toes (feat. Norma Jean Martine)",Ofenbach,157848,https://open.spotify.com/track/6i7zAdNhzUN2k1HcrBxPHG
26,Goosebumps,HVME,154968,https://open.spotify.com/track/20McUFi8KCIVdNDLrkTDuZ
27,Verlierer,LUNA,152746,https://open.spotify.com/track/6ZklqpekeC0KFGzyFVjQuj
28,Paradies,Gzuz,150904,https://open.spotify.com/track/6qNLO4HzHeVvHxTaCFMXrf
29,E.G.J.,Animus,150449,https://open.spotify.com/track/08e9NFNJXqJPUKhX5fX5rv
30,Hell,"PA Sports",150379,https://open.spotify.com/track/1CFBjAXDYaKLyxGMrijeo1
31,"White Lies",VIZE,148413,https://open.spotify.com/track/2QuQkdLLzgktXwruPAz6f4
32,"HIGHWAY (feat. ELIF)","Katja Krasavice",146514,https://open.spotify.com/track/6QVxJg8q95hEuPgNRb56jK
33,"you broke me first","Tate McRae",146418,https://open.spotify.com/track/45bE4HXI0AwGZXfZtMp8JR
34,"Rise Up (feat. Vamero)",VINAI,142767,https://open.spotify.com/track/46lyJh9GYmWsHez3EsvmAx
35,"Lemonade (feat. Gunna, Don Toliver & NAV)","Internet Money",138443,https://open.spotify.com/track/7hxHWCCAIIxFLCzvDgnQHX
36,Rapkiller,"Kool Savas",127105,https://open.spotify.com/track/1lcmuqFzLwI595hs4uOrnD
37,"Fly Away","Tones And I",125263,https://open.spotify.com/track/5ri4zqtWhG07hIuNNDWP76
38,HOLIDAY,"Lil Nas X",123469,https://open.spotify.com/track/6zFMeegAMYQo0mt8rXtrli
39,Roller,"Apache 207",123298,https://open.spotify.com/track/6hw1Sy9wZ8UCxYGdpKrU6M
40,Afterglow,"Ed Sheeran",122983,https://open.spotify.com/track/0E4Y1XIbs8GrAT1YqVy6dq
41,Subwoofer,"SHINSKY x DIMA",122208,https://open.spotify.com/track/5zPT86unoFaNP2J348n1p0
42,"Wer wenn nicht wir","Wincent Weiss",121010,https://open.spotify.com/track/5jYDCxuSx1mfApeWA4SlqX
43,"Where The Lights Are Low","Toby Romeo",119656,https://open.spotify.com/track/0Cnb8XdGDMHAmIRBUJMkIS
44,"Prisoner (feat. Dua Lipa)","Miley Cyrus",118919,https://open.spotify.com/track/2Oycxb8QbPkpHTo8ZrmG0B
45,7,Ufo361,115441,https://open.spotify.com/track/3ipliatTDndCmnYGaNiAbI
46,"Bayrisch Drip",Sääftig,114510,https://open.spotify.com/track/3ECbHfRSFMjfm99YFvAD4x
47,"ALLES DOPE",CRO,114220,https://open.spotify.com/track/7HZMdCSq7oUYmn6OHU6kSB
48,Habibi,"Ricky Rich",111386,https://open.spotify.com/track/5lrq8sHObtY0xMmF7Ukzl7
49,"Jerusalema (feat. Nomcebo Zikode)","Master KG",109956,https://open.spotify.com/track/2MlOUXmcofMackX3bxfSwi
50,"Wellerman - Sea Shanty / 220 KID x Billen Ted Remix","Nathan Evans",109064,https://open.spotify.com/track/3iw6V4LH7yPj1ESORX9RIN
51,Hypnotized,"Purple Disco Machine",108044,https://open.spotify.com/track/0vWUhCPxpJOJR5urYbZypB
