,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,Madonna,Bausa,528765,https://open.spotify.com/track/6a3kNt1UlUOapDKmEr3JzZ
2,PEPPERMINT,Luciano,407923,https://open.spotify.com/track/6V1lWr7s8CO5VkxXe4hBtg
3,"Ohne Dich",KASIMIR1441,372388,https://open.spotify.com/track/4hSJUp6k7QeHLxU32MrLIU
4,"Wellerman - Sea Shanty / 220 KID x Billen Ted Remix","Nathan Evans",359862,https://open.spotify.com/track/3iw6V4LH7yPj1ESORX9RIN
5,"Astronaut In The Ocean","Masked Wolf",353699,https://open.spotify.com/track/3VT8hOC5vuDXBsHrR53WFh
6,Aventador,"Capital Bra",330226,https://open.spotify.com/track/5T7pVU8KMd7hpyqfWt0nhy
7,"The Business",Tiësto,282958,https://open.spotify.com/track/6f3Slt0GbA2bPZlz0aIFXN
8,"Diese eine Melodie","Kontra K",262771,https://open.spotify.com/track/6RvBo8JZUMSvvHnGa2hDrj
9,"SYGL (feat. Shindy)",CRO,257375,https://open.spotify.com/track/1tUF7dEhqmV2Z1pTsGAGnD
10,Ordentlich,t-low,257283,https://open.spotify.com/track/4DnHEa1fuf3bn61AwT8Qiv
11,"Your Love (9PM)",ATB,255306,https://open.spotify.com/track/5YaskwnGDZFDRipaqzbwQx
12,"drivers license","Olivia Rodrigo",245817,https://open.spotify.com/track/7lPN2DXiMsVn7XUKtOW1CS
13,"Save Your Tears","The Weeknd",239074,https://open.spotify.com/track/5QO79kh1waicV47BqGRL3g
14,"Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit",Riton,237448,https://open.spotify.com/track/4cG7HUWYHBV6R6tHn1gxrl
15,"WITHOUT YOU","The Kid LAROI",230479,https://open.spotify.com/track/27OeeYzk6klgBh83TSvGMA
16,"Girls Like Us","Zoe Wees",226662,https://open.spotify.com/track/5SFXOMJJ334Wn2PwBHeRZN
17,"White Lies",VIZE,223775,https://open.spotify.com/track/2QuQkdLLzgktXwruPAz6f4
18,"BAD EYEZ",Nimo,218409,https://open.spotify.com/track/5dDQDduj3EaWrPIZ9bc8tj
19,Meer,RIN,213059,https://open.spotify.com/track/3rQHGffq4FmBBykPn5YuKc
20,Habibi,"Ricky Rich",193534,https://open.spotify.com/track/0PukrHFus6hVBHku8hrS0Z
21,"Head & Heart (feat. MNEK)","Joel Corry",177821,https://open.spotify.com/track/6cx06DFPPHchuUAcTxznu9
22,"Wellerman - Sea Shanty","Nathan Evans",176449,https://open.spotify.com/track/54OBgO0Xwu20Jak9TMXbR7
23,"Paradise (feat. Dermot Kennedy)",MEDUZA,172635,https://open.spotify.com/track/6ft4hAq6yde8jPZY2i5zLr
24,"Lost (feat. TOPIC42)",Samra,172380,https://open.spotify.com/track/19LqJBBfd73oeBc3CPgDdl
25,"Mood (feat. iann dior)",24kGoldn,171002,https://open.spotify.com/track/3tjFYV6RSFtuktYl3ZtYcq
26,"Love Not War (The Tampa Beat)","Jason Derulo",168633,https://open.spotify.com/track/4Lt6GXGzYsa1tgkv3nGSTm
27,"Blinding Lights","The Weeknd",164913,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
28,"Head Shoulders Knees & Toes (feat. Norma Jean Martine)",Ofenbach,162158,https://open.spotify.com/track/6i7zAdNhzUN2k1HcrBxPHG
29,Arcade,"Duncan Laurence",160758,https://open.spotify.com/track/1J14CdDAvBTE1AJYUOwl6C
30,"My Head & My Heart","Ava Max",159887,https://open.spotify.com/track/1KixkQVDUHggZMU9dUobgm
31,"All We Got (feat. KIDDO)","Robin Schulz",159049,https://open.spotify.com/track/1iAyJBksvAI6DQEnzv8l1E
32,Roller,"Apache 207",157831,https://open.spotify.com/track/6hw1Sy9wZ8UCxYGdpKrU6M
33,"Wenn sie ruft","Miksu / Macloud",154629,https://open.spotify.com/track/0O214XAfoQz8VVH83xpAjz
34,"Hold On","Justin Bieber",153908,https://open.spotify.com/track/4u4NyuceXP7Uzh7XFJKCr1
35,"What’s Next",Drake,153182,https://open.spotify.com/track/3aQem4jVGdhtg116TmJnHz
36,Goosebumps,HVME,151439,https://open.spotify.com/track/20McUFi8KCIVdNDLrkTDuZ
37,"Squad X Showtime","PA Sports",150480,https://open.spotify.com/track/3RHHUGP9E1McRXqPVsaW66
38,Whoopty,CJ,148964,https://open.spotify.com/track/1t9WgS8FN0534tLBRwbaxO
39,"Keiner kann mich ficken!","187 Strassenbande",148861,https://open.spotify.com/track/7M4zWJmzuf8aZ2aEQUnzU3
40,"Wasted Love (feat. Lagique)",Ofenbach,145982,https://open.spotify.com/track/2pPO9YecZimmuVQfIzfV6U
41,"Wer wenn nicht wir","Wincent Weiss",145312,https://open.spotify.com/track/5jYDCxuSx1mfApeWA4SlqX
42,"Verdammt ich lieb' Dich","Mike Singer",144472,https://open.spotify.com/track/6PA5kMfB3Hbi7rFFKiRIf4
43,"Rise Up (feat. Vamero)",VINAI,140856,https://open.spotify.com/track/46lyJh9GYmWsHez3EsvmAx
44,"No Comprendo",Jamule,138118,https://open.spotify.com/track/5ezbc8nalmV7JqLQQfHwTV
