,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"UNTER VERDACHT","Capital Bra",738513,https://open.spotify.com/track/54AnAMobwJ5ElDCTcPFJk5
2,"Frag mich nicht","Miksu / Macloud",539568,https://open.spotify.com/track/46zfTi4Wg6mmkOBPimtg6X
3,"MONTERO (Call Me By Your Name)","Lil Nas X",535907,https://open.spotify.com/track/67BtfxlNbhBmCDR2L2l8qd
4,ANGEKOMMEN,Ufo361,525168,https://open.spotify.com/track/0MYlBBu6RZktCUKz9If4wF
5,"Leere Hände (feat. Sido & Samra)",SANTOS,497079,https://open.spotify.com/track/5QEqzFV7R8KSSCJa37tfvs
6,"Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit",Riton,492188,https://open.spotify.com/track/4cG7HUWYHBV6R6tHn1gxrl
7,"KIDS FROM THE BLOCK",Luciano,461267,https://open.spotify.com/track/26hbmLeqiz8loWjFshsegF
8,"Peaches (feat. Daniel Caesar & Giveon)","Justin Bieber",443547,https://open.spotify.com/track/4iJyoBOLtHqaGxP12qzhQI
9,"Unter dem Radar","AK AUSSERKONTROLLE",425153,https://open.spotify.com/track/4NOSbom2QAjXJoyoJZehGe
10,Madonna,Bausa,407615,https://open.spotify.com/track/6a3kNt1UlUOapDKmEr3JzZ
11,"Astronaut In The Ocean","Masked Wolf",370256,https://open.spotify.com/track/3VT8hOC5vuDXBsHrR53WFh
12,Leuchtreklame,Haftbefehl,357088,https://open.spotify.com/track/3bgUuchTZfrM1kXHafJYHk
13,"OK (feat. Summer Cem, Nimo & JAY1)","DJ JEEZY",355185,https://open.spotify.com/track/1hpzB1BMURqy30tHpLkQfp
14,"Wellerman - Sea Shanty / 220 KID x Billen Ted Remix","Nathan Evans",339684,https://open.spotify.com/track/3iw6V4LH7yPj1ESORX9RIN
15,"Your Love (9PM)",ATB,299736,https://open.spotify.com/track/5YaskwnGDZFDRipaqzbwQx
16,"HÖR NICHT AUF (feat. Teesy)",CRO,295394,https://open.spotify.com/track/1CLYKdAae2TfCAHZM752sm
17,"Cover Me In Sunshine",P!nk,288064,https://open.spotify.com/track/6Tio0ZoDeSQnI7EBAqWer2
18,"The Business",Tiësto,283138,https://open.spotify.com/track/6f3Slt0GbA2bPZlz0aIFXN
19,"Wasted Love (feat. Lagique)",Ofenbach,280633,https://open.spotify.com/track/2pPO9YecZimmuVQfIzfV6U
20,"Ohne Dich",KASIMIR1441,269034,https://open.spotify.com/track/4hSJUp6k7QeHLxU32MrLIU
21,"Save Your Tears","The Weeknd",243220,https://open.spotify.com/track/5QO79kh1waicV47BqGRL3g
22,RAPSTAR,"Polo G",228661,https://open.spotify.com/track/43PGPuHIlVOc04jrZVh9L6
