,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Auf & Ab",Montez,627397,https://open.spotify.com/track/0RSZ8EmUPEN3ySfCgytPke
2,"STAY (with Justin Bieber)","The Kid LAROI",605970,https://open.spotify.com/track/5PjdY0CKGZdEuoNab3yDmX
3,10von10,Pajel,592219,https://open.spotify.com/track/1sa59Q9urE82MD3ELi44HN
4,"Blaues Licht","RAF Camora",446350,https://open.spotify.com/track/08EPQiLMyGB8GJX2EiVoCM
5,"Bad Habits","Ed Sheeran",373454,https://open.spotify.com/track/6PQ88X9TkUIAUIZJHW2upE
6,Sommergewitter,Pashanim,371953,https://open.spotify.com/track/2H7jZg2HliuQhZjfBblLrZ
7,"Belgisches Viertel",ART,358569,https://open.spotify.com/track/1h3d2lvISrSIV6fS89U51S
8,"Wenn du mich siehst","RAF Camora",340671,https://open.spotify.com/track/3hxJ3qXqg8ysYBF1QmO8Ir
9,"INDUSTRY BABY (feat. Jack Harlow)","Lil Nas X",339538,https://open.spotify.com/track/27NovPIUIRrOZoCHxABJwK
10,"Heat Waves","Glass Animals",303745,https://open.spotify.com/track/02MWAaffLxlfxAUY7c5dvx
11,"Love Tonight - Edit",Shouse,298447,https://open.spotify.com/track/6OufwUcCqo81guU2jAlDVP
12,Beggin',Måneskin,285657,https://open.spotify.com/track/3Wrjm47oTz2sjIgck11l5e
13,"Mit Mir",Loredana,269987,https://open.spotify.com/track/5RWOCS1epJ5Sm6Gu4k8FVo
14,"good 4 u","Olivia Rodrigo",254946,https://open.spotify.com/track/4ZtFanR9U6ndgddUvNcjcG
15,Woman,"Doja Cat",253359,https://open.spotify.com/track/6Uj1ctrBOjOas8xZXGqKk4
16,Hurricane,"Kanye West",249332,https://open.spotify.com/track/0RbW8kWozrVSIGb4V13o0o
17,"61 Grad",Endzone,239629,https://open.spotify.com/track/5Z7J2Au61uO7K1ZPNG1eTv
18,"I WANNA BE YOUR SLAVE",Måneskin,231822,https://open.spotify.com/track/4pt5fDVTg5GhEvEtlz9dKk
19,Crashen,t-low,226305,https://open.spotify.com/track/5STeQZH1Ahz3h0X9Njaij7
20,"Because You Move Me",Tinlicker,217876,https://open.spotify.com/track/05GvwwTLLID738BbKN1ze0
21,"Where Are You Now","Lost Frequencies",216834,https://open.spotify.com/track/3uUuGVFu1V7jTQL60S1r8z
22,Vollmond,Eno,211229,https://open.spotify.com/track/7fAzrCS4F29tUvXxi4PcRR
23,B.I.B.O.,Dardan,201207,https://open.spotify.com/track/5F3sqL2deoeV2kr8Vn9H4V
24,"Wenn Du mich lässt",LEA,190522,https://open.spotify.com/track/6Ey7KSTV0Zx0fnxOw6bdK8
25,Ryu,Ufo361,188707,https://open.spotify.com/track/0t7XJbUWXL7Mow2ZLT50f8
