,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,Angst,"Apache 207",423855,https://open.spotify.com/track/5yUzqd3H7cmJ1no6B4uTzu
2,Lonely,"Miksu / Macloud",324282,https://open.spotify.com/track/2YjkalYiseRDPYjpzLu8Vl
3,7,Ufo361,281361,https://open.spotify.com/track/3ipliatTDndCmnYGaNiAbI
4,"Auf mein Fahrrad",LX,277744,https://open.spotify.com/track/4TdjhEG1dmDNtOaPxvbBQ1
5,"Lost (feat. TOPIC42)",Samra,270385,https://open.spotify.com/track/19LqJBBfd73oeBc3CPgDdl
6,"HIGHWAY (feat. ELIF)","Katja Krasavice",270045,https://open.spotify.com/track/2UD1csihq8aPrpM69C2XrW
7,"SUICIDE DOORS",Luciano,266371,https://open.spotify.com/track/2m7m1EMhMP02OhBZOWkdUV
8,"The Business",Tiësto,248683,https://open.spotify.com/track/6f3Slt0GbA2bPZlz0aIFXN
9,"Mood (feat. iann dior)",24kGoldn,237271,https://open.spotify.com/track/3tjFYV6RSFtuktYl3ZtYcq
10,"Head & Heart (feat. MNEK)","Joel Corry",213421,https://open.spotify.com/track/6cx06DFPPHchuUAcTxznu9
11,"All We Got (feat. KIDDO)","Robin Schulz",205232,https://open.spotify.com/track/1FP9s72rDYty6mfoOEYKnE
12,Goosebumps,HVME,199041,https://open.spotify.com/track/20McUFi8KCIVdNDLrkTDuZ
13,Whoopty,CJ,197982,https://open.spotify.com/track/5vGLcdRuSbUhD8ScwsGSdA
14,"WITHOUT YOU","The Kid LAROI",195862,https://open.spotify.com/track/27OeeYzk6klgBh83TSvGMA
15,"Head Shoulders Knees & Toes (feat. Norma Jean Martine)",Ofenbach,190821,https://open.spotify.com/track/6i7zAdNhzUN2k1HcrBxPHG
16,Verlierer,LUNA,190483,https://open.spotify.com/track/6ZklqpekeC0KFGzyFVjQuj
17,"drivers license","Olivia Rodrigo",188379,https://open.spotify.com/track/7lPN2DXiMsVn7XUKtOW1CS
18,"Blinding Lights","The Weeknd",181558,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
19,"Du hast recht",Zuna,172641,https://open.spotify.com/track/0n7SMysK4IlalcBVw0ELa4
20,"Lemonade (feat. Gunna, Don Toliver & NAV)","Internet Money",171090,https://open.spotify.com/track/7hxHWCCAIIxFLCzvDgnQHX
21,HOLIDAY,"Lil Nas X",169719,https://open.spotify.com/track/6zFMeegAMYQo0mt8rXtrli
22,"Spotlight (feat. Lune)",Monet192,167922,https://open.spotify.com/track/4oPoCZVDcew8drynMh9j6x
23,"Paradise (feat. Dermot Kennedy)",MEDUZA,165770,https://open.spotify.com/track/6ft4hAq6yde8jPZY2i5zLr
24,"gebe auf.",Lune,163464,https://open.spotify.com/track/1upzszB5JxMfNUEBmkcgaO
25,"you broke me first","Tate McRae",154412,https://open.spotify.com/track/45bE4HXI0AwGZXfZtMp8JR
26,Anyone,"Justin Bieber",153295,https://open.spotify.com/track/31qCy5ZaophVA81wtlwLc4
27,Afterglow,"Ed Sheeran",145084,https://open.spotify.com/track/0E4Y1XIbs8GrAT1YqVy6dq
28,"Love Not War (The Tampa Beat)","Jason Derulo",144756,https://open.spotify.com/track/4Lt6GXGzYsa1tgkv3nGSTm
29,"Jerusalema (feat. Nomcebo Zikode)","Master KG",140117,https://open.spotify.com/track/2MlOUXmcofMackX3bxfSwi
30,Habibi,"Ricky Rich",137000,https://open.spotify.com/track/4ECv88UJvcKFQX1HuLixjg
31,"What You Know Bout Love","Pop Smoke",132923,https://open.spotify.com/track/1tkg4EHVoqnhR6iFEXb60y
32,"Prisoner (feat. Dua Lipa)","Miley Cyrus",132866,https://open.spotify.com/track/2Oycxb8QbPkpHTo8ZrmG0B
33,Hypnotized,"Purple Disco Machine",129679,https://open.spotify.com/track/0vWUhCPxpJOJR5urYbZypB
34,Roller,"Apache 207",129128,https://open.spotify.com/track/6hw1Sy9wZ8UCxYGdpKrU6M
35,Paradise,VIZE,126304,https://open.spotify.com/track/2qpZjutAe3pstQsjwSXQb4
36,Angeklagt,"Bonez MC",124902,https://open.spotify.com/track/5eu4Lxm5TlI0tKSTTDWJAT
37,"Roses - Imanbek Remix","SAINt JHN",123506,https://open.spotify.com/track/0zLCBJZSiELJf02ucPP9wb
38,SHAWTY,Luciano,123094,https://open.spotify.com/track/2zeWbdSyAcN0O0r7em4j3B
39,"Therefore I Am","Billie Eilish",119121,https://open.spotify.com/track/54bFM56PmE4YLRnqpW6Tha
40,"ROCKSTAR (feat. Roddy Ricch)",DaBaby,116500,https://open.spotify.com/track/7ytR5pFWmSjzHJIeQkgog4
41,"Monster (Shawn Mendes & Justin Bieber)","Shawn Mendes",114699,https://open.spotify.com/track/1HbA4N1MiOsPthALesGFR1
42,"KEINE FANTASIE (feat. Nimo)","Celo & Abdi",113843,https://open.spotify.com/track/71LgAA6z8AOl6ZK56GarQS
43,"Breaking Me",Topic,110925,https://open.spotify.com/track/3H7ihDc1dqLriiWXwsc2po
44,"ka je",Dardan,107228,https://open.spotify.com/track/0IhTszc48NK2EBCvvc1KKU
45,Lovefool,twocolors,106583,https://open.spotify.com/track/51Of5p3lKZeOg6itfs4og4
46,Unterwegs,KitschKrieg,106083,https://open.spotify.com/track/7mrWTjhYctgEQb0lJKrVWy
47,Bläulich,"Apache 207",105403,https://open.spotify.com/track/2WRTnY0slmFgWcrmEr8dPj
48,Monet,Alligatoah,105274,https://open.spotify.com/track/2vS1HmVoOpvWeFKf7HnWdJ
49,Elbe,Bozza,105132,https://open.spotify.com/track/2kvJnNMqnimkCZUUWjOINy
50,"Bayrisch Drip",Sääftig,103663,https://open.spotify.com/track/3ECbHfRSFMjfm99YFvAD4x
51,Beinchen,SSIO,103570,https://open.spotify.com/track/0VvM6tpinapBQNPXk2vEzN
52,"istanbul freestyle",Pashanim,102213,https://open.spotify.com/track/2ZiltmlAPVrh2ZSDlrxwsE
53,Europol,"Miami Yacine",100790,https://open.spotify.com/track/25UeoyPPgMgvmQVhUBhlow
54,Airwaves,Pashanim,98437,https://open.spotify.com/track/5CqkgDH8QZjSqqI3HmYxDD
55,"Astronaut In The Ocean","Masked Wolf",97080,https://open.spotify.com/track/3Ofmpyhv5UAQ70mENzB277
56,"Lonely (with benny blanco)","Justin Bieber",96927,https://open.spotify.com/track/4y4spB9m0Q6026KfkAvy9Q
57,Habibi,Casar,95295,https://open.spotify.com/track/5wvuvSerLcNK5Xc8v2duWn
58,positions,"Ariana Grande",94610,https://open.spotify.com/track/35mvY5S1H3J2QZyna3TFe0
59,"Fly Away","Tones And I",94316,https://open.spotify.com/track/5ri4zqtWhG07hIuNNDWP76
60,"Take You Dancing","Jason Derulo",94076,https://open.spotify.com/track/59qrUpoplZxbIZxk6X0Bm3
