,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"good 4 u","Olivia Rodrigo",559137,https://open.spotify.com/track/4ZtFanR9U6ndgddUvNcjcG
2,"I WANNA BE YOUR SLAVE",Måneskin,374723,https://open.spotify.com/track/4pt5fDVTg5GhEvEtlz9dKk
3,"Ich darf das","Shirin David",363971,https://open.spotify.com/track/4txsSBdT4yVJtUj41YaQEB
4,"Liege wieder wach",Jamule,349952,https://open.spotify.com/track/2knDuFWczh1Wv92eBAdPTa
5,"Nice To Meet Ya (feat. Yxng Bane)","Wes Nelson",339862,https://open.spotify.com/track/1YHjRAptXqPdsdx3g6FNJL
6,Beggin',Måneskin,339633,https://open.spotify.com/track/3Wrjm47oTz2sjIgck11l5e
7,Sommer,"Beatzarre & Djorkaeff",335378,https://open.spotify.com/track/3sqZwhR5UFmHAh1KLXGOgq
8,GHETTOGIRL,Capo,309279,https://open.spotify.com/track/3idbCPumlga23rxFA08fZE
9,DRILLA,Luciano,297651,https://open.spotify.com/track/4P9lNdUhVPhwfVxZlgjWlL
10,"Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit",Riton,291946,https://open.spotify.com/track/4cG7HUWYHBV6R6tHn1gxrl
11,Rosenkrieg,Loredana,290761,https://open.spotify.com/track/6DiaHETMcKdX7FwuGXwp1O
12,Extasy,"187 Strassenbande",287643,https://open.spotify.com/track/79lc69ZXfL4WmJIzVSDmWT
13,"MONTERO (Call Me By Your Name)","Lil Nas X",273940,https://open.spotify.com/track/67BtfxlNbhBmCDR2L2l8qd
14,"Frag mich nicht","Miksu / Macloud",229316,https://open.spotify.com/track/5ZIFzmhVJRO3tRwtBXrPXh
15,"BLESSED (feat. Capital Bra)",CRO,227424,https://open.spotify.com/track/28tBoBognmn3BBdfjPzSw9
16,"Drink Ist Kalt",BHZ,225529,https://open.spotify.com/track/2CF0s1PAImWgGhEr7W6iY2
17,Madonna,Bausa,217750,https://open.spotify.com/track/6a3kNt1UlUOapDKmEr3JzZ
18,"Levitating (feat. DaBaby)","Dua Lipa",209338,https://open.spotify.com/track/5nujrmhLynf4yMoMtj8AQF
19,"Your Love (9PM)",ATB,207812,https://open.spotify.com/track/5YaskwnGDZFDRipaqzbwQx
20,"ZITTI E BUONI",Måneskin,206708,https://open.spotify.com/track/776AftMmFFAWUIEAb3lHhw
21,ELMAS,Luciano,196176,https://open.spotify.com/track/37yAd2kwEI9axbB6UznrOQ
22,Frisch,01099,195029,https://open.spotify.com/track/7toCqux0Ln42OttYYyds4k
23,"Alles nach Plan","187 Strassenbande",191775,https://open.spotify.com/track/1fW5PpJSmPiVXAi0l92PHm
24,"Astronaut In The Ocean","Masked Wolf",189703,https://open.spotify.com/track/0BGwAKW4u8kWOhWFflZxfl
25,"Peaches (feat. Daniel Caesar & Giveon)","Justin Bieber",185619,https://open.spotify.com/track/4iJyoBOLtHqaGxP12qzhQI
26,"Iko Iko (My Bestie)","Justin Wellington",184256,https://open.spotify.com/track/7MC4XR9M9amdmKQr2iDF7i
27,"The Business",Tiësto,181005,https://open.spotify.com/track/6f3Slt0GbA2bPZlz0aIFXN
28,Durstlöscher,01099,178189,https://open.spotify.com/track/51S7lhJk6AHiFg0PhJupfz
29,"Tu nicht so",badmómzjay,177863,https://open.spotify.com/track/4rs0jr2tC1Qg32Fm7zfdsT
30,"Cover Me In Sunshine",P!nk,176482,https://open.spotify.com/track/0UKUfxIkDAMZz7hMdiVX3m
31,"Wasted Love (feat. Lagique)",Ofenbach,175454,https://open.spotify.com/track/2pPO9YecZimmuVQfIzfV6U
32,"Wellerman - Sea Shanty / 220 KID x Billen Ted Remix","Nathan Evans",174149,https://open.spotify.com/track/3iw6V4LH7yPj1ESORX9RIN
33,"Vielen Dank","187 Strassenbande",169570,https://open.spotify.com/track/4xN9cgMVhYyhnugUFZdhcZ
34,Rasputin,Majestic,166359,https://open.spotify.com/track/0b18g3G5spr4ZCkz7Y6Q0Q
35,"Leere Hände (feat. Sido & Samra)",SANTOS,162948,https://open.spotify.com/track/5QEqzFV7R8KSSCJa37tfvs
36,"DU BIST DER FEHLER.",Lune,162100,https://open.spotify.com/track/7Fz8qYsfyRfUCKCzdiCiaV
37,Run,OneRepublic,159224,https://open.spotify.com/track/2UbVnbE5FH6008mAm6Mmgw
38,"Kiss Me More (feat. SZA)","Doja Cat",156755,https://open.spotify.com/track/748mdHapucXQri7IAO8yFK
39,Flugangst,FOURTY,154966,https://open.spotify.com/track/35sMaFXKwu4q4o19iLpdxC
40,"Ohne Dich",KASIMIR1441,154440,https://open.spotify.com/track/4hSJUp6k7QeHLxU32MrLIU
41,"HAPPY BIRTHDAY","Farid Bang",152348,https://open.spotify.com/track/3bmhalgSjoDFfDwdu21aws
42,"Fireworks (feat. Moss Kena & The Knocks)","Purple Disco Machine",148842,https://open.spotify.com/track/1kTlT3phtU2yqTJYT1x6hb
43,Traffic,Lucio101,148485,https://open.spotify.com/track/5KM1EXLcddixJNYv1Hqukk
44,"KIDS FROM THE BLOCK",Luciano,144197,https://open.spotify.com/track/26hbmLeqiz8loWjFshsegF
45,"Lost Cause","Billie Eilish",142647,https://open.spotify.com/track/2xdwCJLfKCkat14mlgR26M
46,"Head & Heart (feat. MNEK)","Joel Corry",142477,https://open.spotify.com/track/6cx06DFPPHchuUAcTxznu9
47,3065,"AK AUSSERKONTROLLE",142024,https://open.spotify.com/track/4tow4iBkVBJvmvMohCygQH
48,ZART,Nimo,140349,https://open.spotify.com/track/1WUXlAFlKIu7fixKZvQECX
49,"Girls Like Us","Zoe Wees",140301,https://open.spotify.com/track/5SFXOMJJ334Wn2PwBHeRZN
50,Redlight,Glockenbach,139881,https://open.spotify.com/track/24osWl0SQSyHzGyEMdf394
51,"Drei Uhr Nachts","Mark Forster",137442,https://open.spotify.com/track/58GxgFEG5uHc9oMhofuuIP
52,"Little Bit of Love","Tom Grennan",131158,https://open.spotify.com/track/3Iba59sFmGhQ4kbCY5L8AX
53,BED,"Joel Corry",129795,https://open.spotify.com/track/0siYMEsGrzzzlWLXK5zJfS
54,"White Lies",VIZE,126376,https://open.spotify.com/track/2QuQkdLLzgktXwruPAz6f4
