,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"allein allein",Ufo361,491052,https://open.spotify.com/track/0pA0BVXTONNqSldC9FdiaU
2,abcdefu,GAYLE,389047,https://open.spotify.com/track/4fouWK6XVHhzl78KzQ1UjL
3,"Do It To It",ACRAZE,346432,https://open.spotify.com/track/20on25jryn53hWghthWWW3
4,"Mit Dir",Sido,326189,https://open.spotify.com/track/2xFMvrqk99biaLQavjufta
5,"Heat Waves","Glass Animals",310884,https://open.spotify.com/track/02MWAaffLxlfxAUY7c5dvx
6,"DER LETZTE SONG (ALLES WIRD GUT) (feat. Fred Rabe)",KUMMER,264939,https://open.spotify.com/track/2FQRZLR31e3423Nmrgv0Pv
7,Shivers,"Ed Sheeran",263198,https://open.spotify.com/track/50nfwKoDiSYg8zOCREWAm5
8,"Where Are You Now","Lost Frequencies",261012,https://open.spotify.com/track/3uUuGVFu1V7jTQL60S1r8z
9,"Cold Heart - PNAU Remix","Elton John",260975,https://open.spotify.com/track/7rglLriMNBPAyuJOMGwi39
10,"Enemy (with JID) - from the series Arcane League of Legends","Imagine Dragons",256874,https://open.spotify.com/track/1r9xUipOqoNwggBpENDsvJ
11,"STAY (with Justin Bieber)","The Kid LAROI",249469,https://open.spotify.com/track/5PjdY0CKGZdEuoNab3yDmX
12,Pepas,Farruko,246527,https://open.spotify.com/track/2B4GHvToeLTOBB4QLzW3Ni
13,"Rubinroter Wein",ART,234703,https://open.spotify.com/track/5aYQ6eeE2qIDI4Nkp3P4DP
14,"Auf & Ab",Montez,224928,https://open.spotify.com/track/0RSZ8EmUPEN3ySfCgytPke
15,"INDUSTRY BABY (feat. Jack Harlow)","Lil Nas X",211133,https://open.spotify.com/track/5Z9KJZvQzH6PFmb8SNkxuk
16,"paris freestyle - skrilla remix",Pashanim,210812,https://open.spotify.com/track/6fuO9uk9wbjCHvQJqk2Qpx
17,"Blunt für dich",Jazeek,207464,https://open.spotify.com/track/2ez3Jmw9dFAJEGX1naEqBg
18,"Easy On Me",Adele,199785,https://open.spotify.com/track/46IZ0fSY2mpAiktS3KOqds
19,Späti,Gzuz,196628,https://open.spotify.com/track/1S4Ehm8b7O4n9lIy3uAMS1
20,"The Motto",Tiësto,196603,https://open.spotify.com/track/18asYwWugKjjsihZ0YvRxO
21,"Bad Habits","Ed Sheeran",191971,https://open.spotify.com/track/3rmo8F54jFF8OgYsqTxm5d
22,Infinity,"Jaymes Young",190401,https://open.spotify.com/track/1SOClUWhOi8vHZYMz3GluK
23,"Blaues Licht","RAF Camora",165160,https://open.spotify.com/track/2Oi1IJ6JEUX1aya9VUAA1Z
24,Acapulco,"Jason Derulo",162304,https://open.spotify.com/track/3eJH2nAjvNXdmPfBkALiPZ
25,Sommergewitter,Pashanim,157335,https://open.spotify.com/track/2H7jZg2HliuQhZjfBblLrZ
26,10von10,Pajel,157108,https://open.spotify.com/track/1sa59Q9urE82MD3ELi44HN
27,"Genau so Eine",Gzuz,149946,https://open.spotify.com/track/46OCZYetGZYSxpKRJ8epzp
28,SUVs,Luciano,149474,https://open.spotify.com/track/01I8aPBUJIMzCtHsCVvmq5
29,"Love Tonight - Edit",Shouse,148483,https://open.spotify.com/track/6OufwUcCqo81guU2jAlDVP
30,"It'll Be Okay","Shawn Mendes",144620,https://open.spotify.com/track/2KnLkZ3z7PO3kgVGHGqDpD
