,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Heat Waves","Glass Animals",390726,https://open.spotify.com/track/02MWAaffLxlfxAUY7c5dvx
2,"STAY (with Justin Bieber)","The Kid LAROI",388172,https://open.spotify.com/track/5PjdY0CKGZdEuoNab3yDmX
3,Vodka,"Apache 207",361222,https://open.spotify.com/track/5axqVsveGtmOkq7H1wV3c0
4,"Auf & Ab",Montez,325561,https://open.spotify.com/track/0RSZ8EmUPEN3ySfCgytPke
5,"Where Are You Now","Lost Frequencies",316472,https://open.spotify.com/track/3uUuGVFu1V7jTQL60S1r8z
6,Shivers,"Ed Sheeran",311625,https://open.spotify.com/track/75MNhvTCCKsST3YqqUiU9r
7,10von10,Pajel,295845,https://open.spotify.com/track/1sa59Q9urE82MD3ELi44HN
8,Mond,Montez,290938,https://open.spotify.com/track/7ucTEwb8eRMpRlA744gjOo
9,"Ich bin weg - BoroBoro",Samra,282328,https://open.spotify.com/track/1f6Paz0Vf1CPhcNDs1vMyR
10,"INDUSTRY BABY (feat. Jack Harlow)","Lil Nas X",270475,https://open.spotify.com/track/5Z9KJZvQzH6PFmb8SNkxuk
11,"Moje Sve",Hava,262525,https://open.spotify.com/track/1LBWVVGfTCr8EYNSd92W81
12,"Blaues Licht","RAF Camora",259933,https://open.spotify.com/track/08EPQiLMyGB8GJX2EiVoCM
13,2CB,"RAF Camora",255004,https://open.spotify.com/track/2r9gIpt17PhZv0y2nCpFHC
14,"Bad Habits","Ed Sheeran",249317,https://open.spotify.com/track/6PQ88X9TkUIAUIZJHW2upE
15,"Belgisches Viertel",ART,236044,https://open.spotify.com/track/1h3d2lvISrSIV6fS89U51S
16,Sommergewitter,Pashanim,198891,https://open.spotify.com/track/2H7jZg2HliuQhZjfBblLrZ
17,"Love Tonight - Edit",Shouse,192884,https://open.spotify.com/track/6OufwUcCqo81guU2jAlDVP
18,"Baby 2.0",Zuna,185463,https://open.spotify.com/track/4mc0wGvP83zeFlhuatdyXM
19,"good 4 u","Olivia Rodrigo",178589,https://open.spotify.com/track/4ZtFanR9U6ndgddUvNcjcG
20,Woman,"Doja Cat",175859,https://open.spotify.com/track/6Uj1ctrBOjOas8xZXGqKk4
21,"love nwantiti (ah ah ah)",CKay,174901,https://open.spotify.com/track/2Xr1dTzJee307rmrkt8c0g
22,Fair,Nura,174878,https://open.spotify.com/track/3uSWJuI3SGbn2HGKrhM3Mn
23,Beggin',Måneskin,174144,https://open.spotify.com/track/3Wrjm47oTz2sjIgck11l5e
24,"OUT OUT (feat. Charli XCX & Saweetie)","Joel Corry",167500,https://open.spotify.com/track/6Dy1jexKYriXAVG6evyUTJ
25,Pepas,Farruko,161920,https://open.spotify.com/track/2B4GHvToeLTOBB4QLzW3Ni
26,"THATS WHAT I WANT","Lil Nas X",160650,https://open.spotify.com/track/0e8nrvls4Qqv5Rfa2UhqmO
27,"Wenn du mich siehst","RAF Camora",153718,https://open.spotify.com/track/3AVC5l5wCEALuj4tg02uIL
28,MONEY,LISA,152318,https://open.spotify.com/track/7hU3IHwjX150XLoTVmjD0q
29,Crashen,t-low,151162,https://open.spotify.com/track/5STeQZH1Ahz3h0X9Njaij7
30,"I WANNA BE YOUR SLAVE",Måneskin,150554,https://open.spotify.com/track/4pt5fDVTg5GhEvEtlz9dKk
31,"Because You Move Me",Tinlicker,146166,https://open.spotify.com/track/1F80MEkZA9yTlpMQp9dhht
32,"MONTERO (Call Me By Your Name)","Lil Nas X",144508,https://open.spotify.com/track/1SC5rEoYDGUK4NfG82494W
33,Colorado,"Milky Chance",143303,https://open.spotify.com/track/0eZmBWVC1HYayrP2fqQ7nu
34,"love nwantiti (feat. Dj Yo! & AX'EL) - Remix",CKay,142812,https://open.spotify.com/track/4gvrJnKCKIPiacNsWVQwEU
35,"Eine Pille","Bonez MC",137348,https://open.spotify.com/track/54mztWQ0VfH2pqw0jRROZC
36,"Immer wenn es regnet",Loredana,135506,https://open.spotify.com/track/1ET2yDvPFLjWGNUoZHPbSh
37,u.,niteboi,135381,https://open.spotify.com/track/0J7oHYxjF6Oln61wy0kP2i
38,DNA,"RAF Camora",134587,https://open.spotify.com/track/2xwYEsJIXhbQdtHS0eLHF0
39,"Wenn Du mich lässt",LEA,132339,https://open.spotify.com/track/6Ey7KSTV0Zx0fnxOw6bdK8
40,Intro,Jamule,128085,https://open.spotify.com/track/4EkINDGSjzvOKxOFMZACW0
41,OZEAN,KALIM,126561,https://open.spotify.com/track/3vQqFgN3bhO1Lim4yXzmi5
42,"ICH WILL DICH",Rubi,123038,https://open.spotify.com/track/6TVjsvC0IzHsVwfSmt2EjO
43,"Para Drill",Dardan,122677,https://open.spotify.com/track/1JOAfPOJkTIdrVdrYMF9LD
44,"Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit",Riton,120213,https://open.spotify.com/track/4cG7HUWYHBV6R6tHn1gxrl
45,"Life Goes On","Oliver Tree",118648,https://open.spotify.com/track/0eu4C55hL6x29mmeAjytzC
46,"Lamborghini Doors","Apache 207",116690,https://open.spotify.com/track/3RcMZdAgZmG645LyMKFH3I
47,Kuku,"Butrint Imeri",116518,https://open.spotify.com/track/7rHuaTEGYh4WnRZWlR88JQ
48,"Cold Heart - PNAU Remix","Elton John",115977,https://open.spotify.com/track/6zSpb8dQRaw0M1dK8PBwQz
49,"My Universe",Coldplay,114457,https://open.spotify.com/track/3FeVmId7tL5YN8B7R3imoM
50,"Sterne unterm Dach",badmómzjay,113594,https://open.spotify.com/track/1edUWAS1x66v10yguQ6qkO
51,Acapulco,"Jason Derulo",112806,https://open.spotify.com/track/3eJH2nAjvNXdmPfBkALiPZ
52,"61 Grad",Endzone,112238,https://open.spotify.com/track/5Z7J2Au61uO7K1ZPNG1eTv
53,"Never Going Home",Kungs,112160,https://open.spotify.com/track/0xfMlIW8lS40qvpsUw1l0X
54,"Happier Than Ever","Billie Eilish",108932,https://open.spotify.com/track/4RVwu0g32PAqgUiJoXsdF8
55,"ICE CUBES (feat. Scorpion Gang & Faroon)","BILLA JOE",106006,https://open.spotify.com/track/7IfMueN16euoLMqLmiXkq3
56,leer,Milano,103367,https://open.spotify.com/track/7BCuji0Q2jK2kmt5RstQiS
57,"Chosen (feat. Ty Dolla $ign)",Blxst,99362,https://open.spotify.com/track/1dIWPXMX4kRHj6Dt2DStUQ
58,"In Da Getto","J Balvin",98865,https://open.spotify.com/track/1q0PYXTbDsirp2l74ng6pn
59,Habit,Laurell,98540,https://open.spotify.com/track/4bnutybG1itDcpyoQo2Uoc
60,Bored,"Billie Eilish",97071,https://open.spotify.com/track/04sN26COy28wTXYj3dMoiZ
61,"Fair Trade (with Travis Scott)",Drake,96301,https://open.spotify.com/track/40iJIUlhi6renaREYGeIDS
62,"Friendships (Lost My Love)","Pascal Letoublon",95878,https://open.spotify.com/track/0lQ2obtzmAsJu9xk3D6FqH
63,Durstlöscher,01099,95240,https://open.spotify.com/track/51S7lhJk6AHiFg0PhJupfz
64,Polizei,"KC Rebell",94189,https://open.spotify.com/track/21nMasJVN7cJ9gxtxUEPsu
65,Feuer,Monet192,93052,https://open.spotify.com/track/6ael3WYGBlAi2IdVPdGNyc
66,Infinity,"Jaymes Young",92541,https://open.spotify.com/track/1SOClUWhOi8vHZYMz3GluK
67,"King Kong",HBz,89382,https://open.spotify.com/track/7GIlBNE6pZRfoRfo4oL7f0
68,2sad2disco,"Apache 207",86977,https://open.spotify.com/track/3HJKVymmisbtzi3s0hFCG4
69,"Take My Breath - Single Version","The Weeknd",86900,https://open.spotify.com/track/6M3PsepEj5gyJoIi7Xvr7u
70,"Mit Mir",Loredana,86575,https://open.spotify.com/track/5Qj2s3QcOu3tU2S0TYSS7D
71,"Gut im Geschäft","AK AUSSERKONTROLLE",86551,https://open.spotify.com/track/7yLsJKvUGkfjg8gkXSJhDF
72,"Blinding Lights","The Weeknd",86282,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
73,"Last One Standing (feat. Polo G, Mozzy & Eminem) - From Venom: Let There Be Carnage","Skylar Grey",85555,https://open.spotify.com/track/5W8HXMOMLtXLz0RGKUtnlZ
74,Madonna,Bausa,85493,https://open.spotify.com/track/6a3kNt1UlUOapDKmEr3JzZ
75,"Way 2 Sexy (with Future & Young Thug)",Drake,84990,https://open.spotify.com/track/0k1WUmIRnG3xU6fvvDVfRG
76,"Lieben wir","Shirin David",84291,https://open.spotify.com/track/49gzU1IS1B6P3GATSZ5eCE
77,Roller,"Apache 207",84145,https://open.spotify.com/track/6hw1Sy9wZ8UCxYGdpKrU6M
78,"If You Really Love Me (How Will I Know)","David Guetta",84040,https://open.spotify.com/track/1V7bZ9gEIwFQpm8yGxRHNA
79,SCHMETTERLING,Luciano,83712,https://open.spotify.com/track/3gUVLJZ0JoGRuoRNUCIYsI
80,Vollmond,Eno,82691,https://open.spotify.com/track/7fAzrCS4F29tUvXxi4PcRR
81,"love nwantiti (feat. ElGrande Toto) - North African Remix",CKay,82366,https://open.spotify.com/track/1EYeZGTMCjV7uVey5fNWXM
82,"Need to Know","Doja Cat",82326,https://open.spotify.com/track/3Vi5XqYrmQgOYBajMWSvCi
83,"Du bist weg",Achtabahn,81354,https://open.spotify.com/track/6N232wLjZMfFIdEX1E48ck
84,2055,"Sleepy Hallow",81044,https://open.spotify.com/track/4XvcHTUfIlWfyJTRG0aqlo
85,"Liege wieder wach",Jamule,80742,https://open.spotify.com/track/2knDuFWczh1Wv92eBAdPTa
86,"Another Love","Tom Odell",80295,https://open.spotify.com/track/7jtQIBanIiJOMS6RyCx6jZ
87,"The Business",Tiësto,80216,https://open.spotify.com/track/6f3Slt0GbA2bPZlz0aIFXN
88,LILA,Olexesh,77551,https://open.spotify.com/track/4c8nsq2FrhU3MnSAOlqSj6
89,Run,OneRepublic,77237,https://open.spotify.com/track/6KL88T4Ma4ABXqzgUoEwkd
90,"Love Tonight - David Guetta Remix Edit",Shouse,73880,https://open.spotify.com/track/2prnn41CblB8B4yWACDljP
91,Parfum,LEA,72062,https://open.spotify.com/track/7DAwoiyKRNeS25oqvGk5lQ
92,"Für dich (feat. ille & MABU)",lityway,72034,https://open.spotify.com/track/2e9SUhfqprCWCWNXcZNjxP
