,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"paris freestyle - skrilla remix",Pashanim,393847,https://open.spotify.com/track/6fuO9uk9wbjCHvQJqk2Qpx
2,Shivers,"Ed Sheeran",379314,https://open.spotify.com/track/50nfwKoDiSYg8zOCREWAm5
3,"Heat Waves","Glass Animals",345075,https://open.spotify.com/track/02MWAaffLxlfxAUY7c5dvx
4,B.I.B.O.,Dardan,336071,https://open.spotify.com/track/5F3sqL2deoeV2kr8Vn9H4V
5,"Where Are You Now","Lost Frequencies",319574,https://open.spotify.com/track/3uUuGVFu1V7jTQL60S1r8z
6,Gelebt,"KC Rebell",303283,https://open.spotify.com/track/2zc3acsVhebCn3oYmBh51v
7,"STAY (with Justin Bieber)","The Kid LAROI",281074,https://open.spotify.com/track/5PjdY0CKGZdEuoNab3yDmX
8,"Easy On Me",Adele,270456,https://open.spotify.com/track/0gplL1WMoJ6iYaPgMCL0gX
9,"Cold Heart - PNAU Remix","Elton John",264100,https://open.spotify.com/track/7rglLriMNBPAyuJOMGwi39
10,Pepas,Farruko,263914,https://open.spotify.com/track/2B4GHvToeLTOBB4QLzW3Ni
11,"Auf & Ab",Montez,262649,https://open.spotify.com/track/0RSZ8EmUPEN3ySfCgytPke
12,"Do It To It",ACRAZE,253433,https://open.spotify.com/track/20on25jryn53hWghthWWW3
13,"BLEIB' ÜBER NACHT (feat. Luciano)",KALIM,245373,https://open.spotify.com/track/6jnR8dYSsKNqj1lVVFT5R0
14,"Thunfisch & Weinbrand","Apache 207",242737,https://open.spotify.com/track/0m4ZKA2izLfFp74EOu5ob5
15,"Be a Hoe/Break a Hoe","Shirin David",230530,https://open.spotify.com/track/2NkKIjlfLa9o9Yfsq2tl99
16,"INDUSTRY BABY (feat. Jack Harlow)","Lil Nas X",223544,https://open.spotify.com/track/5Z9KJZvQzH6PFmb8SNkxuk
17,"Küsse wie Gift",LEA,217842,https://open.spotify.com/track/30YfM60marCBbIDOVxa7Lk
18,"Bad Habits","Ed Sheeran",216342,https://open.spotify.com/track/3rmo8F54jFF8OgYsqTxm5d
19,Raindrops,"Katja Krasavice",212627,https://open.spotify.com/track/3sZOiHgkXpDcilUBtHSixK
20,Späti,Gzuz,212605,https://open.spotify.com/track/1S4Ehm8b7O4n9lIy3uAMS1
21,10von10,Pajel,207445,https://open.spotify.com/track/1sa59Q9urE82MD3ELi44HN
22,"Blaues Licht","RAF Camora",205334,https://open.spotify.com/track/08EPQiLMyGB8GJX2EiVoCM
23,"Canada Goose",Samra,202559,https://open.spotify.com/track/6CL9ip2mMQzm8atRzahP5F
24,Toxic,BoyWithUke,197198,https://open.spotify.com/track/2gQPv5jvVPqU2a9HhMNO1v
25,MONEY,LISA,188900,https://open.spotify.com/track/7hU3IHwjX150XLoTVmjD0q
26,"Belgisches Viertel",ART,185232,https://open.spotify.com/track/1h3d2lvISrSIV6fS89U51S
27,"Dein Song",CRO,180527,https://open.spotify.com/track/4VIyBZioj5khxauaZJexks
28,Acapulco,"Jason Derulo",178878,https://open.spotify.com/track/3eJH2nAjvNXdmPfBkALiPZ
29,Sommergewitter,Pashanim,173638,https://open.spotify.com/track/2H7jZg2HliuQhZjfBblLrZ
30,"ESCAPE PLAN","Travis Scott",173511,https://open.spotify.com/track/4R67rQNSbbsR4TdUVOIdez
31,2CB,"RAF Camora",162313,https://open.spotify.com/track/2r9gIpt17PhZv0y2nCpFHC
32,"Enemy (with JID) - from the series Arcane League of Legends","Imagine Dragons",160870,https://open.spotify.com/track/1r9xUipOqoNwggBpENDsvJ
33,2011,Dardan,159740,https://open.spotify.com/track/44IkrAeQhRxZpuyshIeVEW
34,"One Right Now (with The Weeknd)","Post Malone",157996,https://open.spotify.com/track/00Blm7zeNqgYLPtW6zg8cj
35,"Friendships (Lost My Love)","Pascal Letoublon",157056,https://open.spotify.com/track/0lQ2obtzmAsJu9xk3D6FqH
36,"Moth To A Flame (with The Weeknd)","Swedish House Mafia",152918,https://open.spotify.com/track/2gpWyfu7eZ01zzncHpxOtA
37,"THATS WHAT I WANT","Lil Nas X",150729,https://open.spotify.com/track/0e8nrvls4Qqv5Rfa2UhqmO
38,"Love Tonight - Edit",Shouse,150594,https://open.spotify.com/track/6OufwUcCqo81guU2jAlDVP
39,Mosaik,"kid kapri",150010,https://open.spotify.com/track/3x9fMzoAPNxEFVrP6kU1f7
40,"OUT OUT (feat. Charli XCX & Saweetie)","Joel Corry",147060,https://open.spotify.com/track/6Dy1jexKYriXAVG6evyUTJ
41,Guapa,"RAF Camora",146713,https://open.spotify.com/track/5FsV0biZgb8tmQtau5LxKz
42,"good 4 u","Olivia Rodrigo",141335,https://open.spotify.com/track/4ZtFanR9U6ndgddUvNcjcG
43,"Because You Move Me",Tinlicker,138711,https://open.spotify.com/track/1F80MEkZA9yTlpMQp9dhht
44,"love nwantiti (ah ah ah)",CKay,138365,https://open.spotify.com/track/2Xr1dTzJee307rmrkt8c0g
45,"Ich bin weg - BoroBoro",Samra,138016,https://open.spotify.com/track/1f6Paz0Vf1CPhcNDs1vMyR
46,"SAD GIRLZ LUV MONEY Remix (feat. Kali Uchis and Moliy)",Amaarae,135931,https://open.spotify.com/track/15HMh4yxdf4wyxSZSlOgGZ
47,"Overpass Graffiti","Ed Sheeran",135302,https://open.spotify.com/track/4btFHqumCO31GksfuBLLv3
48,Colorado,"Milky Chance",134583,https://open.spotify.com/track/35iR1qzexmbcUSgA01S4gI
49,"Wenn Du mich lässt",LEA,133791,https://open.spotify.com/track/3rIl1xa1Bzsp5zMkd0CT2Z
50,Woman,"Doja Cat",129413,https://open.spotify.com/track/6Uj1ctrBOjOas8xZXGqKk4
51,Beggin',Måneskin,125189,https://open.spotify.com/track/3Wrjm47oTz2sjIgck11l5e
52,"Per Ty (feat. Mozzik)",Dardan,122366,https://open.spotify.com/track/1KwLkHOnyWedxyhZBOIHUM
53,"My Universe",Coldplay,120241,https://open.spotify.com/track/46HNZY1i7O6jwTA7Slo2PI
54,"love nwantiti (feat. Dj Yo! & AX'EL) - Remix",CKay,117425,https://open.spotify.com/track/4gvrJnKCKIPiacNsWVQwEU
55,Infinity,"Jaymes Young",117301,https://open.spotify.com/track/1SOClUWhOi8vHZYMz3GluK
56,"Happy End (feat. Sido)","Vanessa Mai",113571,https://open.spotify.com/track/1YRaS0rNK8y9E5NeTrKe03
57,"Dopamine (feat. Eyelar)","Purple Disco Machine",113552,https://open.spotify.com/track/5JBtWpLoGO62gb5vax505b
58,"The Motto",Tiësto,111235,https://open.spotify.com/track/18asYwWugKjjsihZ0YvRxO
59,"Wenn du mich siehst","RAF Camora",109556,https://open.spotify.com/track/3AVC5l5wCEALuj4tg02uIL
60,Vodka,"Apache 207",108384,https://open.spotify.com/track/5axqVsveGtmOkq7H1wV3c0
61,"Moje Sve",Hava,105925,https://open.spotify.com/track/1LBWVVGfTCr8EYNSd92W81
62,Crashen,t-low,103098,https://open.spotify.com/track/5STeQZH1Ahz3h0X9Njaij7
63,IDWK,"PA Sports",102989,https://open.spotify.com/track/1jwi2hdepSbFkuBjOore8i
64,Nullkommaneun,SSIO,102599,https://open.spotify.com/track/3cLXgIlvugVKpWBmO5v9oy
65,"Null auf 100","Helene Fischer",101338,https://open.spotify.com/track/2YyIZVbxDKCWolKTcbdp6B
66,"MONTERO (Call Me By Your Name)","Lil Nas X",99324,https://open.spotify.com/track/1SC5rEoYDGUK4NfG82494W
67,"Normal für mich",Jamule,97900,https://open.spotify.com/track/4KNeXUjINFJmLceS4KUYGa
68,"In Da Getto","J Balvin",96693,https://open.spotify.com/track/1q0PYXTbDsirp2l74ng6pn
69,"Ohne Dich",Milano,96350,https://open.spotify.com/track/43x5ZJYxp8tfcUWmfa1EV0
70,"Blinding Lights","The Weeknd",96160,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
71,"Dies & Das",01099,95377,https://open.spotify.com/track/5GzBVGr752l5qcGo2ZBNoS
72,"Never Going Home",Kungs,95273,https://open.spotify.com/track/0xfMlIW8lS40qvpsUw1l0X
73,Mond,Montez,94856,https://open.spotify.com/track/7ucTEwb8eRMpRlA744gjOo
74,"Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit",Riton,94856,https://open.spotify.com/track/4cG7HUWYHBV6R6tHn1gxrl
75,MAFIA,"Travis Scott",94586,https://open.spotify.com/track/08F16baYbciTva9P4BvpiI
76,Roller,"Apache 207",94379,https://open.spotify.com/track/6hw1Sy9wZ8UCxYGdpKrU6M
77,"My Heart Goes (La Di Da) (feat. Topic)","Becky Hill",92441,https://open.spotify.com/track/2dWNKXTs5z7Iu1g0kYh4Xe
