,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Peaches (feat. Daniel Caesar & Giveon)","Justin Bieber",492912,https://open.spotify.com/track/4iJyoBOLtHqaGxP12qzhQI
2,"Frag mich nicht","Miksu / Macloud",481024,https://open.spotify.com/track/46zfTi4Wg6mmkOBPimtg6X
3,"Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit",Riton,420488,https://open.spotify.com/track/4cG7HUWYHBV6R6tHn1gxrl
4,Madonna,Bausa,411952,https://open.spotify.com/track/6a3kNt1UlUOapDKmEr3JzZ
5,"MONTERO (Call Me By Your Name)","Lil Nas X",371215,https://open.spotify.com/track/3BZEcbdtXQSo7OrvKRJ6mb
6,Diebe,Samra,369780,https://open.spotify.com/track/4allObWlgZ21WeVKbxSIlk
7,"Astronaut In The Ocean","Masked Wolf",367864,https://open.spotify.com/track/3VT8hOC5vuDXBsHrR53WFh
8,"Wellerman - Sea Shanty / 220 KID x Billen Ted Remix","Nathan Evans",363242,https://open.spotify.com/track/3iw6V4LH7yPj1ESORX9RIN
9,Overdose,Jamule,354904,https://open.spotify.com/track/0iSNXzEBlNNJrqRiEIAw1s
10,"Your Love (9PM)",ATB,304049,https://open.spotify.com/track/5YaskwnGDZFDRipaqzbwQx
11,"The Business",Tiësto,294149,https://open.spotify.com/track/6f3Slt0GbA2bPZlz0aIFXN
12,"Big Bad Wolf (feat. BACI)","Kontra K",273853,https://open.spotify.com/track/453XFFLA4D028MrRuXBl9i
13,"Wasted Love (feat. Lagique)",Ofenbach,268967,https://open.spotify.com/track/2pPO9YecZimmuVQfIzfV6U
14,"Ohne Dich",KASIMIR1441,262260,https://open.spotify.com/track/4hSJUp6k7QeHLxU32MrLIU
15,"Save Your Tears","The Weeknd",246791,https://open.spotify.com/track/5QO79kh1waicV47BqGRL3g
16,Verpennt,"187 Strassenbande",240620,https://open.spotify.com/track/38ymFU7u5XorxpySYJT0FA
17,"Cover Me In Sunshine",P!nk,237771,https://open.spotify.com/track/6Tio0ZoDeSQnI7EBAqWer2
18,PEPPERMINT,Luciano,236727,https://open.spotify.com/track/6V1lWr7s8CO5VkxXe4hBtg
19,Gift,Schmyt,233752,https://open.spotify.com/track/3cOK7STaGJNeQseiu1ogKn
20,"Girls Like Us","Zoe Wees",230400,https://open.spotify.com/track/5SFXOMJJ334Wn2PwBHeRZN
21,"Nicht da",Azet,226549,https://open.spotify.com/track/1hmVbvTeSxe8lul1azKFgJ
22,Melodien,Undacava,224322,https://open.spotify.com/track/34qur6ZYY0BKhQodz6X3lh
23,Ordentlich,t-low,212437,https://open.spotify.com/track/4DnHEa1fuf3bn61AwT8Qiv
24,"WITHOUT YOU","The Kid LAROI",211152,https://open.spotify.com/track/27OeeYzk6klgBh83TSvGMA
25,"BAD EYEZ",Nimo,210172,https://open.spotify.com/track/5dDQDduj3EaWrPIZ9bc8tj
26,"Head & Heart (feat. MNEK)","Joel Corry",203536,https://open.spotify.com/track/6cx06DFPPHchuUAcTxznu9
27,"Niemand bringt Marten um",Marteria,202121,https://open.spotify.com/track/0nYSnbFVX5ghrERjwVZgwZ
28,"Hold On","Justin Bieber",199218,https://open.spotify.com/track/1nahzW3kfMuwReTka28tH5
29,"Paradise (feat. Dermot Kennedy)",MEDUZA,194422,https://open.spotify.com/track/6ft4hAq6yde8jPZY2i5zLr
30,"White Lies",VIZE,192485,https://open.spotify.com/track/2QuQkdLLzgktXwruPAz6f4
31,"LOW LIFE",Ufo361,187020,https://open.spotify.com/track/3IjfWBZrBISpcLhIMY44T6
32,"drivers license","Olivia Rodrigo",185549,https://open.spotify.com/track/7lPN2DXiMsVn7XUKtOW1CS
33,"Head Shoulders Knees & Toes (feat. Norma Jean Martine)",Ofenbach,182104,https://open.spotify.com/track/6i7zAdNhzUN2k1HcrBxPHG
34,"Blinding Lights","The Weeknd",180647,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
35,"Love Not War (The Tampa Beat)","Jason Derulo",178801,https://open.spotify.com/track/4Lt6GXGzYsa1tgkv3nGSTm
36,Lustig,BHZ,177921,https://open.spotify.com/track/6Evihn02CIO4xI3YfePAJD
37,"Wellerman - Sea Shanty","Nathan Evans",170492,https://open.spotify.com/track/54OBgO0Xwu20Jak9TMXbR7
38,"Faded Love",Leony,169557,https://open.spotify.com/track/3RcXFW8aiRYHRaDDYBqJ76
39,"Rise Up (feat. Vamero)",VINAI,168583,https://open.spotify.com/track/46lyJh9GYmWsHez3EsvmAx
40,"Where The Lights Are Low","Toby Romeo",168466,https://open.spotify.com/track/0Cnb8XdGDMHAmIRBUJMkIS
41,"Mood (feat. iann dior)",24kGoldn,165749,https://open.spotify.com/track/4jPy3l0RUwlUI9T5XHBW2m
42,"My Head & My Heart","Ava Max",165458,https://open.spotify.com/track/1KixkQVDUHggZMU9dUobgm
43,"Wein für mich",KASIMIR1441,162508,https://open.spotify.com/track/5hCtPGRLgeF05Q902Qdxe2
44,Arcade,"Duncan Laurence",161750,https://open.spotify.com/track/1J14CdDAvBTE1AJYUOwl6C
