,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"STAY (with Justin Bieber)","The Kid LAROI",408333,https://open.spotify.com/track/5PjdY0CKGZdEuoNab3yDmX
2,"Heat Waves","Glass Animals",395370,https://open.spotify.com/track/02MWAaffLxlfxAUY7c5dvx
3,"Auf & Ab",Montez,364208,https://open.spotify.com/track/0RSZ8EmUPEN3ySfCgytPke
4,10von10,Pajel,353840,https://open.spotify.com/track/1sa59Q9urE82MD3ELi44HN
5,"Where Are You Now","Lost Frequencies",320317,https://open.spotify.com/track/3uUuGVFu1V7jTQL60S1r8z
6,"Ich bin weg - BoroBoro",Samra,306747,https://open.spotify.com/track/1f6Paz0Vf1CPhcNDs1vMyR
7,2CB,"RAF Camora",304981,https://open.spotify.com/track/2r9gIpt17PhZv0y2nCpFHC
8,Shivers,"Ed Sheeran",300443,https://open.spotify.com/track/75MNhvTCCKsST3YqqUiU9r
9,"INDUSTRY BABY (feat. Jack Harlow)","Lil Nas X",295525,https://open.spotify.com/track/5Z9KJZvQzH6PFmb8SNkxuk
10,"Bad Habits","Ed Sheeran",277980,https://open.spotify.com/track/6PQ88X9TkUIAUIZJHW2upE
11,"Eine Pille","Bonez MC",277290,https://open.spotify.com/track/54mztWQ0VfH2pqw0jRROZC
12,"Blaues Licht","RAF Camora",263021,https://open.spotify.com/track/08EPQiLMyGB8GJX2EiVoCM
13,"Belgisches Viertel",ART,257679,https://open.spotify.com/track/1h3d2lvISrSIV6fS89U51S
14,"Baby 2.0",Zuna,257615,https://open.spotify.com/track/4mc0wGvP83zeFlhuatdyXM
15,Sommergewitter,Pashanim,222029,https://open.spotify.com/track/2H7jZg2HliuQhZjfBblLrZ
16,"Para Drill",Dardan,211755,https://open.spotify.com/track/1JOAfPOJkTIdrVdrYMF9LD
17,"Love Tonight - Edit",Shouse,203017,https://open.spotify.com/track/6OufwUcCqo81guU2jAlDVP
18,"Immer wenn es regnet",Loredana,200448,https://open.spotify.com/track/1ET2yDvPFLjWGNUoZHPbSh
19,Beggin',Måneskin,196828,https://open.spotify.com/track/3Wrjm47oTz2sjIgck11l5e
20,Woman,"Doja Cat",192108,https://open.spotify.com/track/6Uj1ctrBOjOas8xZXGqKk4
21,"good 4 u","Olivia Rodrigo",183797,https://open.spotify.com/track/4ZtFanR9U6ndgddUvNcjcG
