,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,Beggin',Måneskin,527688,https://open.spotify.com/track/3Wrjm47oTz2sjIgck11l5e
2,SCHMETTERLING,Luciano,490625,https://open.spotify.com/track/0it0PhmH2Tq2Xl5o49pdMo
3,"good 4 u","Olivia Rodrigo",476432,https://open.spotify.com/track/4ZtFanR9U6ndgddUvNcjcG
4,"I WANNA BE YOUR SLAVE",Måneskin,439143,https://open.spotify.com/track/4pt5fDVTg5GhEvEtlz9dKk
5,"Ramenez la coupe à la maison",Vegedream,320606,https://open.spotify.com/track/1m0UFnuTktOkksvjbF9z0m
6,"Nice To Meet Ya (feat. Yxng Bane)","Wes Nelson",319026,https://open.spotify.com/track/1YHjRAptXqPdsdx3g6FNJL
7,"MONTERO (Call Me By Your Name)","Lil Nas X",269725,https://open.spotify.com/track/67BtfxlNbhBmCDR2L2l8qd
8,"Liege wieder wach",Jamule,266069,https://open.spotify.com/track/2knDuFWczh1Wv92eBAdPTa
9,"Ich darf das","Shirin David",259409,https://open.spotify.com/track/4txsSBdT4yVJtUj41YaQEB
10,GHETTOGIRL,Capo,254538,https://open.spotify.com/track/3idbCPumlga23rxFA08fZE
11,"Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit",Riton,251723,https://open.spotify.com/track/4cG7HUWYHBV6R6tHn1gxrl
12,Shawty,"PA Sports",247616,https://open.spotify.com/track/3quQYEq6YMZmSmHpc2UKkc
13,Durstlöscher,01099,232275,https://open.spotify.com/track/51S7lhJk6AHiFg0PhJupfz
14,Extasy,"187 Strassenbande",219600,https://open.spotify.com/track/79lc69ZXfL4WmJIzVSDmWT
15,Dinero,"Trinidad Cardona",219365,https://open.spotify.com/track/3ggtU1ZOKO8ZNiqPNyXGcm
16,"Drink Ist Kalt",BHZ,202257,https://open.spotify.com/track/4rewc9tTT02T7Tfxpd0mo4
17,Autotür,FOURTY,196128,https://open.spotify.com/track/6w3L8n7b9Y1dZ8JU1tHdzu
18,"Iko Iko (My Bestie)","Justin Wellington",192290,https://open.spotify.com/track/7MC4XR9M9amdmKQr2iDF7i
19,Rosenkrieg,Loredana,183640,https://open.spotify.com/track/6DiaHETMcKdX7FwuGXwp1O
20,"Levitating (feat. DaBaby)","Dua Lipa",183503,https://open.spotify.com/track/5nujrmhLynf4yMoMtj8AQF
21,"BLESSED (feat. Capital Bra)",CRO,181526,https://open.spotify.com/track/28tBoBognmn3BBdfjPzSw9
22,Madonna,Bausa,178140,https://open.spotify.com/track/6a3kNt1UlUOapDKmEr3JzZ
