,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Liege wieder wach",Jamule,513927,https://open.spotify.com/track/0ZqL6UhrqydZE4DaXvCMeT
2,"MONTERO (Call Me By Your Name)","Lil Nas X",410788,https://open.spotify.com/track/67BtfxlNbhBmCDR2L2l8qd
3,"Frag mich nicht","Miksu / Macloud",399225,https://open.spotify.com/track/5ZIFzmhVJRO3tRwtBXrPXh
4,"Allein sein","Mario Novembre",349327,https://open.spotify.com/track/11NFxVnEwPDz4LjIyKazxV
5,"Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit",Riton,320786,https://open.spotify.com/track/4cG7HUWYHBV6R6tHn1gxrl
6,"Leere Hände (feat. Sido & Samra)",SANTOS,320336,https://open.spotify.com/track/5QEqzFV7R8KSSCJa37tfvs
7,Madonna,Bausa,307487,https://open.spotify.com/track/6a3kNt1UlUOapDKmEr3JzZ
8,"Peaches (feat. Daniel Caesar & Giveon)","Justin Bieber",293158,https://open.spotify.com/track/4iJyoBOLtHqaGxP12qzhQI
9,"Astronaut In The Ocean","Masked Wolf",276031,https://open.spotify.com/track/3VT8hOC5vuDXBsHrR53WFh
10,"KIDS FROM THE BLOCK",Luciano,257880,https://open.spotify.com/track/26hbmLeqiz8loWjFshsegF
11,"Cover Me In Sunshine",P!nk,254674,https://open.spotify.com/track/6Tio0ZoDeSQnI7EBAqWer2
12,"Wellerman - Sea Shanty / 220 KID x Billen Ted Remix","Nathan Evans",241290,https://open.spotify.com/track/3iw6V4LH7yPj1ESORX9RIN
13,"Your Love (9PM)",ATB,232279,https://open.spotify.com/track/5YaskwnGDZFDRipaqzbwQx
14,"Wasted Love (feat. Lagique)",Ofenbach,223076,https://open.spotify.com/track/2pPO9YecZimmuVQfIzfV6U
15,"The Business",Tiësto,201622,https://open.spotify.com/track/6f3Slt0GbA2bPZlz0aIFXN
16,"Levitating (feat. DaBaby)","Dua Lipa",199520,https://open.spotify.com/track/5nujrmhLynf4yMoMtj8AQF
17,"Drei Uhr Nachts","Mark Forster",198056,https://open.spotify.com/track/58GxgFEG5uHc9oMhofuuIP
18,"Ohne Dich",KASIMIR1441,193161,https://open.spotify.com/track/4hSJUp6k7QeHLxU32MrLIU
19,"Girls Like Us","Zoe Wees",189649,https://open.spotify.com/track/5SFXOMJJ334Wn2PwBHeRZN
20,ZART,Nimo,175073,https://open.spotify.com/track/1WUXlAFlKIu7fixKZvQECX
21,RAPSTAR,"Polo G",173633,https://open.spotify.com/track/43PGPuHIlVOc04jrZVh9L6
22,"Save Your Tears","The Weeknd",168116,https://open.spotify.com/track/5QO79kh1waicV47BqGRL3g
23,Runaway,AURORA,167234,https://open.spotify.com/track/1v1oIWf2Xgh54kIWuKsDf6
24,Aventador,Azet,162215,https://open.spotify.com/track/1Cyn9zw9ZakCeOsmbPwpxi
25,"WITHOUT YOU","The Kid LAROI",160771,https://open.spotify.com/track/27OeeYzk6klgBh83TSvGMA
26,"Kiss Me More (feat. SZA)","Doja Cat",160463,https://open.spotify.com/track/748mdHapucXQri7IAO8yFK
27,"BAD EYEZ",Nimo,155915,https://open.spotify.com/track/5dDQDduj3EaWrPIZ9bc8tj
28,"Faded Love",Leony,154114,https://open.spotify.com/track/3RcXFW8aiRYHRaDDYBqJ76
