,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"good 4 u","Olivia Rodrigo",571126,https://open.spotify.com/track/4ZtFanR9U6ndgddUvNcjcG
2,"I WANNA BE YOUR SLAVE",Måneskin,428810,https://open.spotify.com/track/4pt5fDVTg5GhEvEtlz9dKk
3,Beggin',Måneskin,378891,https://open.spotify.com/track/3Wrjm47oTz2sjIgck11l5e
4,"Ich darf das","Shirin David",365202,https://open.spotify.com/track/4txsSBdT4yVJtUj41YaQEB
5,"Liege wieder wach",Jamule,352819,https://open.spotify.com/track/2knDuFWczh1Wv92eBAdPTa
6,"Nice To Meet Ya (feat. Yxng Bane)","Wes Nelson",351352,https://open.spotify.com/track/1YHjRAptXqPdsdx3g6FNJL
7,Sommer,"Beatzarre & Djorkaeff",320115,https://open.spotify.com/track/3sqZwhR5UFmHAh1KLXGOgq
8,"Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit",Riton,312613,https://open.spotify.com/track/4cG7HUWYHBV6R6tHn1gxrl
9,GHETTOGIRL,Capo,312043,https://open.spotify.com/track/3idbCPumlga23rxFA08fZE
10,Extasy,"187 Strassenbande",294582,https://open.spotify.com/track/79lc69ZXfL4WmJIzVSDmWT
11,DRILLA,Luciano,290470,https://open.spotify.com/track/4P9lNdUhVPhwfVxZlgjWlL
12,Rosenkrieg,Loredana,285438,https://open.spotify.com/track/6DiaHETMcKdX7FwuGXwp1O
13,"MONTERO (Call Me By Your Name)","Lil Nas X",284725,https://open.spotify.com/track/67BtfxlNbhBmCDR2L2l8qd
14,"BLESSED (feat. Capital Bra)",CRO,239213,https://open.spotify.com/track/28tBoBognmn3BBdfjPzSw9
15,"Frag mich nicht","Miksu / Macloud",233227,https://open.spotify.com/track/5ZIFzmhVJRO3tRwtBXrPXh
16,"Drink Ist Kalt",BHZ,226732,https://open.spotify.com/track/2CF0s1PAImWgGhEr7W6iY2
17,Madonna,Bausa,223803,https://open.spotify.com/track/6a3kNt1UlUOapDKmEr3JzZ
18,"Your Love (9PM)",ATB,218337,https://open.spotify.com/track/5YaskwnGDZFDRipaqzbwQx
19,"Levitating (feat. DaBaby)","Dua Lipa",218231,https://open.spotify.com/track/5nujrmhLynf4yMoMtj8AQF
20,"ZITTI E BUONI",Måneskin,211010,https://open.spotify.com/track/776AftMmFFAWUIEAb3lHhw
21,Frisch,01099,202208,https://open.spotify.com/track/7toCqux0Ln42OttYYyds4k
22,"Iko Iko (My Bestie)","Justin Wellington",199306,https://open.spotify.com/track/7MC4XR9M9amdmKQr2iDF7i
23,ELMAS,Luciano,194483,https://open.spotify.com/track/37yAd2kwEI9axbB6UznrOQ
24,"Astronaut In The Ocean","Masked Wolf",194327,https://open.spotify.com/track/0BGwAKW4u8kWOhWFflZxfl
25,"Alles nach Plan","187 Strassenbande",193746,https://open.spotify.com/track/1fW5PpJSmPiVXAi0l92PHm
26,"Peaches (feat. Daniel Caesar & Giveon)","Justin Bieber",193122,https://open.spotify.com/track/4iJyoBOLtHqaGxP12qzhQI
27,"The Business",Tiësto,188466,https://open.spotify.com/track/6f3Slt0GbA2bPZlz0aIFXN
28,Durstlöscher,01099,185965,https://open.spotify.com/track/51S7lhJk6AHiFg0PhJupfz
29,"Wasted Love (feat. Lagique)",Ofenbach,185107,https://open.spotify.com/track/2pPO9YecZimmuVQfIzfV6U
30,"Cover Me In Sunshine",P!nk,183784,https://open.spotify.com/track/0UKUfxIkDAMZz7hMdiVX3m
31,"Wellerman - Sea Shanty / 220 KID x Billen Ted Remix","Nathan Evans",181623,https://open.spotify.com/track/3iw6V4LH7yPj1ESORX9RIN
32,"Tu nicht so",badmómzjay,180198,https://open.spotify.com/track/4rs0jr2tC1Qg32Fm7zfdsT
33,Rasputin,Majestic,176572,https://open.spotify.com/track/0b18g3G5spr4ZCkz7Y6Q0Q
34,"Vielen Dank","187 Strassenbande",171085,https://open.spotify.com/track/4xN9cgMVhYyhnugUFZdhcZ
35,Run,OneRepublic,170091,https://open.spotify.com/track/2UbVnbE5FH6008mAm6Mmgw
36,"DU BIST DER FEHLER.",Lune,165002,https://open.spotify.com/track/7Fz8qYsfyRfUCKCzdiCiaV
37,"Leere Hände (feat. Sido & Samra)",SANTOS,164856,https://open.spotify.com/track/5QEqzFV7R8KSSCJa37tfvs
38,"Kiss Me More (feat. SZA)","Doja Cat",159169,https://open.spotify.com/track/748mdHapucXQri7IAO8yFK
39,"Fireworks (feat. Moss Kena & The Knocks)","Purple Disco Machine",158753,https://open.spotify.com/track/1kTlT3phtU2yqTJYT1x6hb
40,Redlight,Glockenbach,158253,https://open.spotify.com/track/24osWl0SQSyHzGyEMdf394
