,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Frag mich nicht","Miksu / Macloud",566676,https://open.spotify.com/track/46zfTi4Wg6mmkOBPimtg6X
2,Madonna,Bausa,496379,https://open.spotify.com/track/6a3kNt1UlUOapDKmEr3JzZ
3,"Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit",Riton,466834,https://open.spotify.com/track/4cG7HUWYHBV6R6tHn1gxrl
4,"Peaches (feat. Daniel Caesar & Giveon)","Justin Bieber",433063,https://open.spotify.com/track/4iJyoBOLtHqaGxP12qzhQI
5,"Wellerman - Sea Shanty / 220 KID x Billen Ted Remix","Nathan Evans",429418,https://open.spotify.com/track/3iw6V4LH7yPj1ESORX9RIN
6,"Astronaut In The Ocean","Masked Wolf",408798,https://open.spotify.com/track/3VT8hOC5vuDXBsHrR53WFh
7,Verpennt,"187 Strassenbande",403601,https://open.spotify.com/track/38ymFU7u5XorxpySYJT0FA
8,"Your Love (9PM)",ATB,334361,https://open.spotify.com/track/5YaskwnGDZFDRipaqzbwQx
9,"The Business",Tiësto,327484,https://open.spotify.com/track/6f3Slt0GbA2bPZlz0aIFXN
10,"Ohne Dich",KASIMIR1441,316945,https://open.spotify.com/track/4hSJUp6k7QeHLxU32MrLIU
11,"Wasted Love (feat. Lagique)",Ofenbach,292473,https://open.spotify.com/track/2pPO9YecZimmuVQfIzfV6U
12,"LOW LIFE",Ufo361,281445,https://open.spotify.com/track/3IjfWBZrBISpcLhIMY44T6
13,"Save Your Tears","The Weeknd",280676,https://open.spotify.com/track/5QO79kh1waicV47BqGRL3g
14,"Girls Like Us","Zoe Wees",273538,https://open.spotify.com/track/5SFXOMJJ334Wn2PwBHeRZN
15,PEPPERMINT,Luciano,271395,https://open.spotify.com/track/6V1lWr7s8CO5VkxXe4hBtg
16,"KUCK KUCK","Farid Bang",263815,https://open.spotify.com/track/4Eona1ug5YMm4EIWkMQvMQ
17,Ordentlich,t-low,241843,https://open.spotify.com/track/4DnHEa1fuf3bn61AwT8Qiv
18,"WITHOUT YOU","The Kid LAROI",239043,https://open.spotify.com/track/27OeeYzk6klgBh83TSvGMA
19,"Hold On","Justin Bieber",236314,https://open.spotify.com/track/1nahzW3kfMuwReTka28tH5
20,"Wein für mich",KASIMIR1441,229764,https://open.spotify.com/track/5hCtPGRLgeF05Q902Qdxe2
21,"BAD EYEZ",Nimo,228927,https://open.spotify.com/track/5dDQDduj3EaWrPIZ9bc8tj
22,"drivers license","Olivia Rodrigo",223870,https://open.spotify.com/track/7lPN2DXiMsVn7XUKtOW1CS
23,"Head & Heart (feat. MNEK)","Joel Corry",218487,https://open.spotify.com/track/6cx06DFPPHchuUAcTxznu9
24,"White Lies",VIZE,217686,https://open.spotify.com/track/2QuQkdLLzgktXwruPAz6f4
25,"Wellerman - Sea Shanty","Nathan Evans",204895,https://open.spotify.com/track/54OBgO0Xwu20Jak9TMXbR7
26,"Niemand bringt Marten um",Marteria,202497,https://open.spotify.com/track/0nYSnbFVX5ghrERjwVZgwZ
27,"Paradise (feat. Dermot Kennedy)",MEDUZA,201725,https://open.spotify.com/track/6ft4hAq6yde8jPZY2i5zLr
28,"Mood (feat. iann dior)",24kGoldn,199116,https://open.spotify.com/track/4jPy3l0RUwlUI9T5XHBW2m
29,"Blinding Lights","The Weeknd",196862,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
30,"Cover Me In Sunshine",P!nk,196084,https://open.spotify.com/track/6Tio0ZoDeSQnI7EBAqWer2
31,"My Head & My Heart","Ava Max",195402,https://open.spotify.com/track/1KixkQVDUHggZMU9dUobgm
32,"Love Not War (The Tampa Beat)","Jason Derulo",194553,https://open.spotify.com/track/4Lt6GXGzYsa1tgkv3nGSTm
33,"Head Shoulders Knees & Toes (feat. Norma Jean Martine)",Ofenbach,192551,https://open.spotify.com/track/6i7zAdNhzUN2k1HcrBxPHG
34,"Deine Schuld",AYLIVA,188623,https://open.spotify.com/track/1dXz1boMWgpeiNcTK3jRtU
