,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"STAY (with Justin Bieber)","The Kid LAROI",598731,https://open.spotify.com/track/5PjdY0CKGZdEuoNab3yDmX
2,2CB,"RAF Camora",560424,https://open.spotify.com/track/2r9gIpt17PhZv0y2nCpFHC
3,10von10,Pajel,555747,https://open.spotify.com/track/1sa59Q9urE82MD3ELi44HN
4,"Auf & Ab",Montez,523349,https://open.spotify.com/track/0RSZ8EmUPEN3ySfCgytPke
5,"Heat Waves","Glass Animals",478213,https://open.spotify.com/track/02MWAaffLxlfxAUY7c5dvx
6,"Where Are You Now","Lost Frequencies",419812,https://open.spotify.com/track/3uUuGVFu1V7jTQL60S1r8z
7,"INDUSTRY BABY (feat. Jack Harlow)","Lil Nas X",403876,https://open.spotify.com/track/5Z9KJZvQzH6PFmb8SNkxuk
8,Polizei,"KC Rebell",401205,https://open.spotify.com/track/21nMasJVN7cJ9gxtxUEPsu
9,Shivers,"Ed Sheeran",396747,https://open.spotify.com/track/75MNhvTCCKsST3YqqUiU9r
10,"Bad Habits","Ed Sheeran",393756,https://open.spotify.com/track/6PQ88X9TkUIAUIZJHW2upE
11,"Blaues Licht","RAF Camora",392361,https://open.spotify.com/track/08EPQiLMyGB8GJX2EiVoCM
12,OZEAN,KALIM,392096,https://open.spotify.com/track/3vQqFgN3bhO1Lim4yXzmi5
13,"Gut im Geschäft","AK AUSSERKONTROLLE",346035,https://open.spotify.com/track/7yLsJKvUGkfjg8gkXSJhDF
14,"Belgisches Viertel",ART,336691,https://open.spotify.com/track/1h3d2lvISrSIV6fS89U51S
15,"Love Tonight - Edit",Shouse,321772,https://open.spotify.com/track/6OufwUcCqo81guU2jAlDVP
16,Sommergewitter,Pashanim,309795,https://open.spotify.com/track/2H7jZg2HliuQhZjfBblLrZ
17,Beggin',Måneskin,288987,https://open.spotify.com/track/3Wrjm47oTz2sjIgck11l5e
18,Woman,"Doja Cat",274843,https://open.spotify.com/track/6Uj1ctrBOjOas8xZXGqKk4
19,"OUT OUT (feat. Charli XCX & Saweetie)","Joel Corry",271952,https://open.spotify.com/track/6Dy1jexKYriXAVG6evyUTJ
20,"Wenn du mich siehst","RAF Camora",262502,https://open.spotify.com/track/3AVC5l5wCEALuj4tg02uIL
21,"THATS WHAT I WANT","Lil Nas X",249006,https://open.spotify.com/track/0e8nrvls4Qqv5Rfa2UhqmO
22,"good 4 u","Olivia Rodrigo",248268,https://open.spotify.com/track/4ZtFanR9U6ndgddUvNcjcG
23,Crashen,t-low,229305,https://open.spotify.com/track/5STeQZH1Ahz3h0X9Njaij7
24,"MONTERO (Call Me By Your Name)","Lil Nas X",226002,https://open.spotify.com/track/1SC5rEoYDGUK4NfG82494W
25,"Because You Move Me",Tinlicker,223815,https://open.spotify.com/track/1F80MEkZA9yTlpMQp9dhht
26,Apple,RIN,221513,https://open.spotify.com/track/1SVV2YIx9ouyD2WwQqBL61
27,"I WANNA BE YOUR SLAVE",Måneskin,218925,https://open.spotify.com/track/4pt5fDVTg5GhEvEtlz9dKk
28,"Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit",Riton,211378,https://open.spotify.com/track/4cG7HUWYHBV6R6tHn1gxrl
29,2sad2disco,"Apache 207",192125,https://open.spotify.com/track/3HJKVymmisbtzi3s0hFCG4
30,Colorado,"Milky Chance",188989,https://open.spotify.com/track/0eZmBWVC1HYayrP2fqQ7nu
31,"Fair Trade (with Travis Scott)",Drake,188052,https://open.spotify.com/track/40iJIUlhi6renaREYGeIDS
32,"Wenn Du mich lässt",LEA,182241,https://open.spotify.com/track/6Ey7KSTV0Zx0fnxOw6bdK8
33,"love nwantiti (feat. ElGrande Toto) - North African Remix",CKay,181134,https://open.spotify.com/track/1EYeZGTMCjV7uVey5fNWXM
34,"61 Grad",Endzone,176665,https://open.spotify.com/track/5Z7J2Au61uO7K1ZPNG1eTv
35,Habit,Laurell,169250,https://open.spotify.com/track/4bnutybG1itDcpyoQo2Uoc
36,"Mit Mir",Loredana,166171,https://open.spotify.com/track/5RWOCS1epJ5Sm6Gu4k8FVo
37,"Lieben wir","Shirin David",165922,https://open.spotify.com/track/49gzU1IS1B6P3GATSZ5eCE
38,Vollmond,Eno,165342,https://open.spotify.com/track/7fAzrCS4F29tUvXxi4PcRR
39,"MARLBORO GOLD",BOJAN,164264,https://open.spotify.com/track/6IoLxoMwkLbW8vsOOrDlsO
40,"Sterne unterm Dach",badmómzjay,164051,https://open.spotify.com/track/1edUWAS1x66v10yguQ6qkO
41,"King Kong",HBz,163800,https://open.spotify.com/track/7GIlBNE6pZRfoRfo4oL7f0
42,Pepas,Farruko,162419,https://open.spotify.com/track/5fwSHlTEWpluwOM0Sxnh5k
43,"Chosen (feat. Ty Dolla $ign)",Blxst,157302,https://open.spotify.com/track/1dIWPXMX4kRHj6Dt2DStUQ
44,u.,niteboi,155186,https://open.spotify.com/track/0J7oHYxjF6Oln61wy0kP2i
45,Mandarinen,Shindy,152758,https://open.spotify.com/track/4HOWTItpwHvQSNyyiwWsPT
46,"Way 2 Sexy (with Future & Young Thug)",Drake,145461,https://open.spotify.com/track/0k1WUmIRnG3xU6fvvDVfRG
47,SCHMETTERLING,Luciano,144815,https://open.spotify.com/track/3gUVLJZ0JoGRuoRNUCIYsI
48,"If You Really Love Me (How Will I Know)","David Guetta",143157,https://open.spotify.com/track/1V7bZ9gEIwFQpm8yGxRHNA
