,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Blaues Licht","RAF Camora",788689,https://open.spotify.com/track/08EPQiLMyGB8GJX2EiVoCM
2,Sommergewitter,Pashanim,565340,https://open.spotify.com/track/2H7jZg2HliuQhZjfBblLrZ
3,"STAY (with Justin Bieber)","The Kid LAROI",538757,https://open.spotify.com/track/5PjdY0CKGZdEuoNab3yDmX
4,Beggin',Måneskin,483904,https://open.spotify.com/track/3Wrjm47oTz2sjIgck11l5e
5,"Bad Habits","Ed Sheeran",483290,https://open.spotify.com/track/6PQ88X9TkUIAUIZJHW2upE
6,"good 4 u","Olivia Rodrigo",340619,https://open.spotify.com/track/4ZtFanR9U6ndgddUvNcjcG
7,"I WANNA BE YOUR SLAVE",Måneskin,335973,https://open.spotify.com/track/4pt5fDVTg5GhEvEtlz9dKk
8,"Love Tonight - Edit",Shouse,323107,https://open.spotify.com/track/6OufwUcCqo81guU2jAlDVP
9,Zukunft,"RAF Camora",267367,https://open.spotify.com/track/0myjXsBDYloFnVcQkF2baU
10,"Wenn ich geh",Jamule,259960,https://open.spotify.com/track/7bs43GIqBJY9V6lCQEVSep
11,"Lieben wir","Shirin David",253838,https://open.spotify.com/track/49gzU1IS1B6P3GATSZ5eCE
12,"INDUSTRY BABY (feat. Jack Harlow)","Lil Nas X",242787,https://open.spotify.com/track/27NovPIUIRrOZoCHxABJwK
13,"Nese Don",Loredana,241849,https://open.spotify.com/track/6ZVpk9bSJGebJJzJmMocua
14,"Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit",Riton,231267,https://open.spotify.com/track/4cG7HUWYHBV6R6tHn1gxrl
15,"MONTERO (Call Me By Your Name)","Lil Nas X",230189,https://open.spotify.com/track/67BtfxlNbhBmCDR2L2l8qd
16,"Because You Move Me",Tinlicker,215361,https://open.spotify.com/track/05GvwwTLLID738BbKN1ze0
17,SCHMETTERLING,Luciano,214301,https://open.spotify.com/track/3gUVLJZ0JoGRuoRNUCIYsI
18,Durstlöscher,01099,205722,https://open.spotify.com/track/51S7lhJk6AHiFg0PhJupfz
19,"Rote Augen 2",Kalazh44,201640,https://open.spotify.com/track/5eaGYeLg9N3ngZVd0DUWQm
20,"Nice To Meet Ya (feat. Yxng Bane)","Wes Nelson",197525,https://open.spotify.com/track/1YHjRAptXqPdsdx3g6FNJL
21,"Ramenez la coupe à la maison",Vegedream,182913,https://open.spotify.com/track/1m0UFnuTktOkksvjbF9z0m
22,"Iko Iko (My Bestie)","Justin Wellington",173335,https://open.spotify.com/track/7MC4XR9M9amdmKQr2iDF7i
23,Schwarz,LEA,172954,https://open.spotify.com/track/0XpTuvT4Yueddiv20w6M9a
24,"Liege wieder wach",Jamule,169763,https://open.spotify.com/track/2knDuFWczh1Wv92eBAdPTa
25,"Ich darf das","Shirin David",168039,https://open.spotify.com/track/4txsSBdT4yVJtUj41YaQEB
26,"King Kong",HBz,166269,https://open.spotify.com/track/7GIlBNE6pZRfoRfo4oL7f0
27,"Levitating (feat. DaBaby)","Dua Lipa",161957,https://open.spotify.com/track/5nujrmhLynf4yMoMtj8AQF
28,Run,OneRepublic,156070,https://open.spotify.com/track/2UbVnbE5FH6008mAm6Mmgw
29,Tränen,Lucio101,151478,https://open.spotify.com/track/3cWzy2XDyZP5OT5MygdxHt
30,Redlight,Glockenbach,146698,https://open.spotify.com/track/24osWl0SQSyHzGyEMdf394
31,GHETTOGIRL,Capo,146218,https://open.spotify.com/track/0G5x5rALxKOkwicMjKta79
32,Extasy,"187 Strassenbande",145885,https://open.spotify.com/track/79lc69ZXfL4WmJIzVSDmWT
33,"Following The Sun",SUPER-Hi,143430,https://open.spotify.com/track/2JzXBqTIVHYX43t7EcLyMs
34,"Your Love (9PM)",ATB,142781,https://open.spotify.com/track/5YaskwnGDZFDRipaqzbwQx
35,"Love Tonight - David Guetta Remix Edit",Shouse,139934,https://open.spotify.com/track/2prnn41CblB8B4yWACDljP
36,Madonna,Bausa,139592,https://open.spotify.com/track/6a3kNt1UlUOapDKmEr3JzZ
37,Frisch,01099,138184,https://open.spotify.com/track/7toCqux0Ln42OttYYyds4k
38,"The Business",Tiësto,136812,https://open.spotify.com/track/6f3Slt0GbA2bPZlz0aIFXN
39,"Heat Waves","Glass Animals",136511,https://open.spotify.com/track/02MWAaffLxlfxAUY7c5dvx
40,"Showtime Fourever",Kollegah,136396,https://open.spotify.com/track/348bH3kD6zRt48AbiNQuUx
41,"Astronaut In The Ocean","Masked Wolf",134960,https://open.spotify.com/track/0BGwAKW4u8kWOhWFflZxfl
