,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Be a Hoe/Break a Hoe","Shirin David",519869,https://open.spotify.com/track/2NkKIjlfLa9o9Yfsq2tl99
2,"paris freestyle - skrilla remix",Pashanim,507189,https://open.spotify.com/track/6fuO9uk9wbjCHvQJqk2Qpx
3,Shivers,"Ed Sheeran",499271,https://open.spotify.com/track/50nfwKoDiSYg8zOCREWAm5
4,"BLEIB' ÜBER NACHT (feat. Luciano)",KALIM,451811,https://open.spotify.com/track/6jnR8dYSsKNqj1lVVFT5R0
5,"Heat Waves","Glass Animals",433381,https://open.spotify.com/track/02MWAaffLxlfxAUY7c5dvx
6,"Where Are You Now","Lost Frequencies",397861,https://open.spotify.com/track/3uUuGVFu1V7jTQL60S1r8z
7,"STAY (with Justin Bieber)","The Kid LAROI",384615,https://open.spotify.com/track/5PjdY0CKGZdEuoNab3yDmX
8,B.I.B.O.,Dardan,369376,https://open.spotify.com/track/5F3sqL2deoeV2kr8Vn9H4V
9,"Easy On Me",Adele,356169,https://open.spotify.com/track/0gplL1WMoJ6iYaPgMCL0gX
10,"Bad Habits","Ed Sheeran",343930,https://open.spotify.com/track/3rmo8F54jFF8OgYsqTxm5d
11,Pepas,Farruko,329148,https://open.spotify.com/track/2B4GHvToeLTOBB4QLzW3Ni
12,"Dein Song",CRO,325043,https://open.spotify.com/track/4VIyBZioj5khxauaZJexks
13,"Auf & Ab",Montez,306761,https://open.spotify.com/track/0RSZ8EmUPEN3ySfCgytPke
14,"Cold Heart - PNAU Remix","Elton John",303902,https://open.spotify.com/track/7rglLriMNBPAyuJOMGwi39
15,Späti,Gzuz,290437,https://open.spotify.com/track/1S4Ehm8b7O4n9lIy3uAMS1
16,"INDUSTRY BABY (feat. Jack Harlow)","Lil Nas X",288347,https://open.spotify.com/track/5Z9KJZvQzH6PFmb8SNkxuk
17,10von10,Pajel,275687,https://open.spotify.com/track/1sa59Q9urE82MD3ELi44HN
18,MONEY,LISA,264984,https://open.spotify.com/track/7hU3IHwjX150XLoTVmjD0q
19,"Belgisches Viertel",ART,259505,https://open.spotify.com/track/1h3d2lvISrSIV6fS89U51S
20,"Overpass Graffiti","Ed Sheeran",245567,https://open.spotify.com/track/4btFHqumCO31GksfuBLLv3
21,"Blaues Licht","RAF Camora",245445,https://open.spotify.com/track/08EPQiLMyGB8GJX2EiVoCM
22,"Love Tonight - Edit",Shouse,230516,https://open.spotify.com/track/6OufwUcCqo81guU2jAlDVP
23,"Normal für mich",Jamule,220398,https://open.spotify.com/track/4KNeXUjINFJmLceS4KUYGa
24,"Moth To A Flame (with The Weeknd)","Swedish House Mafia",219237,https://open.spotify.com/track/2gpWyfu7eZ01zzncHpxOtA
25,Mosaik,"kid kapri",216366,https://open.spotify.com/track/3x9fMzoAPNxEFVrP6kU1f7
26,"OUT OUT (feat. Charli XCX & Saweetie)","Joel Corry",216170,https://open.spotify.com/track/6Dy1jexKYriXAVG6evyUTJ
27,Acapulco,"Jason Derulo",214764,https://open.spotify.com/track/3eJH2nAjvNXdmPfBkALiPZ
28,Sommergewitter,Pashanim,210747,https://open.spotify.com/track/2H7jZg2HliuQhZjfBblLrZ
29,Guapa,"RAF Camora",210060,https://open.spotify.com/track/5FsV0biZgb8tmQtau5LxKz
30,2CB,"RAF Camora",198611,https://open.spotify.com/track/2r9gIpt17PhZv0y2nCpFHC
31,"Ich bin weg - BoroBoro",Samra,198314,https://open.spotify.com/track/1f6Paz0Vf1CPhcNDs1vMyR
32,"Per Ty (feat. Mozzik)",Dardan,195196,https://open.spotify.com/track/1KwLkHOnyWedxyhZBOIHUM
33,"Friendships (Lost My Love)","Pascal Letoublon",192669,https://open.spotify.com/track/0lQ2obtzmAsJu9xk3D6FqH
34,"SAGROTAN (feat. reezy)",KALIM,191415,https://open.spotify.com/track/2R5kWKlRKal6lZOkdQxUSc
35,IDWK,"PA Sports",187484,https://open.spotify.com/track/1jwi2hdepSbFkuBjOore8i
36,"love nwantiti (ah ah ah)",CKay,186096,https://open.spotify.com/track/2Xr1dTzJee307rmrkt8c0g
37,"THATS WHAT I WANT","Lil Nas X",185607,https://open.spotify.com/track/0e8nrvls4Qqv5Rfa2UhqmO
38,Woman,"Doja Cat",181110,https://open.spotify.com/track/6Uj1ctrBOjOas8xZXGqKk4
39,"good 4 u","Olivia Rodrigo",179879,https://open.spotify.com/track/4ZtFanR9U6ndgddUvNcjcG
40,Beggin',Måneskin,177095,https://open.spotify.com/track/3Wrjm47oTz2sjIgck11l5e
41,"Because You Move Me",Tinlicker,176382,https://open.spotify.com/track/1F80MEkZA9yTlpMQp9dhht
42,Colorado,"Milky Chance",174289,https://open.spotify.com/track/0eZmBWVC1HYayrP2fqQ7nu
43,"Happy End (feat. Sido)","Vanessa Mai",170030,https://open.spotify.com/track/1YRaS0rNK8y9E5NeTrKe03
44,Vodka,"Apache 207",168297,https://open.spotify.com/track/5axqVsveGtmOkq7H1wV3c0
45,Vorbei,Monet192,167353,https://open.spotify.com/track/4ERJuguYFENulgTPXL3rXb
46,"love nwantiti (feat. Dj Yo! & AX'EL) - Remix",CKay,166939,https://open.spotify.com/track/4gvrJnKCKIPiacNsWVQwEU
47,"My Universe",Coldplay,162024,https://open.spotify.com/track/46HNZY1i7O6jwTA7Slo2PI
48,"Moje Sve",Hava,161068,https://open.spotify.com/track/1LBWVVGfTCr8EYNSd92W81
49,"Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit",Riton,159836,https://open.spotify.com/track/4cG7HUWYHBV6R6tHn1gxrl
50,"Dies & Das",01099,158851,https://open.spotify.com/track/5GzBVGr752l5qcGo2ZBNoS
51,"In Da Getto","J Balvin",158505,https://open.spotify.com/track/1q0PYXTbDsirp2l74ng6pn
52,"Rave Witchers",FiNCH,157806,https://open.spotify.com/track/5Z8EOLwSK1Qyn9VfQtOAcR
53,Mond,Montez,155984,https://open.spotify.com/track/7ucTEwb8eRMpRlA744gjOo
54,Infinity,"Jaymes Young",154741,https://open.spotify.com/track/1SOClUWhOi8vHZYMz3GluK
55,"Pina Whiskey","Ardian Bujupi",150028,https://open.spotify.com/track/3o1WQbO5GjNnQDI35yU9WY
56,"Life Goes On","Oliver Tree",143256,https://open.spotify.com/track/0eu4C55hL6x29mmeAjytzC
57,"MONTERO (Call Me By Your Name)","Lil Nas X",136734,https://open.spotify.com/track/1SC5rEoYDGUK4NfG82494W
58,"Eye of The Tiger",RIN,135792,https://open.spotify.com/track/7rAxK5LOqUbc6ZeWJgMdCN
59,"Lieben wir","Shirin David",135254,https://open.spotify.com/track/49gzU1IS1B6P3GATSZ5eCE
60,Rot,RIN,134191,https://open.spotify.com/track/4lfJ7JiiKyT0lZUiICHPb8
