,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,Sommergewitter,Pashanim,1034412,https://open.spotify.com/track/2H7jZg2HliuQhZjfBblLrZ
2,Beggin',Måneskin,652726,https://open.spotify.com/track/3Wrjm47oTz2sjIgck11l5e
3,"Vergib mir",NGEE,562971,https://open.spotify.com/track/6uMbcYQjDxHeZNMyQqT2t3
4,"good 4 u","Olivia Rodrigo",554491,https://open.spotify.com/track/4ZtFanR9U6ndgddUvNcjcG
5,GTA,Dardan,529192,https://open.spotify.com/track/1bQduKjv7s88QkGmzcxHMh
6,"I WANNA BE YOUR SLAVE",Måneskin,504086,https://open.spotify.com/track/4pt5fDVTg5GhEvEtlz9dKk
7,SCHMETTERLING,Luciano,488782,https://open.spotify.com/track/0it0PhmH2Tq2Xl5o49pdMo
8,"Ramenez la coupe à la maison",Vegedream,410327,https://open.spotify.com/track/1m0UFnuTktOkksvjbF9z0m
9,"Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit",Riton,402713,https://open.spotify.com/track/4cG7HUWYHBV6R6tHn1gxrl
10,"Oh Digga",Loredana,394709,https://open.spotify.com/track/68g2bb1Vb2NfARwZ4pLA4Z
11,"Insomnia (feat. Giant Rooks)",RIN,387147,https://open.spotify.com/track/3wvC1UaLIFHnUyq2u5KliM
12,MAHALLE,Capo,370812,https://open.spotify.com/track/7eXnaPqRon4nlnRRdaNubB
13,"Nice To Meet Ya (feat. Yxng Bane)","Wes Nelson",366295,https://open.spotify.com/track/1YHjRAptXqPdsdx3g6FNJL
14,Herzalarm,FiNCH,364971,https://open.spotify.com/track/4bLeejo8b8IuSWxwdKXEvY
15,"MONTERO (Call Me By Your Name)","Lil Nas X",348532,https://open.spotify.com/track/67BtfxlNbhBmCDR2L2l8qd
16,"Bad Habits","Ed Sheeran",335090,https://open.spotify.com/track/6PQ88X9TkUIAUIZJHW2upE
17,"Liege wieder wach",Jamule,301354,https://open.spotify.com/track/2knDuFWczh1Wv92eBAdPTa
