,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Auf & Ab",Montez,706651,https://open.spotify.com/track/0RSZ8EmUPEN3ySfCgytPke
2,"STAY (with Justin Bieber)","The Kid LAROI",667299,https://open.spotify.com/track/5PjdY0CKGZdEuoNab3yDmX
3,"Blaues Licht","RAF Camora",516180,https://open.spotify.com/track/08EPQiLMyGB8GJX2EiVoCM
4,Sommergewitter,Pashanim,424599,https://open.spotify.com/track/2H7jZg2HliuQhZjfBblLrZ
5,"Bad Habits","Ed Sheeran",410543,https://open.spotify.com/track/6PQ88X9TkUIAUIZJHW2upE
6,"Im Schatten der Feigenbäume",Shindy,369981,https://open.spotify.com/track/4RXaGSgu3taiAD1ZjZtnF2
7,Beggin',Måneskin,348508,https://open.spotify.com/track/3Wrjm47oTz2sjIgck11l5e
8,"INDUSTRY BABY (feat. Jack Harlow)","Lil Nas X",329247,https://open.spotify.com/track/27NovPIUIRrOZoCHxABJwK
9,"Love Tonight - Edit",Shouse,321249,https://open.spotify.com/track/6OufwUcCqo81guU2jAlDVP
10,"good 4 u","Olivia Rodrigo",283200,https://open.spotify.com/track/4ZtFanR9U6ndgddUvNcjcG
11,"I WANNA BE YOUR SLAVE",Måneskin,259876,https://open.spotify.com/track/4pt5fDVTg5GhEvEtlz9dKk
12,"Because You Move Me",Tinlicker,228768,https://open.spotify.com/track/05GvwwTLLID738BbKN1ze0
13,Venus,Bausa,227703,https://open.spotify.com/track/0f9uqeifywK2mdO0lRVDAc
14,Woman,"Doja Cat",215722,https://open.spotify.com/track/6Uj1ctrBOjOas8xZXGqKk4
15,Crashen,t-low,215372,https://open.spotify.com/track/5STeQZH1Ahz3h0X9Njaij7
16,"Lieben wir","Shirin David",211800,https://open.spotify.com/track/49gzU1IS1B6P3GATSZ5eCE
17,"61 Grad",Endzone,198484,https://open.spotify.com/track/5Z7J2Au61uO7K1ZPNG1eTv
18,"CLOUD 7",Dardan,196823,https://open.spotify.com/track/7ksQkf6p0rF9CoDhxoePKn
19,"Happier Than Ever","Billie Eilish",194686,https://open.spotify.com/track/4RVwu0g32PAqgUiJoXsdF8
20,"HAB NUR EINE BITTE.",Lune,191659,https://open.spotify.com/track/6gSXG57Sp2BmdEXMCopTIF
21,"MONTERO (Call Me By Your Name)","Lil Nas X",191488,https://open.spotify.com/track/67BtfxlNbhBmCDR2L2l8qd
22,1976,RIN,191151,https://open.spotify.com/track/0jTWSs2OyxzYIk1sF7sUsO
23,"Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit",Riton,189891,https://open.spotify.com/track/4cG7HUWYHBV6R6tHn1gxrl
24,Durstlöscher,01099,178408,https://open.spotify.com/track/51S7lhJk6AHiFg0PhJupfz
25,"Take My Breath - Single Version","The Weeknd",169498,https://open.spotify.com/track/6M3PsepEj5gyJoIi7Xvr7u
26,"Heat Waves","Glass Animals",167790,https://open.spotify.com/track/02MWAaffLxlfxAUY7c5dvx
27,"King Kong",HBz,165218,https://open.spotify.com/track/7GIlBNE6pZRfoRfo4oL7f0
28,Colorado,"Milky Chance",160539,https://open.spotify.com/track/0eZmBWVC1HYayrP2fqQ7nu
29,SCHMETTERLING,Luciano,159513,https://open.spotify.com/track/3gUVLJZ0JoGRuoRNUCIYsI
30,"Liege wieder wach",Jamule,157599,https://open.spotify.com/track/2knDuFWczh1Wv92eBAdPTa
31,"Ich darf das","Shirin David",156147,https://open.spotify.com/track/4txsSBdT4yVJtUj41YaQEB
32,"MONEY II","Farid Bang",154613,https://open.spotify.com/track/3SLNsDPrRMFVSV3B1wZh78
33,"Wenn ich geh",Jamule,151973,https://open.spotify.com/track/7bs43GIqBJY9V6lCQEVSep
34,SAVAGE,KALIM,150481,https://open.spotify.com/track/6ffm65pPdwAxJApUEWP3yI
35,"Need to Know","Doja Cat",150345,https://open.spotify.com/track/3Vi5XqYrmQgOYBajMWSvCi
36,"Where Are You Now","Lost Frequencies",149248,https://open.spotify.com/track/3uUuGVFu1V7jTQL60S1r8z
