,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Ein Jahr (feat. Montez)","Capital Bra",455063,https://open.spotify.com/track/1umWYzhtxWxlVvnvfWLbT4
2,"Mit Dir",Sido,381819,https://open.spotify.com/track/2xFMvrqk99biaLQavjufta
3,"Do It To It",ACRAZE,373626,https://open.spotify.com/track/20on25jryn53hWghthWWW3
4,"Easy On Me",Adele,347220,https://open.spotify.com/track/46IZ0fSY2mpAiktS3KOqds
5,abcdefu,GAYLE,342785,https://open.spotify.com/track/4fouWK6XVHhzl78KzQ1UjL
6,"DER LETZTE SONG (ALLES WIRD GUT) (feat. Fred Rabe)",KUMMER,334579,https://open.spotify.com/track/2FQRZLR31e3423Nmrgv0Pv
7,Shivers,"Ed Sheeran",310288,https://open.spotify.com/track/50nfwKoDiSYg8zOCREWAm5
8,"Heat Waves","Glass Animals",301944,https://open.spotify.com/track/02MWAaffLxlfxAUY7c5dvx
9,"paris freestyle - skrilla remix",Pashanim,288267,https://open.spotify.com/track/6fuO9uk9wbjCHvQJqk2Qpx
10,"Where Are You Now","Lost Frequencies",274434,https://open.spotify.com/track/3uUuGVFu1V7jTQL60S1r8z
11,HIGH,Hava,272699,https://open.spotify.com/track/2PDM9Byxz5crB2IXuh2Oal
12,NDA's,"Shirin David",264322,https://open.spotify.com/track/4mIWLMi5SAeX6FhnlaOj1y
13,"Cold Heart - PNAU Remix","Elton John",251876,https://open.spotify.com/track/7rglLriMNBPAyuJOMGwi39
14,"STAY (with Justin Bieber)","The Kid LAROI",247025,https://open.spotify.com/track/5PjdY0CKGZdEuoNab3yDmX
15,Violett,Jamule,242540,https://open.spotify.com/track/6tTHWYH8frkyqwAvGjGvXS
16,Pepas,Farruko,241239,https://open.spotify.com/track/2B4GHvToeLTOBB4QLzW3Ni
17,B.I.B.O.,Dardan,240286,https://open.spotify.com/track/5F3sqL2deoeV2kr8Vn9H4V
18,"Schlechtes Vorbild","Shirin David",227947,https://open.spotify.com/track/3y8BOdCyXS6xlJq75lBDKw
19,"Auf & Ab",Montez,223349,https://open.spotify.com/track/0RSZ8EmUPEN3ySfCgytPke
20,"Enemy (with JID) - from the series Arcane League of Legends","Imagine Dragons",210126,https://open.spotify.com/track/1r9xUipOqoNwggBpENDsvJ
21,"Babsi Bars","Shirin David",209095,https://open.spotify.com/track/6JOAAQNp721ZTe48yoX42A
22,"Be a Hoe/Break a Hoe","Shirin David",207395,https://open.spotify.com/track/0AbWRjGhzZDlWEoUs4VOUQ
23,Toxic,BoyWithUke,205404,https://open.spotify.com/track/2gQPv5jvVPqU2a9HhMNO1v
24,"Oh My God",Adele,205151,https://open.spotify.com/track/3Kkjo3cT83cw09VJyrLNwX
25,"INDUSTRY BABY (feat. Jack Harlow)","Lil Nas X",197607,https://open.spotify.com/track/5Z9KJZvQzH6PFmb8SNkxuk
26,"All I Want for Christmas Is You","Mariah Carey",196203,https://open.spotify.com/track/0bYg9bo50gSsH3LtXe2SQn
27,Lautlos,"Mario Novembre",195104,https://open.spotify.com/track/3wyLJfkbukEpP3oMp6Typx
28,"Ghetto Gemälde",Anonym,193762,https://open.spotify.com/track/6TzjSTZpVkYuPKsBF4qg9u
29,"Dior Sauvage","Shirin David",186181,https://open.spotify.com/track/7I4bIflVBgszHHluR0x6ji
30,"Last Christmas",Wham!,182137,https://open.spotify.com/track/2FRnf9qhLbvw8fu4IBXx78
31,"Bad Habits","Ed Sheeran",174647,https://open.spotify.com/track/3rmo8F54jFF8OgYsqTxm5d
32,"Blaues Licht","RAF Camora",172202,https://open.spotify.com/track/08EPQiLMyGB8GJX2EiVoCM
33,"Man's World","Shirin David",172025,https://open.spotify.com/track/6qbuTJchJw2MeEAvjWAhNj
34,"Heute nicht","Shirin David",170436,https://open.spotify.com/track/37rw7EFWvprUtLaX71Sm5E
35,Späti,Gzuz,167876,https://open.spotify.com/track/1S4Ehm8b7O4n9lIy3uAMS1
36,"BLEIB' ÜBER NACHT (feat. Luciano)",KALIM,164633,https://open.spotify.com/track/6jnR8dYSsKNqj1lVVFT5R0
37,"Lieben wir","Shirin David",163746,https://open.spotify.com/track/6Bupao0tigbVrHoTiZdQG2
38,"Bitches brauchen Rap","Shirin David",161234,https://open.spotify.com/track/6clMAqSgEWpcFgNlr0nxOh
39,"Bramfeld Storys","Shirin David",160238,https://open.spotify.com/track/2gPl0OSKeA4HrFnI07Ehmz
40,10von10,Pajel,159033,https://open.spotify.com/track/1sa59Q9urE82MD3ELi44HN
41,"Last Bitch Standing","Shirin David",158422,https://open.spotify.com/track/6UW29eoqpZkUUIC5ASpv8r
42,"Ich darf das","Shirin David",153124,https://open.spotify.com/track/0i239e7IfbcMy4xx3FGMNz
43,Acapulco,"Jason Derulo",149480,https://open.spotify.com/track/3eJH2nAjvNXdmPfBkALiPZ
44,MONEY,LISA,144112,https://open.spotify.com/track/7hU3IHwjX150XLoTVmjD0q
45,"Belgisches Viertel",ART,143503,https://open.spotify.com/track/1h3d2lvISrSIV6fS89U51S
46,"Juicy Money","Shirin David",143264,https://open.spotify.com/track/5BfRL84y1LtmACz4UreC0S
47,"Giftgrünes B",Bushido,141397,https://open.spotify.com/track/4FfPoqItp66sK2GL3GxNCl
