,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,Sommergewitter,Pashanim,662492,https://open.spotify.com/track/2H7jZg2HliuQhZjfBblLrZ
2,Beggin',Måneskin,530020,https://open.spotify.com/track/3Wrjm47oTz2sjIgck11l5e
3,"Bad Habits","Ed Sheeran",493375,https://open.spotify.com/track/6PQ88X9TkUIAUIZJHW2upE
4,"STAY (with Justin Bieber)","The Kid LAROI",470768,https://open.spotify.com/track/5HCyWlXZPP0y6Gqq8TgA20
5,Zukunft,"RAF Camora",455986,https://open.spotify.com/track/34tKBUUl8bAeqex8i82Z0L
6,"I WANNA BE YOUR SLAVE",Måneskin,386879,https://open.spotify.com/track/4pt5fDVTg5GhEvEtlz9dKk
7,"good 4 u","Olivia Rodrigo",369941,https://open.spotify.com/track/4ZtFanR9U6ndgddUvNcjcG
8,"Wenn ich geh",Jamule,356574,https://open.spotify.com/track/7bs43GIqBJY9V6lCQEVSep
9,"Lieben wir","Shirin David",311301,https://open.spotify.com/track/49gzU1IS1B6P3GATSZ5eCE
10,"Love Tonight - Edit",Shouse,284573,https://open.spotify.com/track/6OufwUcCqo81guU2jAlDVP
11,SCHMETTERLING,Luciano,257326,https://open.spotify.com/track/3gUVLJZ0JoGRuoRNUCIYsI
12,"Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit",Riton,240870,https://open.spotify.com/track/4cG7HUWYHBV6R6tHn1gxrl
13,"Nice To Meet Ya (feat. Yxng Bane)","Wes Nelson",235696,https://open.spotify.com/track/1YHjRAptXqPdsdx3g6FNJL
14,"MONTERO (Call Me By Your Name)","Lil Nas X",234847,https://open.spotify.com/track/67BtfxlNbhBmCDR2L2l8qd
15,Durstlöscher,01099,225306,https://open.spotify.com/track/51S7lhJk6AHiFg0PhJupfz
16,"Ramenez la coupe à la maison",Vegedream,220250,https://open.spotify.com/track/1m0UFnuTktOkksvjbF9z0m
17,Schwarz,LEA,204245,https://open.spotify.com/track/0XpTuvT4Yueddiv20w6M9a
18,"Ich darf das","Shirin David",190080,https://open.spotify.com/track/4txsSBdT4yVJtUj41YaQEB
19,"Iko Iko (My Bestie)","Justin Wellington",189361,https://open.spotify.com/track/7MC4XR9M9amdmKQr2iDF7i
20,"Vergesse nie die Street","RAF Camora",189129,https://open.spotify.com/track/3ZDXLSUZpKx8pspNBOdVr5
21,"Liege wieder wach",Jamule,186550,https://open.spotify.com/track/2knDuFWczh1Wv92eBAdPTa
22,"Motley Crew","Post Malone",181349,https://open.spotify.com/track/40uMIn2zJLAQhNXghRjBed
23,"Because You Move Me",Tinlicker,180323,https://open.spotify.com/track/05GvwwTLLID738BbKN1ze0
24,Benzin,"RAF Camora",166991,https://open.spotify.com/track/7aeNNhFoheKQOSEeQEbDrI
25,Mbappé,"Capital Bra",166840,https://open.spotify.com/track/0tjfduLn5jfa8bGTwZ2NgU
26,"Levitating (feat. DaBaby)","Dua Lipa",166452,https://open.spotify.com/track/5nujrmhLynf4yMoMtj8AQF
27,Redlight,Glockenbach,163115,https://open.spotify.com/track/24osWl0SQSyHzGyEMdf394
28,GHETTOGIRL,Capo,162368,https://open.spotify.com/track/0G5x5rALxKOkwicMjKta79
29,"King Kong",HBz,160780,https://open.spotify.com/track/7GIlBNE6pZRfoRfo4oL7f0
30,Frisch,01099,159451,https://open.spotify.com/track/7toCqux0Ln42OttYYyds4k
31,Realität,"RAF Camora",152719,https://open.spotify.com/track/4aCtiux4NfWF0Kx88YAA5e
32,Run,OneRepublic,152018,https://open.spotify.com/track/2UbVnbE5FH6008mAm6Mmgw
33,"Your Love (9PM)",ATB,150221,https://open.spotify.com/track/5YaskwnGDZFDRipaqzbwQx
34,Madonna,Bausa,149631,https://open.spotify.com/track/6a3kNt1UlUOapDKmEr3JzZ
35,Extasy,"187 Strassenbande",149387,https://open.spotify.com/track/79lc69ZXfL4WmJIzVSDmWT
36,"The Business",Tiësto,146250,https://open.spotify.com/track/6f3Slt0GbA2bPZlz0aIFXN
37,"Following The Sun",SUPER-Hi,143925,https://open.spotify.com/track/2JzXBqTIVHYX43t7EcLyMs
38,Dinero,"Trinidad Cardona",142205,https://open.spotify.com/track/3ggtU1ZOKO8ZNiqPNyXGcm
39,"Astronaut In The Ocean","Masked Wolf",140721,https://open.spotify.com/track/0BGwAKW4u8kWOhWFflZxfl
40,"Wenn ich wein",AYLIVA,139087,https://open.spotify.com/track/4Wuu6qS3D0Veevv2ZtbbrD
41,"Wasted Love (feat. Lagique)",Ofenbach,139025,https://open.spotify.com/track/2pPO9YecZimmuVQfIzfV6U
42,"Kapuze im Club","RAF Camora",136674,https://open.spotify.com/track/5oYyn8FqSRuOjMB4OVXqWk
43,"Kiss Me More (feat. SZA)","Doja Cat",134249,https://open.spotify.com/track/3DarAbFujv6eYNliUTyqtz
44,"Peaches (feat. Daniel Caesar & Giveon)","Justin Bieber",134162,https://open.spotify.com/track/4iJyoBOLtHqaGxP12qzhQI
45,"Cover Me In Sunshine",P!nk,133123,https://open.spotify.com/track/0UKUfxIkDAMZz7hMdiVX3m
46,Chromosom,"RAF Camora",132583,https://open.spotify.com/track/1pxWHJuBJNCJPhj7biFzbN
47,"Wenn es schlecht läuft","RAF Camora",131676,https://open.spotify.com/track/3iJHblQ5cJJdWY77WsyOqz
48,Rasputin,Majestic,119971,https://open.spotify.com/track/0b18g3G5spr4ZCkz7Y6Q0Q
49,Zombie,"RAF Camora",119910,https://open.spotify.com/track/3Z9nKoghuOPwMx9tbbZmoR
50,"Frag mich nicht","Miksu / Macloud",117307,https://open.spotify.com/track/5ZIFzmhVJRO3tRwtBXrPXh
51,"Wellerman - Sea Shanty / 220 KID x Billen Ted Remix","Nathan Evans",115969,https://open.spotify.com/track/3iw6V4LH7yPj1ESORX9RIN
52,"BLESSED (feat. Capital Bra)",CRO,115282,https://open.spotify.com/track/28tBoBognmn3BBdfjPzSw9
53,Intro,"RAF Camora",115159,https://open.spotify.com/track/0M6quWAqeqAtZe7HP2a270
54,"Drink Ist Kalt",BHZ,115073,https://open.spotify.com/track/4rewc9tTT02T7Tfxpd0mo4
55,"BLUEBERRY YUM YUM",BHZ,113137,https://open.spotify.com/track/0oHzP4JE4Zpk9yrZJ2Q48G
