,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,10von10,Pajel,608414,https://open.spotify.com/track/1sa59Q9urE82MD3ELi44HN
2,"Auf & Ab",Montez,575068,https://open.spotify.com/track/0RSZ8EmUPEN3ySfCgytPke
3,"STAY (with Justin Bieber)","The Kid LAROI",566011,https://open.spotify.com/track/5PjdY0CKGZdEuoNab3yDmX
4,"Blaues Licht","RAF Camora",415689,https://open.spotify.com/track/08EPQiLMyGB8GJX2EiVoCM
5,2sad2disco,"Apache 207",400437,https://open.spotify.com/track/3HJKVymmisbtzi3s0hFCG4
6,"Heat Waves","Glass Animals",386645,https://open.spotify.com/track/02MWAaffLxlfxAUY7c5dvx
7,Mandarinen,Shindy,352899,https://open.spotify.com/track/4HOWTItpwHvQSNyyiwWsPT
8,"Bad Habits","Ed Sheeran",344114,https://open.spotify.com/track/6PQ88X9TkUIAUIZJHW2upE
9,"INDUSTRY BABY (feat. Jack Harlow)","Lil Nas X",331307,https://open.spotify.com/track/27NovPIUIRrOZoCHxABJwK
10,"Wenn du mich siehst","RAF Camora",326703,https://open.spotify.com/track/3hxJ3qXqg8ysYBF1QmO8Ir
11,Sommergewitter,Pashanim,313234,https://open.spotify.com/track/2H7jZg2HliuQhZjfBblLrZ
12,"Belgisches Viertel",ART,311997,https://open.spotify.com/track/1h3d2lvISrSIV6fS89U51S
13,"Fair Trade (with Travis Scott)",Drake,291320,https://open.spotify.com/track/40iJIUlhi6renaREYGeIDS
14,"Girls Want Girls (with Lil Baby)",Drake,279303,https://open.spotify.com/track/37Nqx7iavZpotJSDXZWbJ3
15,"Love Tonight - Edit",Shouse,274831,https://open.spotify.com/track/6OufwUcCqo81guU2jAlDVP
16,Beggin',Måneskin,260116,https://open.spotify.com/track/3Wrjm47oTz2sjIgck11l5e
17,Woman,"Doja Cat",248300,https://open.spotify.com/track/6Uj1ctrBOjOas8xZXGqKk4
18,"good 4 u","Olivia Rodrigo",237283,https://open.spotify.com/track/4ZtFanR9U6ndgddUvNcjcG
19,Crashen,t-low,229617,https://open.spotify.com/track/5STeQZH1Ahz3h0X9Njaij7
20,"Where Are You Now","Lost Frequencies",221489,https://open.spotify.com/track/3uUuGVFu1V7jTQL60S1r8z
21,"61 Grad",Endzone,218038,https://open.spotify.com/track/5Z7J2Au61uO7K1ZPNG1eTv
22,"I WANNA BE YOUR SLAVE",Måneskin,212597,https://open.spotify.com/track/4pt5fDVTg5GhEvEtlz9dKk
23,"Because You Move Me",Tinlicker,209236,https://open.spotify.com/track/05GvwwTLLID738BbKN1ze0
24,"Mit Mir",Loredana,208308,https://open.spotify.com/track/5RWOCS1epJ5Sm6Gu4k8FVo
25,"OUT OUT (feat. Charli XCX & Saweetie)","Joel Corry",198741,https://open.spotify.com/track/6Dy1jexKYriXAVG6evyUTJ
26,Hurricane,"Kanye West",190037,https://open.spotify.com/track/0RbW8kWozrVSIGb4V13o0o
27,"Wenn Du mich lässt",LEA,187448,https://open.spotify.com/track/6Ey7KSTV0Zx0fnxOw6bdK8
28,Vollmond,Eno,177174,https://open.spotify.com/track/7fAzrCS4F29tUvXxi4PcRR
29,"Way 2 Sexy (with Future & Young Thug)",Drake,172859,https://open.spotify.com/track/0k1WUmIRnG3xU6fvvDVfRG
30,"Lieben wir","Shirin David",160093,https://open.spotify.com/track/49gzU1IS1B6P3GATSZ5eCE
31,Colorado,"Milky Chance",159337,https://open.spotify.com/track/0eZmBWVC1HYayrP2fqQ7nu
32,"MONTERO (Call Me By Your Name)","Lil Nas X",158782,https://open.spotify.com/track/67BtfxlNbhBmCDR2L2l8qd
33,"Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit",Riton,156829,https://open.spotify.com/track/4cG7HUWYHBV6R6tHn1gxrl
34,Engel,Ufo361,155694,https://open.spotify.com/track/1Oc3U3AerpJD0WURqqWaae
35,"Chosen (feat. Ty Dolla $ign)",Blxst,150317,https://open.spotify.com/track/1dIWPXMX4kRHj6Dt2DStUQ
36,Habit,Laurell,148977,https://open.spotify.com/track/4bnutybG1itDcpyoQo2Uoc
37,Paradies,Samra,146795,https://open.spotify.com/track/0DsZj4PVVZjYCjhvibE5wp
38,"Champagne Poetry",Drake,145145,https://open.spotify.com/track/2HSmyk2qMN8WQjuGhaQgCk
39,"Happier Than Ever","Billie Eilish",142198,https://open.spotify.com/track/4RVwu0g32PAqgUiJoXsdF8
40,Ryu,Ufo361,139567,https://open.spotify.com/track/2eVdX5bORCk2MNHDT5MRaC
41,Durstlöscher,01099,137067,https://open.spotify.com/track/51S7lhJk6AHiFg0PhJupfz
42,"King Kong",HBz,134229,https://open.spotify.com/track/7GIlBNE6pZRfoRfo4oL7f0
43,"Need to Know","Doja Cat",133316,https://open.spotify.com/track/3Vi5XqYrmQgOYBajMWSvCi
44,"Liege wieder wach",Jamule,130390,https://open.spotify.com/track/2knDuFWczh1Wv92eBAdPTa
45,"Iko Iko (My Bestie)","Justin Wellington",126444,https://open.spotify.com/track/7MC4XR9M9amdmKQr2iDF7i
46,SCHMETTERLING,Luciano,125362,https://open.spotify.com/track/3gUVLJZ0JoGRuoRNUCIYsI
47,"HAB NUR EINE BITTE.",Lune,123707,https://open.spotify.com/track/6gSXG57Sp2BmdEXMCopTIF
48,"ICH WÜRD GERN",Musso,121403,https://open.spotify.com/track/4WT5u2mgDoK67AF5nODdUB
49,"Take My Breath - Single Version","The Weeknd",120067,https://open.spotify.com/track/6M3PsepEj5gyJoIi7Xvr7u
50,B.I.B.O.,Dardan,119696,https://open.spotify.com/track/5F3sqL2deoeV2kr8Vn9H4V
51,"Don't Shut Me Down",ABBA,118824,https://open.spotify.com/track/2AHnmlkyZbnxqSA66B7jK3
52,"Papi’s Home",Drake,115104,https://open.spotify.com/track/6jy9yJfgCsMHdu2Oz4BGKX
53,Zukunft,"RAF Camora",114502,https://open.spotify.com/track/34tKBUUl8bAeqex8i82Z0L
54,"Knife Talk (with 21 Savage ft. Project Pat)",Drake,114030,https://open.spotify.com/track/2BcMwX1MPV6ZHP4tUT9uq6
55,"Love All (with JAY-Z)",Drake,113025,https://open.spotify.com/track/4VCbgIdr8ptegWeJpqLVHH
56,"Love Tonight - David Guetta Remix Edit",Shouse,112774,https://open.spotify.com/track/2prnn41CblB8B4yWACDljP
57,Run,OneRepublic,112387,https://open.spotify.com/track/6KL88T4Ma4ABXqzgUoEwkd
58,"Wenn ich geh",Jamule,111720,https://open.spotify.com/track/7bs43GIqBJY9V6lCQEVSep
59,Porsche,Ufo361,111063,https://open.spotify.com/track/6K74pRmxHkSudhOdzoHxwE
60,Madonna,Bausa,110573,https://open.spotify.com/track/6a3kNt1UlUOapDKmEr3JzZ
61,"No Friends In The Industry",Drake,109956,https://open.spotify.com/track/2tUL6dZf1mywCj5WvCPZw6
62,"Ich darf das","Shirin David",109585,https://open.spotify.com/track/4txsSBdT4yVJtUj41YaQEB
63,"If You Really Love Me (How Will I Know)","David Guetta",108186,https://open.spotify.com/track/1V7bZ9gEIwFQpm8yGxRHNA
64,"In The Bible (with Lil Durk & Giveon)",Drake,106940,https://open.spotify.com/track/61S79KIVA4I9FXbnsylEHT
65,"Weißes Kleid","Apache 207",103270,https://open.spotify.com/track/6nyxcO7tWzJBTOW3pldwr9
66,"Following the Sun",SUPER-Hi,103108,https://open.spotify.com/track/5A5bLKdL5I3k3FTEQlAUw7
67,TSU,Drake,102522,https://open.spotify.com/track/4s7QLoImIwmPi9L6dq1nVW
68,Pepas,Farruko,102506,https://open.spotify.com/track/5fwSHlTEWpluwOM0Sxnh5k
69,"Your Love (9PM)",ATB,101356,https://open.spotify.com/track/5YaskwnGDZFDRipaqzbwQx
70,"Für dich (feat. ille & MABU)",lityway,100990,https://open.spotify.com/track/2e9SUhfqprCWCWNXcZNjxP
71,"Off The Grid","Kanye West",98877,https://open.spotify.com/track/2gbMPBrBVj3CuNTLp2dHYs
72,"The Business",Tiësto,98417,https://open.spotify.com/track/6f3Slt0GbA2bPZlz0aIFXN
73,UNDERCLASS,Fler,97326,https://open.spotify.com/track/3hOF9MaXaw263a8nrRZOBh
74,"Never Going Home",Kungs,96989,https://open.spotify.com/track/0xfMlIW8lS40qvpsUw1l0X
75,Tränen,Lucio101,96863,https://open.spotify.com/track/3cWzy2XDyZP5OT5MygdxHt
76,Redlight,Glockenbach,96500,https://open.spotify.com/track/24osWl0SQSyHzGyEMdf394
77,"So weit","Apache 207",96249,https://open.spotify.com/track/0Dih0JpYGyuEUokeThzwLQ
78,"Frag mich nicht","Miksu / Macloud",96025,https://open.spotify.com/track/5ZIFzmhVJRO3tRwtBXrPXh
79,Frisch,01099,95958,https://open.spotify.com/track/7toCqux0Ln42OttYYyds4k
80,Extasy,"187 Strassenbande",95362,https://open.spotify.com/track/79lc69ZXfL4WmJIzVSDmWT
81,"In Da Getto","J Balvin",95259,https://open.spotify.com/track/63aj87TQG6F3RVO5nbG2VQ
82,Roller,"Apache 207",94590,https://open.spotify.com/track/6hw1Sy9wZ8UCxYGdpKrU6M
83,Wrecked,"Imagine Dragons",93044,https://open.spotify.com/track/149BxWeweaCqmsyedkNiiE
84,"Ramenez la coupe à la maison",Vegedream,92794,https://open.spotify.com/track/1m0UFnuTktOkksvjbF9z0m
85,"Nice To Meet Ya (feat. Yxng Bane)","Wes Nelson",91103,https://open.spotify.com/track/1YHjRAptXqPdsdx3g6FNJL
86,"Blinding Lights","The Weeknd",91028,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
87,"I GUESS I'M IN LOVE","Clinton Kane",90399,https://open.spotify.com/track/1is8gU4RVcN4J8xItxWoOY
88,"Wasted Love (feat. Lagique)",Ofenbach,90065,https://open.spotify.com/track/2pPO9YecZimmuVQfIzfV6U
89,"CLOUD 7",Dardan,89251,https://open.spotify.com/track/7ksQkf6p0rF9CoDhxoePKn
90,"Outside (Better Days)",Blueface,89160,https://open.spotify.com/track/26BMsCXJpD7eYtP7ufhApC
91,GHETTOGIRL,Capo,88819,https://open.spotify.com/track/0G5x5rALxKOkwicMjKta79
92,"Like I Can","Sam Smith",87075,https://open.spotify.com/track/0mJBiaODgK0XjOLCN5fItq
93,"N 2 Deep",Drake,86067,https://open.spotify.com/track/34D6FJysnQioVingDKufuf
94,Fliegen,O.G.,85999,https://open.spotify.com/track/7Jnnsir5gWEOgEouBjkFH1
95,2055,"Sleepy Hallow",85841,https://open.spotify.com/track/4XvcHTUfIlWfyJTRG0aqlo
96,River,"Tom Gregory",85652,https://open.spotify.com/track/6jmIUrOD5seJEh6Z6RP2xz
97,Venus,Bausa,85138,https://open.spotify.com/track/0f9uqeifywK2mdO0lRVDAc
98,"We Got the Moves","Electric Callboy",84447,https://open.spotify.com/track/4EFb9FhLyFiDbYKwBwDZre
99,"Wellerman - Sea Shanty / 220 KID x Billen Ted Remix","Nathan Evans",84276,https://open.spotify.com/track/3iw6V4LH7yPj1ESORX9RIN
100,"Head & Heart (feat. MNEK)","Joel Corry",83990,https://open.spotify.com/track/6cx06DFPPHchuUAcTxznu9
101,"Fountains (with Tems)",Drake,83906,https://open.spotify.com/track/08XWh5c0BMyD1nKVxxl91z
102,"Drei Uhr Nachts","Mark Forster",83683,https://open.spotify.com/track/6NMA5MsBDOqwQuVT3IbwNj
103,"Kiss Me More (feat. SZA)","Doja Cat",83303,https://open.spotify.com/track/3DarAbFujv6eYNliUTyqtz
104,"Calabria (feat. Lujavo & Nito-Onna)","Strange Fruits Music",82953,https://open.spotify.com/track/6FATmkWp2Y6neyi2VVBUuu
105,"Levitating (feat. DaBaby)","Dua Lipa",82796,https://open.spotify.com/track/5nujrmhLynf4yMoMtj8AQF
106,Schwarz,LEA,82137,https://open.spotify.com/track/0XpTuvT4Yueddiv20w6M9a
107,"Another Love","Tom Odell",81700,https://open.spotify.com/track/7jtQIBanIiJOMS6RyCx6jZ
108,"Summer of Love (Shawn Mendes & Tainy)","Shawn Mendes",81082,https://open.spotify.com/track/0z8hI3OPS8ADPWtoCjjLl6
109,"WECK MICH AUF",Olexesh,79481,https://open.spotify.com/track/3isXOpMOLHoBrft1G2mlnm
110,"Astronaut In The Ocean","Masked Wolf",79424,https://open.spotify.com/track/0BGwAKW4u8kWOhWFflZxfl
111,"Vamos a Marte (feat. Luis Fonsi)","Helene Fischer",79383,https://open.spotify.com/track/06sSAsjNx4eJawyXY3SXgB
112,"I Still Have Faith In You",ABBA,79006,https://open.spotify.com/track/3ddxe0WYUpNPtSnHgQOad5
113,Rockstars,"PA Sports",78958,https://open.spotify.com/track/6P1jSLoccrZwr3pHE7OY6J
114,"Ohne Dich",Veysel,77709,https://open.spotify.com/track/0AqrJySgoQIVVRK5ENFfyF
115,Acapulco,"Jason Derulo",77032,https://open.spotify.com/track/3eJH2nAjvNXdmPfBkALiPZ
116,"Peaches (feat. Daniel Caesar & Giveon)","Justin Bieber",76756,https://open.spotify.com/track/4iJyoBOLtHqaGxP12qzhQI
117,Nebenjob,Alligatoah,76712,https://open.spotify.com/track/5AeRqflPk4WZBX2nVtPQTI
118,"Cold Heart - PNAU Remix","Elton John",76117,https://open.spotify.com/track/6zSpb8dQRaw0M1dK8PBwQz
119,Jail,"Kanye West",75243,https://open.spotify.com/track/42ZrMq4BKsWDrrbMnMRYaK
120,blau,LUNA,74031,https://open.spotify.com/track/75J8OuOkEyMIG9scAuuwew
121,"Destroy all copies",Ufo361,73822,https://open.spotify.com/track/3sqYTYRWS0JDdyk3aBfRkO
122,"Mood (feat. iann dior)",24kGoldn,72555,https://open.spotify.com/track/4jPy3l0RUwlUI9T5XHBW2m
123,"Ohne Dich",KASIMIR1441,72096,https://open.spotify.com/track/1BHgWnOYgtAHhMZU73co1D
