,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Auf & Ab",Montez,754625,https://open.spotify.com/track/0RSZ8EmUPEN3ySfCgytPke
2,"STAY (with Justin Bieber)","The Kid LAROI",747968,https://open.spotify.com/track/5PjdY0CKGZdEuoNab3yDmX
3,"Im Schatten der Feigenbäume",Shindy,609617,https://open.spotify.com/track/4RXaGSgu3taiAD1ZjZtnF2
4,"Blaues Licht","RAF Camora",593417,https://open.spotify.com/track/08EPQiLMyGB8GJX2EiVoCM
5,"Bad Habits","Ed Sheeran",522762,https://open.spotify.com/track/6PQ88X9TkUIAUIZJHW2upE
6,Sommergewitter,Pashanim,497592,https://open.spotify.com/track/2H7jZg2HliuQhZjfBblLrZ
7,Beggin',Måneskin,449604,https://open.spotify.com/track/3Wrjm47oTz2sjIgck11l5e
8,"Love Tonight - Edit",Shouse,433749,https://open.spotify.com/track/6OufwUcCqo81guU2jAlDVP
9,"INDUSTRY BABY (feat. Jack Harlow)","Lil Nas X",342160,https://open.spotify.com/track/27NovPIUIRrOZoCHxABJwK
10,"good 4 u","Olivia Rodrigo",332337,https://open.spotify.com/track/4ZtFanR9U6ndgddUvNcjcG
11,"I WANNA BE YOUR SLAVE",Måneskin,307510,https://open.spotify.com/track/4pt5fDVTg5GhEvEtlz9dKk
12,"Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit",Riton,291384,https://open.spotify.com/track/4cG7HUWYHBV6R6tHn1gxrl
13,"Because You Move Me",Tinlicker,290959,https://open.spotify.com/track/05GvwwTLLID738BbKN1ze0
14,1976,RIN,258283,https://open.spotify.com/track/0jTWSs2OyxzYIk1sF7sUsO
15,Venus,Bausa,251473,https://open.spotify.com/track/0f9uqeifywK2mdO0lRVDAc
16,"CLOUD 7",Dardan,244481,https://open.spotify.com/track/7ksQkf6p0rF9CoDhxoePKn
17,"Lieben wir","Shirin David",236920,https://open.spotify.com/track/49gzU1IS1B6P3GATSZ5eCE
18,"MONTERO (Call Me By Your Name)","Lil Nas X",224564,https://open.spotify.com/track/67BtfxlNbhBmCDR2L2l8qd
19,"Take My Breath - Single Version","The Weeknd",222609,https://open.spotify.com/track/6OGogr19zPTM4BALXuMQpF
20,"Iko Iko (My Bestie)","Justin Wellington",220351,https://open.spotify.com/track/7MC4XR9M9amdmKQr2iDF7i
21,"MONEY II","Farid Bang",216147,https://open.spotify.com/track/3SLNsDPrRMFVSV3B1wZh78
22,SAVAGE,KALIM,214552,https://open.spotify.com/track/6ffm65pPdwAxJApUEWP3yI
23,"King Kong",HBz,211772,https://open.spotify.com/track/7GIlBNE6pZRfoRfo4oL7f0
24,"HAB NUR EINE BITTE.",Lune,206638,https://open.spotify.com/track/6gSXG57Sp2BmdEXMCopTIF
25,Durstlöscher,01099,204272,https://open.spotify.com/track/51S7lhJk6AHiFg0PhJupfz
26,"Heat Waves","Glass Animals",201991,https://open.spotify.com/track/02MWAaffLxlfxAUY7c5dvx
