,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,Madonna,Bausa,559031,https://open.spotify.com/track/6a3kNt1UlUOapDKmEr3JzZ
2,"Wellerman - Sea Shanty / 220 KID x Billen Ted Remix","Nathan Evans",431718,https://open.spotify.com/track/3iw6V4LH7yPj1ESORX9RIN
3,"Astronaut In The Ocean","Masked Wolf",396683,https://open.spotify.com/track/3VT8hOC5vuDXBsHrR53WFh
4,"Ohne Dich",KASIMIR1441,394093,https://open.spotify.com/track/4hSJUp6k7QeHLxU32MrLIU
5,"Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit",Riton,353942,https://open.spotify.com/track/4cG7HUWYHBV6R6tHn1gxrl
6,PEPPERMINT,Luciano,348813,https://open.spotify.com/track/6V1lWr7s8CO5VkxXe4hBtg
7,"The Business",Tiësto,338937,https://open.spotify.com/track/6f3Slt0GbA2bPZlz0aIFXN
8,Doublecup,"PA Sports",314691,https://open.spotify.com/track/0tcWtn95oGyM1OElWWos4q
9,"Augen überall (feat. Ano)",Samra,314049,https://open.spotify.com/track/4XPfAjrZAvkmIGh7MbKXLB
10,"Your Love (9PM)",ATB,308087,https://open.spotify.com/track/5YaskwnGDZFDRipaqzbwQx
11,Fluch,Azet,287589,https://open.spotify.com/track/0MuUSRBlStYNy0IeSrjmEu
12,"Niemand bringt Marten um",Marteria,282954,https://open.spotify.com/track/0nYSnbFVX5ghrERjwVZgwZ
13,"Save Your Tears","The Weeknd",279796,https://open.spotify.com/track/5QO79kh1waicV47BqGRL3g
14,Aventador,"Capital Bra",272468,https://open.spotify.com/track/5T7pVU8KMd7hpyqfWt0nhy
15,Ordentlich,t-low,272289,https://open.spotify.com/track/4DnHEa1fuf3bn61AwT8Qiv
16,"drivers license","Olivia Rodrigo",259809,https://open.spotify.com/track/7lPN2DXiMsVn7XUKtOW1CS
17,"White Lies",VIZE,256757,https://open.spotify.com/track/2QuQkdLLzgktXwruPAz6f4
