,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Liege wieder wach",Jamule,493130,https://open.spotify.com/track/2knDuFWczh1Wv92eBAdPTa
2,"BLESSED (feat. Capital Bra)",CRO,473316,https://open.spotify.com/track/6kxErsVgalFeBlxRfHCuUv
3,"MONTERO (Call Me By Your Name)","Lil Nas X",382163,https://open.spotify.com/track/67BtfxlNbhBmCDR2L2l8qd
4,"Frag mich nicht","Miksu / Macloud",374984,https://open.spotify.com/track/5ZIFzmhVJRO3tRwtBXrPXh
5,"Allein sein","Mario Novembre",314252,https://open.spotify.com/track/11NFxVnEwPDz4LjIyKazxV
6,"Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit",Riton,305036,https://open.spotify.com/track/4cG7HUWYHBV6R6tHn1gxrl
7,"Leere Hände (feat. Sido & Samra)",SANTOS,278239,https://open.spotify.com/track/5QEqzFV7R8KSSCJa37tfvs
8,Madonna,Bausa,274177,https://open.spotify.com/track/6a3kNt1UlUOapDKmEr3JzZ
9,"Peaches (feat. Daniel Caesar & Giveon)","Justin Bieber",261071,https://open.spotify.com/track/4iJyoBOLtHqaGxP12qzhQI
10,"Your Power","Billie Eilish",255550,https://open.spotify.com/track/5qNh5WtzMbfpSj2jLlBkoD
11,"Astronaut In The Ocean","Masked Wolf",255029,https://open.spotify.com/track/3VT8hOC5vuDXBsHrR53WFh
12,"PINKY RING",Ufo361,251819,https://open.spotify.com/track/6hxUttbBVSshNTeW6OdLbx
13,"San Andreas",RIN,237419,https://open.spotify.com/track/1VuBab65w8vPFeFvREDA32
14,"Cover Me In Sunshine",P!nk,234543,https://open.spotify.com/track/6Tio0ZoDeSQnI7EBAqWer2
15,Heimkommen,FOURTY,232325,https://open.spotify.com/track/64ZyI00DBUUigpTanQqA0l
16,"KIDS FROM THE BLOCK",Luciano,221828,https://open.spotify.com/track/26hbmLeqiz8loWjFshsegF
17,"Wellerman - Sea Shanty / 220 KID x Billen Ted Remix","Nathan Evans",218331,https://open.spotify.com/track/3iw6V4LH7yPj1ESORX9RIN
18,"Your Love (9PM)",ATB,212699,https://open.spotify.com/track/5YaskwnGDZFDRipaqzbwQx
19,"Wasted Love (feat. Lagique)",Ofenbach,207670,https://open.spotify.com/track/2pPO9YecZimmuVQfIzfV6U
20,"Levitating (feat. DaBaby)","Dua Lipa",195995,https://open.spotify.com/track/5nujrmhLynf4yMoMtj8AQF
21,ZART,Nimo,194068,https://open.spotify.com/track/1WUXlAFlKIu7fixKZvQECX
22,"Drei Uhr Nachts","Mark Forster",186276,https://open.spotify.com/track/58GxgFEG5uHc9oMhofuuIP
23,"Asphalt & Tennissocken","Kontra K",186060,https://open.spotify.com/track/3sT1dFHUVRx4xVvvcDHp03
24,"The Business",Tiësto,183790,https://open.spotify.com/track/6f3Slt0GbA2bPZlz0aIFXN
