,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Ohne Dich",KASIMIR1441,969747,https://open.spotify.com/track/4hSJUp6k7QeHLxU32MrLIU
2,"drivers license","Olivia Rodrigo",513380,https://open.spotify.com/track/7lPN2DXiMsVn7XUKtOW1CS
3,Paradies,Gzuz,475834,https://open.spotify.com/track/6qNLO4HzHeVvHxTaCFMXrf
4,Hell,"PA Sports",397105,https://open.spotify.com/track/1CFBjAXDYaKLyxGMrijeo1
5,"The Business",Tiësto,369118,https://open.spotify.com/track/6f3Slt0GbA2bPZlz0aIFXN
6,Angst,"Apache 207",361963,https://open.spotify.com/track/5yUzqd3H7cmJ1no6B4uTzu
7,"Lost (feat. TOPIC42)",Samra,312083,https://open.spotify.com/track/19LqJBBfd73oeBc3CPgDdl
8,"WO DU",Nimo,287177,https://open.spotify.com/track/27jutMh8QmJfaJrMFEnTDN
9,Lonely,"Miksu / Macloud",282747,https://open.spotify.com/track/2YjkalYiseRDPYjpzLu8Vl
10,"All We Got (feat. KIDDO)","Robin Schulz",276143,https://open.spotify.com/track/1FP9s72rDYty6mfoOEYKnE
11,"Head & Heart (feat. MNEK)","Joel Corry",254879,https://open.spotify.com/track/6cx06DFPPHchuUAcTxznu9
12,Whoopty,CJ,253683,https://open.spotify.com/track/5vGLcdRuSbUhD8ScwsGSdA
13,"WITHOUT YOU","The Kid LAROI",252023,https://open.spotify.com/track/27OeeYzk6klgBh83TSvGMA
14,"Mood (feat. iann dior)",24kGoldn,248042,https://open.spotify.com/track/3tjFYV6RSFtuktYl3ZtYcq
15,Goosebumps,HVME,246739,https://open.spotify.com/track/20McUFi8KCIVdNDLrkTDuZ
16,"Head Shoulders Knees & Toes (feat. Norma Jean Martine)",Ofenbach,241800,https://open.spotify.com/track/6i7zAdNhzUN2k1HcrBxPHG
17,"HIGHWAY (feat. ELIF)","Katja Krasavice",241583,https://open.spotify.com/track/2UD1csihq8aPrpM69C2XrW
18,"Paradise (feat. Dermot Kennedy)",MEDUZA,239148,https://open.spotify.com/track/6ft4hAq6yde8jPZY2i5zLr
19,Verlierer,LUNA,220878,https://open.spotify.com/track/6ZklqpekeC0KFGzyFVjQuj
20,Regen,Ali471,216397,https://open.spotify.com/track/02y8kYqCkzAxVqLEsnIXNS
