,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,Madonna,Bausa,479817,https://open.spotify.com/track/6a3kNt1UlUOapDKmEr3JzZ
2,"Wellerman - Sea Shanty / 220 KID x Billen Ted Remix","Nathan Evans",362557,https://open.spotify.com/track/3iw6V4LH7yPj1ESORX9RIN
3,"Astronaut In The Ocean","Masked Wolf",356557,https://open.spotify.com/track/3VT8hOC5vuDXBsHrR53WFh
4,"Ohne Dich",KASIMIR1441,339599,https://open.spotify.com/track/4hSJUp6k7QeHLxU32MrLIU
5,PEPPERMINT,Luciano,298222,https://open.spotify.com/track/6V1lWr7s8CO5VkxXe4hBtg
6,"Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit",Riton,274968,https://open.spotify.com/track/4cG7HUWYHBV6R6tHn1gxrl
7,"The Business",Tiësto,273214,https://open.spotify.com/track/6f3Slt0GbA2bPZlz0aIFXN
8,Doublecup,"PA Sports",263607,https://open.spotify.com/track/0tcWtn95oGyM1OElWWos4q
9,Ordentlich,t-low,257268,https://open.spotify.com/track/4DnHEa1fuf3bn61AwT8Qiv
10,"Your Love (9PM)",ATB,253720,https://open.spotify.com/track/5YaskwnGDZFDRipaqzbwQx
11,"Niemand bringt Marten um",Marteria,238388,https://open.spotify.com/track/0nYSnbFVX5ghrERjwVZgwZ
12,"WITHOUT YOU","The Kid LAROI",237322,https://open.spotify.com/track/27OeeYzk6klgBh83TSvGMA
13,"Save Your Tears","The Weeknd",235667,https://open.spotify.com/track/5QO79kh1waicV47BqGRL3g
14,"drivers license","Olivia Rodrigo",229025,https://open.spotify.com/track/7lPN2DXiMsVn7XUKtOW1CS
15,"Girls Like Us","Zoe Wees",222403,https://open.spotify.com/track/5SFXOMJJ334Wn2PwBHeRZN
16,Fluch,Azet,219049,https://open.spotify.com/track/0MuUSRBlStYNy0IeSrjmEu
17,"Augen überall (feat. Ano)",Samra,212019,https://open.spotify.com/track/4XPfAjrZAvkmIGh7MbKXLB
18,"BAD EYEZ",Nimo,211073,https://open.spotify.com/track/5dDQDduj3EaWrPIZ9bc8tj
19,Aventador,"Capital Bra",209304,https://open.spotify.com/track/5T7pVU8KMd7hpyqfWt0nhy
20,"Wasted Love (feat. Lagique)",Ofenbach,208865,https://open.spotify.com/track/2pPO9YecZimmuVQfIzfV6U
21,"White Lies",VIZE,208479,https://open.spotify.com/track/2QuQkdLLzgktXwruPAz6f4
22,"Wellerman - Sea Shanty","Nathan Evans",180214,https://open.spotify.com/track/54OBgO0Xwu20Jak9TMXbR7
23,"Head & Heart (feat. MNEK)","Joel Corry",175310,https://open.spotify.com/track/6cx06DFPPHchuUAcTxznu9
24,"Paradise (feat. Dermot Kennedy)",MEDUZA,166558,https://open.spotify.com/track/6ft4hAq6yde8jPZY2i5zLr
25,"Lost (feat. TOPIC42)",Samra,164789,https://open.spotify.com/track/19LqJBBfd73oeBc3CPgDdl
26,"Diese eine Melodie","Kontra K",164126,https://open.spotify.com/track/6RvBo8JZUMSvvHnGa2hDrj
27,"SYGL (feat. Shindy)",CRO,162864,https://open.spotify.com/track/1tUF7dEhqmV2Z1pTsGAGnD
28,"Love Not War (The Tampa Beat)","Jason Derulo",162621,https://open.spotify.com/track/4Lt6GXGzYsa1tgkv3nGSTm
29,Arcade,"Duncan Laurence",161677,https://open.spotify.com/track/1J14CdDAvBTE1AJYUOwl6C
30,"Head Shoulders Knees & Toes (feat. Norma Jean Martine)",Ofenbach,161196,https://open.spotify.com/track/6i7zAdNhzUN2k1HcrBxPHG
31,"Mood (feat. iann dior)",24kGoldn,159921,https://open.spotify.com/track/3tjFYV6RSFtuktYl3ZtYcq
32,"Blinding Lights","The Weeknd",158540,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
33,"My Head & My Heart","Ava Max",156715,https://open.spotify.com/track/1KixkQVDUHggZMU9dUobgm
34,Roller,"Apache 207",156041,https://open.spotify.com/track/6hw1Sy9wZ8UCxYGdpKrU6M
35,"All We Got (feat. KIDDO)","Robin Schulz",155676,https://open.spotify.com/track/1iAyJBksvAI6DQEnzv8l1E
36,Goosebumps,HVME,151550,https://open.spotify.com/track/20McUFi8KCIVdNDLrkTDuZ
37,"Wer wenn nicht wir","Wincent Weiss",148992,https://open.spotify.com/track/5jYDCxuSx1mfApeWA4SlqX
38,"Hold On","Justin Bieber",147604,https://open.spotify.com/track/4u4NyuceXP7Uzh7XFJKCr1
39,"Rise Up (feat. Vamero)",VINAI,142165,https://open.spotify.com/track/46lyJh9GYmWsHez3EsvmAx
40,"Verdammt ich lieb' Dich","Mike Singer",141898,https://open.spotify.com/track/6PA5kMfB3Hbi7rFFKiRIf4
41,"Wenn sie ruft","Miksu / Macloud",140897,https://open.spotify.com/track/0O214XAfoQz8VVH83xpAjz
42,Habibi,"Ricky Rich",138150,https://open.spotify.com/track/0PukrHFus6hVBHku8hrS0Z
43,"Where The Lights Are Low","Toby Romeo",137828,https://open.spotify.com/track/0Cnb8XdGDMHAmIRBUJMkIS
44,Whoopty,CJ,134696,https://open.spotify.com/track/1t9WgS8FN0534tLBRwbaxO
45,"What’s Next",Drake,132892,https://open.spotify.com/track/3aQem4jVGdhtg116TmJnHz
46,"Offen / Geschlossen - Short Edit",Haftbefehl,122848,https://open.spotify.com/track/6nlHLcZKeEC1eWab79VX3w
47,"LE CRIME PAIE (feat. Ramo)",Veysel,122267,https://open.spotify.com/track/3xRdBZlbUOaXbPyVVJhOtu
48,"you broke me first","Tate McRae",121645,https://open.spotify.com/track/45bE4HXI0AwGZXfZtMp8JR
49,"PALE (feat. Dardan)",Kidda,121403,https://open.spotify.com/track/0KJKz1VuHL8A2JHvGiSGhD
50,"Faded Love",Leony,120959,https://open.spotify.com/track/3RcXFW8aiRYHRaDDYBqJ76
51,"ZEIT UND GELD",Capo,119520,https://open.spotify.com/track/1JviAd4kPSHUYZ8RCLNeYV
52,Meer,RIN,118853,https://open.spotify.com/track/3rQHGffq4FmBBykPn5YuKc
53,"Calling My Phone","Lil Tjay",117553,https://open.spotify.com/track/5Kskr9LcNYa0tpt5f0ZEJx
54,Frisch,01099,115742,https://open.spotify.com/track/2iKPlIQFubIq7tcK2MUMBp
55,Angst,"Apache 207",115306,https://open.spotify.com/track/5yUzqd3H7cmJ1no6B4uTzu
56,Subwoofer,"SHINSKY x DIMA",114837,https://open.spotify.com/track/5zPT86unoFaNP2J348n1p0
57,"No Comprendo",Jamule,109739,https://open.spotify.com/track/5ezbc8nalmV7JqLQQfHwTV
58,Afterglow,"Ed Sheeran",107351,https://open.spotify.com/track/0E4Y1XIbs8GrAT1YqVy6dq
59,"Lemonade (feat. Gunna, Don Toliver & NAV)","Internet Money",106473,https://open.spotify.com/track/7hxHWCCAIIxFLCzvDgnQHX
60,Verlierer,LUNA,105702,https://open.spotify.com/track/6ZklqpekeC0KFGzyFVjQuj
61,"Fuck Love",Samo104,105567,https://open.spotify.com/track/0HhifV2v8vcNC4I3gpnwf3
62,Hypnotized,"Purple Disco Machine",104747,https://open.spotify.com/track/0vWUhCPxpJOJR5urYbZypB
63,BED,"Joel Corry",101556,https://open.spotify.com/track/0siYMEsGrzzzlWLXK5zJfS
64,"Prisoner (feat. Dua Lipa)","Miley Cyrus",100823,https://open.spotify.com/track/2Oycxb8QbPkpHTo8ZrmG0B
65,Lonely,"Miksu / Macloud",99487,https://open.spotify.com/track/2YjkalYiseRDPYjpzLu8Vl
66,"The One","Rea Garvey",98795,https://open.spotify.com/track/6j0l7Hjt6qeDCQnYBZuJXY
67,"Keiner kann mich ficken!","187 Strassenbande",98727,https://open.spotify.com/track/7M4zWJmzuf8aZ2aEQUnzU3
68,Nesesari,"Kizz Daniel",95551,https://open.spotify.com/track/3YzhsBh8BRGxbMThPC3Ibw
69,"Heat Waves","Glass Animals",95464,https://open.spotify.com/track/02MWAaffLxlfxAUY7c5dvx
70,"ROCKSTAR (feat. Roddy Ricch)",DaBaby,95334,https://open.spotify.com/track/7ytR5pFWmSjzHJIeQkgog4
71,"Leave The Door Open","Bruno Mars",94746,https://open.spotify.com/track/7MAibcTli4IisCtbHKrGMh
72,SMS,Samra,93419,https://open.spotify.com/track/65WZOMvIcnObuLEEZvlksc
73,Hotel,CÉLINE,92657,https://open.spotify.com/track/3Ldae7O6YMFE7vxlTNocdQ
74,"Squad X Showtime","PA Sports",92251,https://open.spotify.com/track/7C5SKbJJGqS1AIE1Er3648
75,SugarCrash!,ElyOtto,91298,https://open.spotify.com/track/2ePtv8MlBO9nuuXABqAfEX
76,Unterwegs,KitschKrieg,89851,https://open.spotify.com/track/7mrWTjhYctgEQb0lJKrVWy
77,"Fly Away","Tones And I",89422,https://open.spotify.com/track/5ri4zqtWhG07hIuNNDWP76
78,"gebe auf.",Lune,89239,https://open.spotify.com/track/1upzszB5JxMfNUEBmkcgaO
79,"Der letzte Tanz",Bosse,87820,https://open.spotify.com/track/3JtIS5WNPJokeMeEVnWWEM
80,Bläulich,"Apache 207",87780,https://open.spotify.com/track/2WRTnY0slmFgWcrmEr8dPj
81,Up,"Cardi B",87370,https://open.spotify.com/track/1M4OcYkxAtu3ErzSgDEfoi
82,Airwaves,Pashanim,87083,https://open.spotify.com/track/5CqkgDH8QZjSqqI3HmYxDD
83,"Jerusalema (feat. Nomcebo Zikode)","Master KG",87061,https://open.spotify.com/track/2MlOUXmcofMackX3bxfSwi
84,"Roses - Imanbek Remix","SAINt JHN",87006,https://open.spotify.com/track/0zLCBJZSiELJf02ucPP9wb
85,telepatía,"Kali Uchis",84448,https://open.spotify.com/track/6tDDoYIxWvMLTdKpjFkc1B
86,"We're Good","Dua Lipa",83805,https://open.spotify.com/track/1diS6nkxMQc3wwC4G1j0bh
87,Lovefool,twocolors,83206,https://open.spotify.com/track/51Of5p3lKZeOg6itfs4og4
88,"alles verdient.",Lune,82811,https://open.spotify.com/track/5peMHz2nmhA7ZWjvtHpQse
89,Adé,"PA Sports",82354,https://open.spotify.com/track/67j00d0EkhOJ5G4g2o8yr3
90,"Wants and Needs (feat. Lil Baby)",Drake,82343,https://open.spotify.com/track/65OVbaJR5O1RmwOQx0875b
91,"Breaking Me",Topic,82246,https://open.spotify.com/track/3H7ihDc1dqLriiWXwsc2po
92,"One More Time (feat. Alida)","Robin Schulz",81379,https://open.spotify.com/track/2REu6wX4KKrG6uGlTKVqu6
93,Paradise,VIZE,81221,https://open.spotify.com/track/2qpZjutAe3pstQsjwSXQb4
94,"Cover Me In Sunshine",P!nk,81140,https://open.spotify.com/track/6Tio0ZoDeSQnI7EBAqWer2
95,Streets,"Doja Cat",80991,https://open.spotify.com/track/60ynsPSSKe6O3sfwRnIBRf
96,"Floating Through Space",Sia,80546,https://open.spotify.com/track/0XwSUpdrF7nR7hVxbDs7mb
97,Hell,"PA Sports",80342,https://open.spotify.com/track/1dhNH8RH5kT4tVKvOgaoDO
98,"Easy Peasy",FiNCH,80268,https://open.spotify.com/track/6bW4olKzz8M2BRYNU1ASUi
99,"2 Uhr nachts","Dante YN",78966,https://open.spotify.com/track/0jNR7y6nWhEf2gjy8pT8oG
100,"What You Know Bout Love","Pop Smoke",78813,https://open.spotify.com/track/1tkg4EHVoqnhR6iFEXb60y
101,Angeklagt,"Bonez MC",78260,https://open.spotify.com/track/5eu4Lxm5TlI0tKSTTDWJAT
102,"Savage Love (Laxed - Siren Beat)","Jawsh 685",77763,https://open.spotify.com/track/1xQ6trAsedVPCdbtDAmk0c
103,"Watermelon Sugar","Harry Styles",77575,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
104,"Never Let Me Down",VIZE,77352,https://open.spotify.com/track/5TGcyccg8Hkgn9jB7gUpMN
105,"Someone You Loved","Lewis Capaldi",76976,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
106,Elbe,Bozza,76137,https://open.spotify.com/track/2kvJnNMqnimkCZUUWjOINy
107,"coke light",Dardan,76043,https://open.spotify.com/track/31M6uFzb0yY2TjqfyuLU89
108,"Ich würd' lügen",KAYEF,75930,https://open.spotify.com/track/5T2RHnuyK2sa9R0pleO9yP
109,7,Ufo361,74775,https://open.spotify.com/track/3ipliatTDndCmnYGaNiAbI
110,Monet,Alligatoah,74548,https://open.spotify.com/track/2vS1HmVoOpvWeFKf7HnWdJ
111,"Dance Monkey","Tones And I",74460,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
112,HOLIDAY,"Lil Nas X",74054,https://open.spotify.com/track/6zFMeegAMYQo0mt8rXtrli
113,"Devil Eyes","Hippie Sabotage",74012,https://open.spotify.com/track/7MiZjKawmXTsTNePyTfPyL
114,Paradies,Gzuz,73629,https://open.spotify.com/track/6qNLO4HzHeVvHxTaCFMXrf
115,"Goosebumps - Remix","Travis Scott",71631,https://open.spotify.com/track/5uEYRdEIh9Bo4fpjDd4Na9
116,Dynamite,BTS,70364,https://open.spotify.com/track/4saklk6nie3yiGePpBwUoc
117,Fame,"Apache 207",70294,https://open.spotify.com/track/0QjjaCaXE45mvhCnV3C0TA
118,"Weisst wie es ist",Bausa,69428,https://open.spotify.com/track/2Roj3Kvhy5BCjkSSJ2Q3Nz
119,"In meinem Benz","AK AUSSERKONTROLLE",69208,https://open.spotify.com/track/3dy7SaVShdnjwtx9IXhtzg
120,"Star Shopping","Lil Peep",68824,https://open.spotify.com/track/30bqVoKjX479ab90a8Pafp
121,"I Need You To Hate Me","JC Stewart",68683,https://open.spotify.com/track/1zY6ekSJ8VI6tZ6nBqoo7g
122,"Can't Hold Us (feat. Ray Dalton)","Macklemore & Ryan Lewis",68218,https://open.spotify.com/track/3bidbhpOYeV4knp8AIu8Xn
123,Habibi,Casar,68171,https://open.spotify.com/track/5wvuvSerLcNK5Xc8v2duWn
124,"Lucid Dreams","Juice WRLD",67939,https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR
125,Control,"Zoe Wees",67852,https://open.spotify.com/track/50Td3qilgs8BLtv8mHyT1t
126,Robbery,"Juice WRLD",66440,https://open.spotify.com/track/6Hj9jySrnFppAI0sEMCZpJ
127,Übermorgen,"Mark Forster",66420,https://open.spotify.com/track/1NP7bzm8UksJUWXsuFoOwE
128,"In the End","Linkin Park",66241,https://open.spotify.com/track/60a0Rd6pjrkxjPbaKzXjfq
129,"Heartbreak Anniversary",Giveon,65895,https://open.spotify.com/track/3FAJ6O0NOHQV8Mc5Ri6ENp
130,Hoodnights,BHZ,65845,https://open.spotify.com/track/5HxG2PTsxxGu0sfCKJjdc0
131,"Bayrisch Drip",Sääftig,65490,https://open.spotify.com/track/3ECbHfRSFMjfm99YFvAD4x
132,110,"Capital Bra",65436,https://open.spotify.com/track/67ojvEGRPAUCOohuMPqoRC
133,"Sweater Weather","The Neighbourhood",64883,https://open.spotify.com/track/2QjOHCTQ1Jl3zawyYOpxh6
134,"Bist du Okay","Mark Forster",64796,https://open.spotify.com/track/1O2gOblgfyostGPbLzqghY
135,"Latest Trends","A1 x J1",64732,https://open.spotify.com/track/7pnQ23WgZca9jEfMts9qsR
136,"Levitating (feat. DaBaby)","Dua Lipa",64482,https://open.spotify.com/track/5nujrmhLynf4yMoMtj8AQF
137,"Vermissen (feat. Henning May)",Juju,64299,https://open.spotify.com/track/07f2b3CTdgKKlhv0mqUksz
138,"Close Your Eyes","Felix Jaehn",64016,https://open.spotify.com/track/7N06jo3EnV792VFaG8vuW6
139,"Take You Dancing","Jason Derulo",63854,https://open.spotify.com/track/59qrUpoplZxbIZxk6X0Bm3
140,"On The Ground",ROSÉ,63642,https://open.spotify.com/track/2pn8dNVSpYnAtlKFC8Q0DJ
141,Anyone,"Justin Bieber",63624,https://open.spotify.com/track/31qCy5ZaophVA81wtlwLc4
142,2002,Sido,63412,https://open.spotify.com/track/2u8AXJyk8pICzj2wyPBL0b
143,"Someone To You",BANNERS,63133,https://open.spotify.com/track/2f0pn9DkEJwAzXApnFh5cr
144,Dior,"Pop Smoke",62672,https://open.spotify.com/track/79s5XnCN4TJKTVMSmOx8Ep
145,"Another Love","Tom Odell",62564,https://open.spotify.com/track/7jtQIBanIiJOMS6RyCx6jZ
146,2012,Bausa,62224,https://open.spotify.com/track/21MvQ9CmXf9QlWMSnnsOev
147,"Kings & Queens","Ava Max",61858,https://open.spotify.com/track/7a53HqqArd4b9NF4XAmlbI
148,"HIGHWAY (feat. ELIF)","Katja Krasavice",61680,https://open.spotify.com/track/6QVxJg8q95hEuPgNRb56jK
149,"Love Again (feat. Alida)",Alok,61669,https://open.spotify.com/track/63bWXWGcWnRQvdS8bJWdkB
150,"Lemon Pepper Freestyle (feat. Rick Ross)",Drake,61598,https://open.spotify.com/track/4FRW5Nza1Ym91BGV4nFWXI
151,"Paper Loving","Christopher Martin",61203,https://open.spotify.com/track/0FBgQ1eevuO0NP8Nm4wjiy
152,"Tiefschwarz (feat. Samra)","Kontra K",61128,https://open.spotify.com/track/7jMMoHhgq6iwVT5ykyxsJt
153,"Follow You","Imagine Dragons",61088,https://open.spotify.com/track/7FdUvDkaE24o3FPIWTvzv2
154,"Hello (feat. A Boogie Wit da Hoodie)","Pop Smoke",61081,https://open.spotify.com/track/2r6OAV3WsYtXuXjvJ1lIDi
155,"Baila Conmigo (with Rauw Alejandro)","Selena Gomez",61025,https://open.spotify.com/track/079Ey5uxL04AKPQgVQwx5h
156,"7 Stunden",LEA,60743,https://open.spotify.com/track/1EbdQ54jFLGEH94cUif3TI
157,"200 km/h","Apache 207",60260,https://open.spotify.com/track/2PGA1AsJal6cyMNmKyE56q
158,"Best of Us",WIER,60012,https://open.spotify.com/track/5DhcEJWVdkPNkJUVnbiUKo
159,"For The Night (feat. Lil Baby & DaBaby)","Pop Smoke",59564,https://open.spotify.com/track/0PvFJmanyNQMseIFrU708S
