,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,10von10,Pajel,489077,https://open.spotify.com/track/1sa59Q9urE82MD3ELi44HN
2,2CB,"RAF Camora",481127,https://open.spotify.com/track/2r9gIpt17PhZv0y2nCpFHC
3,"STAY (with Justin Bieber)","The Kid LAROI",480652,https://open.spotify.com/track/5PjdY0CKGZdEuoNab3yDmX
4,"Auf & Ab",Montez,478275,https://open.spotify.com/track/0RSZ8EmUPEN3ySfCgytPke
5,"Heat Waves","Glass Animals",440309,https://open.spotify.com/track/02MWAaffLxlfxAUY7c5dvx
6,"Where Are You Now","Lost Frequencies",386555,https://open.spotify.com/track/3uUuGVFu1V7jTQL60S1r8z
7,Shivers,"Ed Sheeran",350553,https://open.spotify.com/track/75MNhvTCCKsST3YqqUiU9r
8,"INDUSTRY BABY (feat. Jack Harlow)","Lil Nas X",348532,https://open.spotify.com/track/5Z9KJZvQzH6PFmb8SNkxuk
9,"Blaues Licht","RAF Camora",335350,https://open.spotify.com/track/08EPQiLMyGB8GJX2EiVoCM
10,OZEAN,KALIM,328691,https://open.spotify.com/track/3vQqFgN3bhO1Lim4yXzmi5
11,"Belgisches Viertel",ART,316163,https://open.spotify.com/track/1h3d2lvISrSIV6fS89U51S
12,Polizei,"KC Rebell",309113,https://open.spotify.com/track/21nMasJVN7cJ9gxtxUEPsu
13,"Bad Habits","Ed Sheeran",304112,https://open.spotify.com/track/6PQ88X9TkUIAUIZJHW2upE
14,"Gut im Geschäft","AK AUSSERKONTROLLE",285903,https://open.spotify.com/track/7yLsJKvUGkfjg8gkXSJhDF
15,Sommergewitter,Pashanim,267543,https://open.spotify.com/track/2H7jZg2HliuQhZjfBblLrZ
16,"THATS WHAT I WANT","Lil Nas X",242364,https://open.spotify.com/track/0e8nrvls4Qqv5Rfa2UhqmO
17,"Wenn du mich siehst","RAF Camora",241465,https://open.spotify.com/track/3AVC5l5wCEALuj4tg02uIL
18,"Love Tonight - Edit",Shouse,233364,https://open.spotify.com/track/6OufwUcCqo81guU2jAlDVP
19,Woman,"Doja Cat",226454,https://open.spotify.com/track/6Uj1ctrBOjOas8xZXGqKk4
20,Beggin',Måneskin,218496,https://open.spotify.com/track/3Wrjm47oTz2sjIgck11l5e
21,Crashen,t-low,210427,https://open.spotify.com/track/5STeQZH1Ahz3h0X9Njaij7
22,"OUT OUT (feat. Charli XCX & Saweetie)","Joel Corry",209057,https://open.spotify.com/track/6Dy1jexKYriXAVG6evyUTJ
23,"good 4 u","Olivia Rodrigo",203257,https://open.spotify.com/track/4ZtFanR9U6ndgddUvNcjcG
24,"Sterne unterm Dach",badmómzjay,189158,https://open.spotify.com/track/1edUWAS1x66v10yguQ6qkO
25,"MONTERO (Call Me By Your Name)","Lil Nas X",185959,https://open.spotify.com/track/1SC5rEoYDGUK4NfG82494W
