,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Auf & Ab",Montez,739474,https://open.spotify.com/track/0RSZ8EmUPEN3ySfCgytPke
2,"STAY (with Justin Bieber)","The Kid LAROI",667409,https://open.spotify.com/track/5PjdY0CKGZdEuoNab3yDmX
3,"Blaues Licht","RAF Camora",568571,https://open.spotify.com/track/08EPQiLMyGB8GJX2EiVoCM
4,Sommergewitter,Pashanim,464544,https://open.spotify.com/track/2H7jZg2HliuQhZjfBblLrZ
5,"Bad Habits","Ed Sheeran",450969,https://open.spotify.com/track/6PQ88X9TkUIAUIZJHW2upE
6,Beggin',Måneskin,384079,https://open.spotify.com/track/3Wrjm47oTz2sjIgck11l5e
7,"Love Tonight - Edit",Shouse,329785,https://open.spotify.com/track/6OufwUcCqo81guU2jAlDVP
8,"good 4 u","Olivia Rodrigo",300682,https://open.spotify.com/track/4ZtFanR9U6ndgddUvNcjcG
9,"INDUSTRY BABY (feat. Jack Harlow)","Lil Nas X",296193,https://open.spotify.com/track/27NovPIUIRrOZoCHxABJwK
10,"I WANNA BE YOUR SLAVE",Måneskin,287113,https://open.spotify.com/track/4pt5fDVTg5GhEvEtlz9dKk
11,"CLOUD 7",Dardan,279549,https://open.spotify.com/track/7ksQkf6p0rF9CoDhxoePKn
12,"HAB NUR EINE BITTE.",Lune,246899,https://open.spotify.com/track/6gSXG57Sp2BmdEXMCopTIF
13,"Because You Move Me",Tinlicker,225639,https://open.spotify.com/track/05GvwwTLLID738BbKN1ze0
14,"Lieben wir","Shirin David",207669,https://open.spotify.com/track/49gzU1IS1B6P3GATSZ5eCE
15,"Happier Than Ever","Billie Eilish",206173,https://open.spotify.com/track/4RVwu0g32PAqgUiJoXsdF8
16,Flip$,Ufo361,199775,https://open.spotify.com/track/57anOp5t26naVNWzZuhdcl
17,"Filet Mignon","KC Rebell",199765,https://open.spotify.com/track/2ppyU1JWnDDYd6jV98swkI
18,"Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit",Riton,199209,https://open.spotify.com/track/4cG7HUWYHBV6R6tHn1gxrl
19,"MONTERO (Call Me By Your Name)","Lil Nas X",196090,https://open.spotify.com/track/67BtfxlNbhBmCDR2L2l8qd
20,"Wenn ich geh",Jamule,188734,https://open.spotify.com/track/7bs43GIqBJY9V6lCQEVSep
21,"Take My Breath - Single Version","The Weeknd",179020,https://open.spotify.com/track/6OGogr19zPTM4BALXuMQpF
22,Durstlöscher,01099,178893,https://open.spotify.com/track/51S7lhJk6AHiFg0PhJupfz
23,Zukunft,"RAF Camora",178193,https://open.spotify.com/track/34tKBUUl8bAeqex8i82Z0L
24,SCHMETTERLING,Luciano,177205,https://open.spotify.com/track/3gUVLJZ0JoGRuoRNUCIYsI
25,"King Kong",HBz,168840,https://open.spotify.com/track/7GIlBNE6pZRfoRfo4oL7f0
26,"Heat Waves","Glass Animals",160402,https://open.spotify.com/track/02MWAaffLxlfxAUY7c5dvx
27,"Iko Iko (My Bestie)","Justin Wellington",159124,https://open.spotify.com/track/7MC4XR9M9amdmKQr2iDF7i
28,"Nice To Meet Ya (feat. Yxng Bane)","Wes Nelson",157796,https://open.spotify.com/track/1YHjRAptXqPdsdx3g6FNJL
29,"Liege wieder wach",Jamule,157614,https://open.spotify.com/track/2knDuFWczh1Wv92eBAdPTa
30,"Pink Panther 2 (feat. DJ Desue)",GRiNGO,156557,https://open.spotify.com/track/5GiQTKvSDlkLXJBPZ5zwyL
31,"Ich darf das","Shirin David",154660,https://open.spotify.com/track/4txsSBdT4yVJtUj41YaQEB
32,"Love Tonight - David Guetta Remix Edit",Shouse,149753,https://open.spotify.com/track/2prnn41CblB8B4yWACDljP
33,Schwarz,LEA,147479,https://open.spotify.com/track/0XpTuvT4Yueddiv20w6M9a
34,Crashen,t-low,146790,https://open.spotify.com/track/5STeQZH1Ahz3h0X9Njaij7
35,"HEB AB 2","Azzi Memo",144991,https://open.spotify.com/track/4MR5RbDYt0uJJEtQwvdv1D
36,Run,OneRepublic,144702,https://open.spotify.com/track/2UbVnbE5FH6008mAm6Mmgw
37,"61 Grad",Endzone,143963,https://open.spotify.com/track/5Z7J2Au61uO7K1ZPNG1eTv
38,"Vamos a Marte (feat. Luis Fonsi)","Helene Fischer",143179,https://open.spotify.com/track/06sSAsjNx4eJawyXY3SXgB
39,Colorado,"Milky Chance",140430,https://open.spotify.com/track/0eZmBWVC1HYayrP2fqQ7nu
40,"Ramenez la coupe à la maison",Vegedream,138945,https://open.spotify.com/track/1m0UFnuTktOkksvjbF9z0m
41,"Levitating (feat. DaBaby)","Dua Lipa",134698,https://open.spotify.com/track/5nujrmhLynf4yMoMtj8AQF
42,"Following the Sun",SUPER-Hi,134302,https://open.spotify.com/track/2sFbdDiEDpyCdP5nUCuGBm
43,Madonna,Bausa,132589,https://open.spotify.com/track/6a3kNt1UlUOapDKmEr3JzZ
44,"Your Love (9PM)",ATB,130801,https://open.spotify.com/track/5YaskwnGDZFDRipaqzbwQx
45,Frisch,01099,128102,https://open.spotify.com/track/7toCqux0Ln42OttYYyds4k
46,"Wasted Love (feat. Lagique)",Ofenbach,126722,https://open.spotify.com/track/2pPO9YecZimmuVQfIzfV6U
47,Redlight,Glockenbach,126413,https://open.spotify.com/track/24osWl0SQSyHzGyEMdf394
48,"The Business",Tiësto,125653,https://open.spotify.com/track/6f3Slt0GbA2bPZlz0aIFXN
49,Extasy,"187 Strassenbande",123276,https://open.spotify.com/track/79lc69ZXfL4WmJIzVSDmWT
50,Woman,"Doja Cat",119751,https://open.spotify.com/track/6Uj1ctrBOjOas8xZXGqKk4
51,"Nese Don",Loredana,116967,https://open.spotify.com/track/6ZVpk9bSJGebJJzJmMocua
52,"Für dich (feat. ille & MABU)",lityway,115360,https://open.spotify.com/track/2e9SUhfqprCWCWNXcZNjxP
53,"Need to Know","Doja Cat",115091,https://open.spotify.com/track/3Vi5XqYrmQgOYBajMWSvCi
54,GHETTOGIRL,Capo,109802,https://open.spotify.com/track/0G5x5rALxKOkwicMjKta79
55,"Frag mich nicht","Miksu / Macloud",108737,https://open.spotify.com/track/5ZIFzmhVJRO3tRwtBXrPXh
