,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,Beggin',Måneskin,531929,https://open.spotify.com/track/3Wrjm47oTz2sjIgck11l5e
2,"good 4 u","Olivia Rodrigo",489165,https://open.spotify.com/track/4ZtFanR9U6ndgddUvNcjcG
3,SCHMETTERLING,Luciano,459602,https://open.spotify.com/track/0it0PhmH2Tq2Xl5o49pdMo
4,"I WANNA BE YOUR SLAVE",Måneskin,446432,https://open.spotify.com/track/4pt5fDVTg5GhEvEtlz9dKk
5,"Ramenez la coupe à la maison",Vegedream,314928,https://open.spotify.com/track/1m0UFnuTktOkksvjbF9z0m
6,"Nice To Meet Ya (feat. Yxng Bane)","Wes Nelson",314452,https://open.spotify.com/track/1YHjRAptXqPdsdx3g6FNJL
7,"MONTERO (Call Me By Your Name)","Lil Nas X",281002,https://open.spotify.com/track/67BtfxlNbhBmCDR2L2l8qd
8,"Liege wieder wach",Jamule,274283,https://open.spotify.com/track/2knDuFWczh1Wv92eBAdPTa
9,"Ich darf das","Shirin David",264394,https://open.spotify.com/track/4txsSBdT4yVJtUj41YaQEB
10,"Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit",Riton,254309,https://open.spotify.com/track/4cG7HUWYHBV6R6tHn1gxrl
11,GHETTOGIRL,Capo,252891,https://open.spotify.com/track/3idbCPumlga23rxFA08fZE
12,Shawty,"PA Sports",238698,https://open.spotify.com/track/3quQYEq6YMZmSmHpc2UKkc
13,Durstlöscher,01099,230364,https://open.spotify.com/track/51S7lhJk6AHiFg0PhJupfz
14,Extasy,"187 Strassenbande",220600,https://open.spotify.com/track/79lc69ZXfL4WmJIzVSDmWT
15,Dinero,"Trinidad Cardona",215294,https://open.spotify.com/track/3ggtU1ZOKO8ZNiqPNyXGcm
16,"Drink Ist Kalt",BHZ,196754,https://open.spotify.com/track/4rewc9tTT02T7Tfxpd0mo4
17,"Iko Iko (My Bestie)","Justin Wellington",193916,https://open.spotify.com/track/7MC4XR9M9amdmKQr2iDF7i
18,Rosenkrieg,Loredana,187315,https://open.spotify.com/track/6DiaHETMcKdX7FwuGXwp1O
19,"Levitating (feat. DaBaby)","Dua Lipa",185619,https://open.spotify.com/track/5nujrmhLynf4yMoMtj8AQF
20,Madonna,Bausa,184739,https://open.spotify.com/track/6a3kNt1UlUOapDKmEr3JzZ
21,"BLESSED (feat. Capital Bra)",CRO,184208,https://open.spotify.com/track/28tBoBognmn3BBdfjPzSw9
22,Autotür,FOURTY,184160,https://open.spotify.com/track/6w3L8n7b9Y1dZ8JU1tHdzu
23,"ZITTI E BUONI",Måneskin,177196,https://open.spotify.com/track/776AftMmFFAWUIEAb3lHhw
24,"Frag mich nicht","Miksu / Macloud",170049,https://open.spotify.com/track/5ZIFzmhVJRO3tRwtBXrPXh
25,"Astronaut In The Ocean","Masked Wolf",165281,https://open.spotify.com/track/0BGwAKW4u8kWOhWFflZxfl
26,Sommer,"Beatzarre & Djorkaeff",164866,https://open.spotify.com/track/3sqZwhR5UFmHAh1KLXGOgq
27,"Your Love (9PM)",ATB,163582,https://open.spotify.com/track/5YaskwnGDZFDRipaqzbwQx
28,"Cover Me In Sunshine",P!nk,162975,https://open.spotify.com/track/0UKUfxIkDAMZz7hMdiVX3m
29,"Peaches (feat. Daniel Caesar & Giveon)","Justin Bieber",161654,https://open.spotify.com/track/4iJyoBOLtHqaGxP12qzhQI
30,Frisch,01099,158406,https://open.spotify.com/track/7toCqux0Ln42OttYYyds4k
31,Rotlichtsonate,Kollegah,157967,https://open.spotify.com/track/1wxnA0kd9ywcsxG2YABWwm
32,"The Business",Tiësto,153713,https://open.spotify.com/track/6f3Slt0GbA2bPZlz0aIFXN
33,"Wellerman - Sea Shanty / 220 KID x Billen Ted Remix","Nathan Evans",152490,https://open.spotify.com/track/3iw6V4LH7yPj1ESORX9RIN
34,"Wasted Love (feat. Lagique)",Ofenbach,150935,https://open.spotify.com/track/2pPO9YecZimmuVQfIzfV6U
35,Redlight,Glockenbach,150323,https://open.spotify.com/track/24osWl0SQSyHzGyEMdf394
36,Rasputin,Majestic,147822,https://open.spotify.com/track/0b18g3G5spr4ZCkz7Y6Q0Q
