,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Heat Waves","Glass Animals",478782,https://open.spotify.com/track/02MWAaffLxlfxAUY7c5dvx
2,"Easy On Me",Adele,467025,https://open.spotify.com/track/0gplL1WMoJ6iYaPgMCL0gX
3,"Normal für mich",Jamule,449934,https://open.spotify.com/track/4KNeXUjINFJmLceS4KUYGa
4,Späti,Gzuz,438712,https://open.spotify.com/track/1S4Ehm8b7O4n9lIy3uAMS1
5,Shivers,"Ed Sheeran",435277,https://open.spotify.com/track/75MNhvTCCKsST3YqqUiU9r
6,"Where Are You Now","Lost Frequencies",422946,https://open.spotify.com/track/3uUuGVFu1V7jTQL60S1r8z
7,"STAY (with Justin Bieber)","The Kid LAROI",409635,https://open.spotify.com/track/5PjdY0CKGZdEuoNab3yDmX
8,"Auf & Ab",Montez,360068,https://open.spotify.com/track/0RSZ8EmUPEN3ySfCgytPke
9,FYM,RIN,355976,https://open.spotify.com/track/0e5N4nfdmFiPvdXuEIqxx5
10,Pepas,Farruko,321244,https://open.spotify.com/track/2B4GHvToeLTOBB4QLzW3Ni
11,MONEY,LISA,319748,https://open.spotify.com/track/7hU3IHwjX150XLoTVmjD0q
12,10von10,Pajel,317379,https://open.spotify.com/track/1sa59Q9urE82MD3ELi44HN
13,"Belgisches Viertel",ART,312569,https://open.spotify.com/track/1h3d2lvISrSIV6fS89U51S
14,"INDUSTRY BABY (feat. Jack Harlow)","Lil Nas X",312538,https://open.spotify.com/track/5Z9KJZvQzH6PFmb8SNkxuk
15,"Moth To A Flame (with The Weeknd)","Swedish House Mafia",305611,https://open.spotify.com/track/2gpWyfu7eZ01zzncHpxOtA
16,"Dies & Das",01099,303988,https://open.spotify.com/track/5GzBVGr752l5qcGo2ZBNoS
17,Mosaik,"kid kapri",295758,https://open.spotify.com/track/3x9fMzoAPNxEFVrP6kU1f7
18,"Cold Heart - PNAU Remix","Elton John",286804,https://open.spotify.com/track/7rglLriMNBPAyuJOMGwi39
19,Guapa,"RAF Camora",284272,https://open.spotify.com/track/5FsV0biZgb8tmQtau5LxKz
20,"Per Ty (feat. Mozzik)",Dardan,281170,https://open.spotify.com/track/1KwLkHOnyWedxyhZBOIHUM
21,"Happy End (feat. Sido)","Vanessa Mai",280089,https://open.spotify.com/track/1YRaS0rNK8y9E5NeTrKe03
22,"Blaues Licht","RAF Camora",278017,https://open.spotify.com/track/08EPQiLMyGB8GJX2EiVoCM
23,"Bad Habits","Ed Sheeran",277691,https://open.spotify.com/track/6PQ88X9TkUIAUIZJHW2upE
24,"NUR AUS PRINZIP",Veysel,264052,https://open.spotify.com/track/3RaGnI3zmPUElLfNcl3W56
25,"Ich bin weg - BoroBoro",Samra,251259,https://open.spotify.com/track/1f6Paz0Vf1CPhcNDs1vMyR
26,Vodka,"Apache 207",244720,https://open.spotify.com/track/5axqVsveGtmOkq7H1wV3c0
27,2CB,"RAF Camora",243330,https://open.spotify.com/track/2r9gIpt17PhZv0y2nCpFHC
28,"Love Tonight - Edit",Shouse,230815,https://open.spotify.com/track/6OufwUcCqo81guU2jAlDVP
29,Trapstar,"Dante YN",229509,https://open.spotify.com/track/5KZ5thdA04hdkJm1CZwSxY
30,Acapulco,"Jason Derulo",226153,https://open.spotify.com/track/3eJH2nAjvNXdmPfBkALiPZ
31,Sommergewitter,Pashanim,226005,https://open.spotify.com/track/2H7jZg2HliuQhZjfBblLrZ
32,Mond,Montez,221767,https://open.spotify.com/track/7ucTEwb8eRMpRlA744gjOo
33,"Moje Sve",Hava,221630,https://open.spotify.com/track/1LBWVVGfTCr8EYNSd92W81
34,"OUT OUT (feat. Charli XCX & Saweetie)","Joel Corry",217423,https://open.spotify.com/track/6Dy1jexKYriXAVG6evyUTJ
35,"love nwantiti (ah ah ah)",CKay,201826,https://open.spotify.com/track/2Xr1dTzJee307rmrkt8c0g
36,"THATS WHAT I WANT","Lil Nas X",198427,https://open.spotify.com/track/0e8nrvls4Qqv5Rfa2UhqmO
37,"Friendships (Lost My Love)","Pascal Letoublon",195629,https://open.spotify.com/track/0lQ2obtzmAsJu9xk3D6FqH
38,"good 4 u","Olivia Rodrigo",194997,https://open.spotify.com/track/4ZtFanR9U6ndgddUvNcjcG
39,Infinity,"Jaymes Young",193901,https://open.spotify.com/track/1SOClUWhOi8vHZYMz3GluK
40,Woman,"Doja Cat",192214,https://open.spotify.com/track/6Uj1ctrBOjOas8xZXGqKk4
41,"Because You Move Me",Tinlicker,191361,https://open.spotify.com/track/1F80MEkZA9yTlpMQp9dhht
42,Beggin',Måneskin,188468,https://open.spotify.com/track/3Wrjm47oTz2sjIgck11l5e
43,"Pull Up - Remix",Isong,185810,https://open.spotify.com/track/6k3LXWgmucXyPHU4C0BfOU
44,Colorado,"Milky Chance",180277,https://open.spotify.com/track/0eZmBWVC1HYayrP2fqQ7nu
45,"My Universe",Coldplay,180256,https://open.spotify.com/track/46HNZY1i7O6jwTA7Slo2PI
46,"love nwantiti (feat. Dj Yo! & AX'EL) - Remix",CKay,178930,https://open.spotify.com/track/4gvrJnKCKIPiacNsWVQwEU
47,"Immer Echter",Kurdo,174091,https://open.spotify.com/track/7CgS5P02ZSXKywalTfvlql
48,"Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit",Riton,171928,https://open.spotify.com/track/4cG7HUWYHBV6R6tHn1gxrl
49,"Life Goes On","Oliver Tree",167017,https://open.spotify.com/track/0eu4C55hL6x29mmeAjytzC
50,"In Da Getto","J Balvin",163408,https://open.spotify.com/track/1q0PYXTbDsirp2l74ng6pn
51,"Wenn du mich siehst","RAF Camora",161168,https://open.spotify.com/track/3AVC5l5wCEALuj4tg02uIL
52,Crashen,t-low,160613,https://open.spotify.com/track/5STeQZH1Ahz3h0X9Njaij7
53,"Baby 2.0",Zuna,158350,https://open.spotify.com/track/4mc0wGvP83zeFlhuatdyXM
54,BLUEPRINT,KALIM,156893,https://open.spotify.com/track/70PzQc4vr6iLKa2z2IZ9l0
55,"MONTERO (Call Me By Your Name)","Lil Nas X",152327,https://open.spotify.com/track/1SC5rEoYDGUK4NfG82494W
56,"I WANNA BE YOUR SLAVE",Måneskin,149512,https://open.spotify.com/track/4pt5fDVTg5GhEvEtlz9dKk
57,"Gib ihr Flex",NGEE,148025,https://open.spotify.com/track/58e1uwNJd1b3cm93KruQjo
58,"LADE DIE AK","18 Karat",145581,https://open.spotify.com/track/5FMEyzKHBfCtwUO52mk2l7
59,"Wenn Du mich lässt",LEA,140367,https://open.spotify.com/track/6Ey7KSTV0Zx0fnxOw6bdK8
60,"Never Going Home",Kungs,134333,https://open.spotify.com/track/0xfMlIW8lS40qvpsUw1l0X
61,"DOLLARS & ISYANS (feat. BILLA JOE)","Scorpion Gang",128526,https://open.spotify.com/track/2TtnAY1oHYA7UTh4FQIEBm
62,Dynamite,"Sean Paul",119040,https://open.spotify.com/track/0fQfJFfngYfG26560HLMLN
63,"Take My Breath - Single Version","The Weeknd",117024,https://open.spotify.com/track/6M3PsepEj5gyJoIi7Xvr7u
64,RAFFAELO,BOJAN,116401,https://open.spotify.com/track/0DCzcpbdO1tMMlRRQ1txZy
65,Fair,Nura,115922,https://open.spotify.com/track/3uSWJuI3SGbn2HGKrhM3Mn
66,Durstlöscher,01099,115048,https://open.spotify.com/track/51S7lhJk6AHiFg0PhJupfz
67,u.,niteboi,113754,https://open.spotify.com/track/0J7oHYxjF6Oln61wy0kP2i
68,"Vergesse nie die Street","RAF Camora",113275,https://open.spotify.com/track/3ZDXLSUZpKx8pspNBOdVr5
69,Roller,"Apache 207",113266,https://open.spotify.com/track/6hw1Sy9wZ8UCxYGdpKrU6M
70,"King Kong",HBz,113081,https://open.spotify.com/track/7GIlBNE6pZRfoRfo4oL7f0
