,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"STAY (with Justin Bieber)","The Kid LAROI",492218,https://open.spotify.com/track/5PjdY0CKGZdEuoNab3yDmX
2,"Auf & Ab",Montez,472908,https://open.spotify.com/track/0RSZ8EmUPEN3ySfCgytPke
3,"Heat Waves","Glass Animals",456685,https://open.spotify.com/track/02MWAaffLxlfxAUY7c5dvx
4,10von10,Pajel,450871,https://open.spotify.com/track/1sa59Q9urE82MD3ELi44HN
5,2CB,"RAF Camora",421572,https://open.spotify.com/track/2r9gIpt17PhZv0y2nCpFHC
6,"Where Are You Now","Lost Frequencies",401161,https://open.spotify.com/track/3uUuGVFu1V7jTQL60S1r8z
7,Shivers,"Ed Sheeran",366993,https://open.spotify.com/track/75MNhvTCCKsST3YqqUiU9r
8,"Blaues Licht","RAF Camora",346093,https://open.spotify.com/track/08EPQiLMyGB8GJX2EiVoCM
9,"INDUSTRY BABY (feat. Jack Harlow)","Lil Nas X",343880,https://open.spotify.com/track/5Z9KJZvQzH6PFmb8SNkxuk
10,"Belgisches Viertel",ART,338977,https://open.spotify.com/track/1h3d2lvISrSIV6fS89U51S
11,"Bad Habits","Ed Sheeran",323521,https://open.spotify.com/track/6PQ88X9TkUIAUIZJHW2upE
12,OZEAN,KALIM,277177,https://open.spotify.com/track/3vQqFgN3bhO1Lim4yXzmi5
13,Sommergewitter,Pashanim,276282,https://open.spotify.com/track/2H7jZg2HliuQhZjfBblLrZ
14,Polizei,"KC Rebell",245355,https://open.spotify.com/track/21nMasJVN7cJ9gxtxUEPsu
15,"THATS WHAT I WANT","Lil Nas X",240736,https://open.spotify.com/track/0e8nrvls4Qqv5Rfa2UhqmO
16,"Love Tonight - Edit",Shouse,239611,https://open.spotify.com/track/6OufwUcCqo81guU2jAlDVP
17,"Wenn du mich siehst","RAF Camora",235899,https://open.spotify.com/track/3AVC5l5wCEALuj4tg02uIL
18,Woman,"Doja Cat",231652,https://open.spotify.com/track/6Uj1ctrBOjOas8xZXGqKk4
19,"Gut im Geschäft","AK AUSSERKONTROLLE",229390,https://open.spotify.com/track/7yLsJKvUGkfjg8gkXSJhDF
20,Beggin',Måneskin,228686,https://open.spotify.com/track/3Wrjm47oTz2sjIgck11l5e
21,"OUT OUT (feat. Charli XCX & Saweetie)","Joel Corry",222018,https://open.spotify.com/track/6Dy1jexKYriXAVG6evyUTJ
22,"good 4 u","Olivia Rodrigo",214608,https://open.spotify.com/track/4ZtFanR9U6ndgddUvNcjcG
23,Crashen,t-low,213624,https://open.spotify.com/track/5STeQZH1Ahz3h0X9Njaij7
24,"I WANNA BE YOUR SLAVE",Måneskin,195944,https://open.spotify.com/track/4pt5fDVTg5GhEvEtlz9dKk
25,"Because You Move Me",Tinlicker,194136,https://open.spotify.com/track/1F80MEkZA9yTlpMQp9dhht
26,"Sterne unterm Dach",badmómzjay,184913,https://open.spotify.com/track/1edUWAS1x66v10yguQ6qkO
27,"Wenn Du mich lässt",LEA,181583,https://open.spotify.com/track/6Ey7KSTV0Zx0fnxOw6bdK8
28,"MONTERO (Call Me By Your Name)","Lil Nas X",180342,https://open.spotify.com/track/1SC5rEoYDGUK4NfG82494W
29,"love nwantiti (feat. ElGrande Toto) - North African Remix",CKay,178006,https://open.spotify.com/track/1EYeZGTMCjV7uVey5fNWXM
