,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,Madonna,Bausa,474281,https://open.spotify.com/track/6a3kNt1UlUOapDKmEr3JzZ
2,"Wellerman - Sea Shanty / 220 KID x Billen Ted Remix","Nathan Evans",365574,https://open.spotify.com/track/3iw6V4LH7yPj1ESORX9RIN
3,"Astronaut In The Ocean","Masked Wolf",356692,https://open.spotify.com/track/3VT8hOC5vuDXBsHrR53WFh
4,"Ohne Dich",KASIMIR1441,331763,https://open.spotify.com/track/4hSJUp6k7QeHLxU32MrLIU
5,PEPPERMINT,Luciano,283081,https://open.spotify.com/track/6V1lWr7s8CO5VkxXe4hBtg
6,"Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit",Riton,279846,https://open.spotify.com/track/4cG7HUWYHBV6R6tHn1gxrl
7,"The Business",Tiësto,273988,https://open.spotify.com/track/6f3Slt0GbA2bPZlz0aIFXN
8,Doublecup,"PA Sports",270206,https://open.spotify.com/track/0tcWtn95oGyM1OElWWos4q
9,"Your Love (9PM)",ATB,258633,https://open.spotify.com/track/5YaskwnGDZFDRipaqzbwQx
10,Ordentlich,t-low,250936,https://open.spotify.com/track/4DnHEa1fuf3bn61AwT8Qiv
11,"Niemand bringt Marten um",Marteria,247916,https://open.spotify.com/track/0nYSnbFVX5ghrERjwVZgwZ
12,"Save Your Tears","The Weeknd",237667,https://open.spotify.com/track/5QO79kh1waicV47BqGRL3g
13,"WITHOUT YOU","The Kid LAROI",234981,https://open.spotify.com/track/27OeeYzk6klgBh83TSvGMA
14,"drivers license","Olivia Rodrigo",230576,https://open.spotify.com/track/7lPN2DXiMsVn7XUKtOW1CS
15,"Girls Like Us","Zoe Wees",220562,https://open.spotify.com/track/5SFXOMJJ334Wn2PwBHeRZN
16,"Wasted Love (feat. Lagique)",Ofenbach,215689,https://open.spotify.com/track/2pPO9YecZimmuVQfIzfV6U
17,"BAD EYEZ",Nimo,208723,https://open.spotify.com/track/5dDQDduj3EaWrPIZ9bc8tj
18,Fluch,Azet,205896,https://open.spotify.com/track/0MuUSRBlStYNy0IeSrjmEu
19,"White Lies",VIZE,196239,https://open.spotify.com/track/2QuQkdLLzgktXwruPAz6f4
20,Aventador,"Capital Bra",194018,https://open.spotify.com/track/5T7pVU8KMd7hpyqfWt0nhy
21,"Augen überall (feat. Ano)",Samra,190917,https://open.spotify.com/track/4XPfAjrZAvkmIGh7MbKXLB
22,"Wellerman - Sea Shanty","Nathan Evans",181687,https://open.spotify.com/track/54OBgO0Xwu20Jak9TMXbR7
23,"Head & Heart (feat. MNEK)","Joel Corry",175470,https://open.spotify.com/track/6cx06DFPPHchuUAcTxznu9
24,"Paradise (feat. Dermot Kennedy)",MEDUZA,170056,https://open.spotify.com/track/6ft4hAq6yde8jPZY2i5zLr
25,"Love Not War (The Tampa Beat)","Jason Derulo",163656,https://open.spotify.com/track/4Lt6GXGzYsa1tgkv3nGSTm
26,"Mood (feat. iann dior)",24kGoldn,163343,https://open.spotify.com/track/3tjFYV6RSFtuktYl3ZtYcq
27,Arcade,"Duncan Laurence",163041,https://open.spotify.com/track/1J14CdDAvBTE1AJYUOwl6C
28,"My Head & My Heart","Ava Max",162107,https://open.spotify.com/track/1KixkQVDUHggZMU9dUobgm
29,"Head Shoulders Knees & Toes (feat. Norma Jean Martine)",Ofenbach,161391,https://open.spotify.com/track/6i7zAdNhzUN2k1HcrBxPHG
30,"Lost (feat. TOPIC42)",Samra,161159,https://open.spotify.com/track/19LqJBBfd73oeBc3CPgDdl
31,"Blinding Lights","The Weeknd",160253,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
32,"Diese eine Melodie","Kontra K",159484,https://open.spotify.com/track/6RvBo8JZUMSvvHnGa2hDrj
33,Goosebumps,HVME,155374,https://open.spotify.com/track/20McUFi8KCIVdNDLrkTDuZ
34,Roller,"Apache 207",155068,https://open.spotify.com/track/6hw1Sy9wZ8UCxYGdpKrU6M
35,"SYGL (feat. Shindy)",CRO,153634,https://open.spotify.com/track/1tUF7dEhqmV2Z1pTsGAGnD
36,"All We Got (feat. KIDDO)","Robin Schulz",149834,https://open.spotify.com/track/1iAyJBksvAI6DQEnzv8l1E
37,"Wer wenn nicht wir","Wincent Weiss",147964,https://open.spotify.com/track/5jYDCxuSx1mfApeWA4SlqX
38,"Rise Up (feat. Vamero)",VINAI,145593,https://open.spotify.com/track/46lyJh9GYmWsHez3EsvmAx
39,"Hold On","Justin Bieber",144239,https://open.spotify.com/track/4u4NyuceXP7Uzh7XFJKCr1
40,"Where The Lights Are Low","Toby Romeo",141722,https://open.spotify.com/track/0Cnb8XdGDMHAmIRBUJMkIS
41,Whoopty,CJ,136156,https://open.spotify.com/track/1t9WgS8FN0534tLBRwbaxO
42,Habibi,"Ricky Rich",131821,https://open.spotify.com/track/0PukrHFus6hVBHku8hrS0Z
43,"Verdammt ich lieb' Dich","Mike Singer",129832,https://open.spotify.com/track/6PA5kMfB3Hbi7rFFKiRIf4
44,"Wenn sie ruft","Miksu / Macloud",127876,https://open.spotify.com/track/0O214XAfoQz8VVH83xpAjz
45,"Faded Love",Leony,125400,https://open.spotify.com/track/3RcXFW8aiRYHRaDDYBqJ76
46,"you broke me first","Tate McRae",123372,https://open.spotify.com/track/45bE4HXI0AwGZXfZtMp8JR
47,"What’s Next",Drake,122370,https://open.spotify.com/track/3aQem4jVGdhtg116TmJnHz
48,Meer,RIN,121092,https://open.spotify.com/track/3rQHGffq4FmBBykPn5YuKc
49,"Calling My Phone","Lil Tjay",116102,https://open.spotify.com/track/5Kskr9LcNYa0tpt5f0ZEJx
50,Angst,"Apache 207",115269,https://open.spotify.com/track/5yUzqd3H7cmJ1no6B4uTzu
51,"LE CRIME PAIE (feat. Ramo)",Veysel,113427,https://open.spotify.com/track/3xRdBZlbUOaXbPyVVJhOtu
52,Frisch,01099,112662,https://open.spotify.com/track/2iKPlIQFubIq7tcK2MUMBp
53,"PALE (feat. Dardan)",Kidda,112387,https://open.spotify.com/track/0KJKz1VuHL8A2JHvGiSGhD
54,Subwoofer,"SHINSKY x DIMA",110900,https://open.spotify.com/track/5zPT86unoFaNP2J348n1p0
55,"Lemonade (feat. Gunna, Don Toliver & NAV)","Internet Money",110677,https://open.spotify.com/track/7hxHWCCAIIxFLCzvDgnQHX
56,"Offen / Geschlossen - Short Edit",Haftbefehl,109706,https://open.spotify.com/track/6nlHLcZKeEC1eWab79VX3w
57,"No Comprendo",Jamule,108695,https://open.spotify.com/track/5ezbc8nalmV7JqLQQfHwTV
58,Afterglow,"Ed Sheeran",108194,https://open.spotify.com/track/0E4Y1XIbs8GrAT1YqVy6dq
59,"ZEIT UND GELD",Capo,107386,https://open.spotify.com/track/1JviAd4kPSHUYZ8RCLNeYV
60,"Fuck Love",Samo104,106925,https://open.spotify.com/track/0HhifV2v8vcNC4I3gpnwf3
61,Hypnotized,"Purple Disco Machine",105204,https://open.spotify.com/track/0vWUhCPxpJOJR5urYbZypB
62,"Cover Me In Sunshine",P!nk,102853,https://open.spotify.com/track/6Tio0ZoDeSQnI7EBAqWer2
63,"Prisoner (feat. Dua Lipa)","Miley Cyrus",102231,https://open.spotify.com/track/2Oycxb8QbPkpHTo8ZrmG0B
64,BED,"Joel Corry",98782,https://open.spotify.com/track/0siYMEsGrzzzlWLXK5zJfS
65,"The One","Rea Garvey",98710,https://open.spotify.com/track/6j0l7Hjt6qeDCQnYBZuJXY
66,Lonely,"Miksu / Macloud",98695,https://open.spotify.com/track/2YjkalYiseRDPYjpzLu8Vl
67,"ROCKSTAR (feat. Roddy Ricch)",DaBaby,96631,https://open.spotify.com/track/7ytR5pFWmSjzHJIeQkgog4
68,Verlierer,LUNA,95119,https://open.spotify.com/track/6ZklqpekeC0KFGzyFVjQuj
69,"Heat Waves","Glass Animals",94962,https://open.spotify.com/track/02MWAaffLxlfxAUY7c5dvx
70,"Keiner kann mich ficken!","187 Strassenbande",94803,https://open.spotify.com/track/7M4zWJmzuf8aZ2aEQUnzU3
71,Nesesari,"Kizz Daniel",94529,https://open.spotify.com/track/3YzhsBh8BRGxbMThPC3Ibw
72,SugarCrash!,ElyOtto,91820,https://open.spotify.com/track/2ePtv8MlBO9nuuXABqAfEX
73,SMS,Samra,91689,https://open.spotify.com/track/65WZOMvIcnObuLEEZvlksc
74,"Roses - Imanbek Remix","SAINt JHN",89735,https://open.spotify.com/track/0zLCBJZSiELJf02ucPP9wb
75,"Leave The Door Open","Bruno Mars",89511,https://open.spotify.com/track/7MAibcTli4IisCtbHKrGMh
76,Hotel,CÉLINE,89438,https://open.spotify.com/track/3Ldae7O6YMFE7vxlTNocdQ
77,Unterwegs,KitschKrieg,89383,https://open.spotify.com/track/7mrWTjhYctgEQb0lJKrVWy
78,"alles verdient.",Lune,89218,https://open.spotify.com/track/5peMHz2nmhA7ZWjvtHpQse
79,"gebe auf.",Lune,89093,https://open.spotify.com/track/1upzszB5JxMfNUEBmkcgaO
80,"Jerusalema (feat. Nomcebo Zikode)","Master KG",88001,https://open.spotify.com/track/2MlOUXmcofMackX3bxfSwi
81,"Der letzte Tanz",Bosse,87558,https://open.spotify.com/track/3JtIS5WNPJokeMeEVnWWEM
82,Up,"Cardi B",87229,https://open.spotify.com/track/1M4OcYkxAtu3ErzSgDEfoi
83,"Squad X Showtime","PA Sports",86838,https://open.spotify.com/track/7C5SKbJJGqS1AIE1Er3648
84,"Fly Away","Tones And I",86632,https://open.spotify.com/track/5ri4zqtWhG07hIuNNDWP76
85,Bläulich,"Apache 207",86388,https://open.spotify.com/track/2WRTnY0slmFgWcrmEr8dPj
86,Airwaves,Pashanim,86125,https://open.spotify.com/track/5CqkgDH8QZjSqqI3HmYxDD
87,telepatía,"Kali Uchis",85890,https://open.spotify.com/track/6tDDoYIxWvMLTdKpjFkc1B
88,"Breaking Me",Topic,84883,https://open.spotify.com/track/3H7ihDc1dqLriiWXwsc2po
89,"We're Good","Dua Lipa",84410,https://open.spotify.com/track/1diS6nkxMQc3wwC4G1j0bh
90,Lovefool,twocolors,83206,https://open.spotify.com/track/51Of5p3lKZeOg6itfs4og4
91,Paradise,VIZE,82896,https://open.spotify.com/track/2qpZjutAe3pstQsjwSXQb4
92,"Floating Through Space",Sia,82246,https://open.spotify.com/track/0XwSUpdrF7nR7hVxbDs7mb
93,"Wants and Needs (feat. Lil Baby)",Drake,82081,https://open.spotify.com/track/65OVbaJR5O1RmwOQx0875b
94,"One More Time (feat. Alida)","Robin Schulz",80848,https://open.spotify.com/track/2REu6wX4KKrG6uGlTKVqu6
95,"What You Know Bout Love","Pop Smoke",80786,https://open.spotify.com/track/1tkg4EHVoqnhR6iFEXb60y
96,Streets,"Doja Cat",80706,https://open.spotify.com/track/60ynsPSSKe6O3sfwRnIBRf
97,"Easy Peasy",FiNCH,79875,https://open.spotify.com/track/6bW4olKzz8M2BRYNU1ASUi
98,Angeklagt,"Bonez MC",79785,https://open.spotify.com/track/5eu4Lxm5TlI0tKSTTDWJAT
99,"Savage Love (Laxed - Siren Beat)","Jawsh 685",79134,https://open.spotify.com/track/1xQ6trAsedVPCdbtDAmk0c
100,"2 Uhr nachts","Dante YN",78926,https://open.spotify.com/track/0jNR7y6nWhEf2gjy8pT8oG
101,Adé,"PA Sports",78308,https://open.spotify.com/track/67j00d0EkhOJ5G4g2o8yr3
102,"Never Let Me Down",VIZE,77771,https://open.spotify.com/track/5TGcyccg8Hkgn9jB7gUpMN
103,"Follow You","Imagine Dragons",77475,https://open.spotify.com/track/7FdUvDkaE24o3FPIWTvzv2
104,HOLIDAY,"Lil Nas X",77421,https://open.spotify.com/track/6zFMeegAMYQo0mt8rXtrli
105,"Someone You Loved","Lewis Capaldi",77306,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
106,"Dance Monkey","Tones And I",76880,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
107,Hell,"PA Sports",76727,https://open.spotify.com/track/1dhNH8RH5kT4tVKvOgaoDO
108,Elbe,Bozza,76409,https://open.spotify.com/track/2kvJnNMqnimkCZUUWjOINy
109,"Watermelon Sugar","Harry Styles",75598,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
110,7,Ufo361,75572,https://open.spotify.com/track/3ipliatTDndCmnYGaNiAbI
111,"coke light",Dardan,74803,https://open.spotify.com/track/31M6uFzb0yY2TjqfyuLU89
112,Monet,Alligatoah,74638,https://open.spotify.com/track/2vS1HmVoOpvWeFKf7HnWdJ
113,"Devil Eyes","Hippie Sabotage",73093,https://open.spotify.com/track/7MiZjKawmXTsTNePyTfPyL
114,"Ich würd' lügen",KAYEF,72891,https://open.spotify.com/track/5T2RHnuyK2sa9R0pleO9yP
115,Paradies,Gzuz,72684,https://open.spotify.com/track/6qNLO4HzHeVvHxTaCFMXrf
116,"Star Shopping","Lil Peep",69946,https://open.spotify.com/track/30bqVoKjX479ab90a8Pafp
117,"Goosebumps - Remix","Travis Scott",69638,https://open.spotify.com/track/5uEYRdEIh9Bo4fpjDd4Na9
118,Fame,"Apache 207",69374,https://open.spotify.com/track/0QjjaCaXE45mvhCnV3C0TA
119,"In meinem Benz","AK AUSSERKONTROLLE",69323,https://open.spotify.com/track/3dy7SaVShdnjwtx9IXhtzg
120,"Can't Hold Us (feat. Ray Dalton)","Macklemore & Ryan Lewis",69176,https://open.spotify.com/track/3bidbhpOYeV4knp8AIu8Xn
121,"Lucid Dreams","Juice WRLD",68949,https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR
122,"I Need You To Hate Me","JC Stewart",68830,https://open.spotify.com/track/1zY6ekSJ8VI6tZ6nBqoo7g
123,Robbery,"Juice WRLD",68470,https://open.spotify.com/track/6Hj9jySrnFppAI0sEMCZpJ
124,Dynamite,BTS,68252,https://open.spotify.com/track/4saklk6nie3yiGePpBwUoc
125,"Heartbreak Anniversary",Giveon,67928,https://open.spotify.com/track/3FAJ6O0NOHQV8Mc5Ri6ENp
126,Habibi,Casar,67712,https://open.spotify.com/track/5wvuvSerLcNK5Xc8v2duWn
127,"In the End","Linkin Park",67371,https://open.spotify.com/track/60a0Rd6pjrkxjPbaKzXjfq
128,Übermorgen,"Mark Forster",67336,https://open.spotify.com/track/1NP7bzm8UksJUWXsuFoOwE
129,Control,"Zoe Wees",67146,https://open.spotify.com/track/50Td3qilgs8BLtv8mHyT1t
130,"Levitating (feat. DaBaby)","Dua Lipa",67118,https://open.spotify.com/track/5nujrmhLynf4yMoMtj8AQF
131,"Weisst wie es ist",Bausa,66837,https://open.spotify.com/track/2Roj3Kvhy5BCjkSSJ2Q3Nz
132,"Sweater Weather","The Neighbourhood",65772,https://open.spotify.com/track/2QjOHCTQ1Jl3zawyYOpxh6
133,"Close Your Eyes","Felix Jaehn",65646,https://open.spotify.com/track/7N06jo3EnV792VFaG8vuW6
134,110,"Capital Bra",65444,https://open.spotify.com/track/67ojvEGRPAUCOohuMPqoRC
135,"Bayrisch Drip",Sääftig,65331,https://open.spotify.com/track/3ECbHfRSFMjfm99YFvAD4x
136,"Bist du Okay","Mark Forster",65259,https://open.spotify.com/track/1O2gOblgfyostGPbLzqghY
137,"Latest Trends","A1 x J1",64921,https://open.spotify.com/track/7pnQ23WgZca9jEfMts9qsR
138,"Vermissen (feat. Henning May)",Juju,64526,https://open.spotify.com/track/07f2b3CTdgKKlhv0mqUksz
139,"Take You Dancing","Jason Derulo",64229,https://open.spotify.com/track/59qrUpoplZxbIZxk6X0Bm3
140,Anyone,"Justin Bieber",64139,https://open.spotify.com/track/31qCy5ZaophVA81wtlwLc4
141,"Another Love","Tom Odell",63102,https://open.spotify.com/track/7jtQIBanIiJOMS6RyCx6jZ
142,"Love Again (feat. Alida)",Alok,62933,https://open.spotify.com/track/63bWXWGcWnRQvdS8bJWdkB
143,2002,Sido,62610,https://open.spotify.com/track/2u8AXJyk8pICzj2wyPBL0b
144,"Someone To You",BANNERS,62242,https://open.spotify.com/track/2f0pn9DkEJwAzXApnFh5cr
145,Hoodnights,BHZ,62198,https://open.spotify.com/track/5HxG2PTsxxGu0sfCKJjdc0
146,Dior,"Pop Smoke",61917,https://open.spotify.com/track/79s5XnCN4TJKTVMSmOx8Ep
147,2012,Bausa,61816,https://open.spotify.com/track/21MvQ9CmXf9QlWMSnnsOev
148,"HIGHWAY (feat. ELIF)","Katja Krasavice",61732,https://open.spotify.com/track/6QVxJg8q95hEuPgNRb56jK
149,"Kings & Queens","Ava Max",61518,https://open.spotify.com/track/7a53HqqArd4b9NF4XAmlbI
150,"Tiefschwarz (feat. Samra)","Kontra K",60586,https://open.spotify.com/track/7jMMoHhgq6iwVT5ykyxsJt
151,"200 km/h","Apache 207",60204,https://open.spotify.com/track/2PGA1AsJal6cyMNmKyE56q
152,"For The Night (feat. Lil Baby & DaBaby)","Pop Smoke",60191,https://open.spotify.com/track/0PvFJmanyNQMseIFrU708S
153,"Hello (feat. A Boogie Wit da Hoodie)","Pop Smoke",59964,https://open.spotify.com/track/2r6OAV3WsYtXuXjvJ1lIDi
154,"On The Ground",ROSÉ,59907,https://open.spotify.com/track/2pn8dNVSpYnAtlKFC8Q0DJ
155,"Paper Loving","Christopher Martin",59760,https://open.spotify.com/track/0FBgQ1eevuO0NP8Nm4wjiy
156,"Weekend (feat. Emelie Cyréus)",LIZOT,59740,https://open.spotify.com/track/4KPYXZUCKYLEEcGmKN4Exs
157,"Best of Us",WIER,59460,https://open.spotify.com/track/5DhcEJWVdkPNkJUVnbiUKo
158,"Ride It",Regard,59293,https://open.spotify.com/track/2tnVG71enUj33Ic2nFN6kZ
159,"Come & Go (with Marshmello)","Juice WRLD",59231,https://open.spotify.com/track/2Y0wPrPQBrGhoLn14xRYCG
160,"7 Stunden",LEA,59087,https://open.spotify.com/track/1EbdQ54jFLGEH94cUif3TI
161,"lovely (with Khalid)","Billie Eilish",58955,https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4
162,SHAWTY,Luciano,58727,https://open.spotify.com/track/2zeWbdSyAcN0O0r7em4j3B
163,"Lemon Pepper Freestyle (feat. Rick Ross)",Drake,58718,https://open.spotify.com/track/4FRW5Nza1Ym91BGV4nFWXI
164,"Ohne mein Team","Bonez MC",58648,https://open.spotify.com/track/05Mp2UJulSttxQ4E6hQPH3
165,"For a Second","Michael Schulte",58193,https://open.spotify.com/track/5qYf19BLOheApfe6NqhDPg
166,"Lemon Tree","Alle Farben",58066,https://open.spotify.com/track/6sGeBxS4PIEtZdWpgdnitV
167,Mars,"Georg Stengel",57804,https://open.spotify.com/track/5iUveERei5JgBhqWlu3JIN
168,"Some Say - Felix Jaehn Remix",Nea,57689,https://open.spotify.com/track/7C1trmcQQ5n5RNy4l6ziCv
169,Habibi,"Ricky Rich",57284,https://open.spotify.com/track/5lrq8sHObtY0xMmF7Ukzl7
170,"Fuckst mich nur ab","Bonez MC",57146,https://open.spotify.com/track/0y8mJFmm4ogCHnfe0oTuT6
171,"WEISSER RAUCH",FOURTY,56954,https://open.spotify.com/track/6bRR9tU3WUBsC4aywSgHEO
172,Monster,LUM!X,56946,https://open.spotify.com/track/0YU17F0BlVXvmx5ytsR43w
173,"GIRL LIKE ME","Black Eyed Peas",56905,https://open.spotify.com/track/2vBET2pmrQqafaS6zIaYta
174,"Therefore I Am","Billie Eilish",56844,https://open.spotify.com/track/54bFM56PmE4YLRnqpW6Tha
175,"Gece Gündüz",Murda,56716,https://open.spotify.com/track/4jq1WK3fiUU2SOhZ0iaMP1
176,"No Therapy","Felix Jaehn",56679,https://open.spotify.com/track/7tUTCcqkMCnC9qLqbQeI0T
177,"Memories (feat. Kid Cudi)","David Guetta",56167,https://open.spotify.com/track/0Xh6R6XLoTDRBYriQRgkHj
178,"Wishing Well","Juice WRLD",55786,https://open.spotify.com/track/2U5WueTLIK5WJLD7mvDODv
179,"Erfolg ist kein Glück","Kontra K",55764,https://open.spotify.com/track/4xuVfUXkHe1YZZZWNICGcV
180,"HIGHEST IN THE ROOM","Travis Scott",55687,https://open.spotify.com/track/3eekarcy7kvN4yt5ZFzltW
181,AMG,"Kool Savas",55409,https://open.spotify.com/track/4oPnjYqS5YYUpDpdm63pWa
182,positions,"Ariana Grande",54974,https://open.spotify.com/track/35mvY5S1H3J2QZyna3TFe0
183,"500 PS","Bonez MC",54874,https://open.spotify.com/track/4UOXo3xWnxYdTf3sFyRaUG
184,"Cooler Than Me","Lucky Luke",54650,https://open.spotify.com/track/525GY0mXYnxajolwgS8Eaz
185,Anytime,"Phil The Beat",54492,https://open.spotify.com/track/58VgSGe9D9xz3BSvY9Gpua
186,Shallow,"Lady Gaga",54006,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B
187,DÁKITI,"Bad Bunny",53619,https://open.spotify.com/track/4MzXwWMhyBbmu6hOcLVD49
188,"Last Resort","Papa Roach",53616,https://open.spotify.com/track/5W8YXBz9MTIDyrpYaCg2Ky
189,goosebumps,"Travis Scott",53334,https://open.spotify.com/track/6gBFPUFcJLzWGx4lenP6h2
190,"Irgendwann ist jetzt","Max Giesinger",52686,https://open.spotify.com/track/3gMi9DLCVNNAnj9URmWNlD
191,Hauseingang,Pashanim,52658,https://open.spotify.com/track/3aLZ0s5ulFLcFCtIZQblpo
192,Numb,"Linkin Park",52555,https://open.spotify.com/track/2nLtzopw4rPReszdYBJU6h
193,"ALLES DOPE",CRO,52268,https://open.spotify.com/track/7HZMdCSq7oUYmn6OHU6kSB
194,"Frühstück in Paris","Capital Bra",52215,https://open.spotify.com/track/1ddbNJwDjjmCYz1GFGYnsw
195,Warum?,Ra'is,52137,https://open.spotify.com/track/6yhEFpIxCz0TXnEpKYoPjZ
196,"Alles was ich hab","Fynn Kliemann",51802,https://open.spotify.com/track/254AnlO6Fr8ge2hH0nywp7
197,Ратата,Konfuz,51648,https://open.spotify.com/track/14YjOD4J7N1FGZMt5N4eIs
198,Alien,"Dennis Lloyd",51598,https://open.spotify.com/track/1Tqshmc0rnQPaIGJfRp2Da
199,"Nicht Echt",Eddin,51534,https://open.spotify.com/track/6CY87bol6DBK6heyCwOiDe
200,"Tick Tock (feat. 24kGoldn)","Clean Bandit",51015,https://open.spotify.com/track/27u7t9d7ZQoyjsCROHuZJ3
