,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Easy On Me",Adele,464913,https://open.spotify.com/track/0gplL1WMoJ6iYaPgMCL0gX
2,"Heat Waves","Glass Animals",422453,https://open.spotify.com/track/02MWAaffLxlfxAUY7c5dvx
3,Späti,Gzuz,417316,https://open.spotify.com/track/1S4Ehm8b7O4n9lIy3uAMS1
4,Shivers,"Ed Sheeran",367964,https://open.spotify.com/track/75MNhvTCCKsST3YqqUiU9r
5,"Where Are You Now","Lost Frequencies",347827,https://open.spotify.com/track/3uUuGVFu1V7jTQL60S1r8z
6,"STAY (with Justin Bieber)","The Kid LAROI",343860,https://open.spotify.com/track/5PjdY0CKGZdEuoNab3yDmX
7,"Auf & Ab",Montez,309605,https://open.spotify.com/track/0RSZ8EmUPEN3ySfCgytPke
8,"Per Ty (feat. Mozzik)",Dardan,280998,https://open.spotify.com/track/1KwLkHOnyWedxyhZBOIHUM
9,Mosaik,"kid kapri",274209,https://open.spotify.com/track/3x9fMzoAPNxEFVrP6kU1f7
10,MONEY,LISA,272255,https://open.spotify.com/track/7hU3IHwjX150XLoTVmjD0q
11,"Happy End (feat. Sido)","Vanessa Mai",271476,https://open.spotify.com/track/1YRaS0rNK8y9E5NeTrKe03
12,10von10,Pajel,270129,https://open.spotify.com/track/1sa59Q9urE82MD3ELi44HN
13,"INDUSTRY BABY (feat. Jack Harlow)","Lil Nas X",264327,https://open.spotify.com/track/5Z9KJZvQzH6PFmb8SNkxuk
14,"Belgisches Viertel",ART,249765,https://open.spotify.com/track/1h3d2lvISrSIV6fS89U51S
15,Guapa,"RAF Camora",249730,https://open.spotify.com/track/5FsV0biZgb8tmQtau5LxKz
16,Pepas,Farruko,245173,https://open.spotify.com/track/2B4GHvToeLTOBB4QLzW3Ni
17,"Bad Habits","Ed Sheeran",240321,https://open.spotify.com/track/6PQ88X9TkUIAUIZJHW2upE
18,"Blaues Licht","RAF Camora",235178,https://open.spotify.com/track/08EPQiLMyGB8GJX2EiVoCM
19,Vodka,"Apache 207",227713,https://open.spotify.com/track/5axqVsveGtmOkq7H1wV3c0
20,"Ich bin weg - BoroBoro",Samra,221044,https://open.spotify.com/track/1f6Paz0Vf1CPhcNDs1vMyR
21,Mond,Montez,218339,https://open.spotify.com/track/7ucTEwb8eRMpRlA744gjOo
22,2CB,"RAF Camora",209112,https://open.spotify.com/track/2r9gIpt17PhZv0y2nCpFHC
23,"Moje Sve",Hava,209074,https://open.spotify.com/track/1LBWVVGfTCr8EYNSd92W81
24,"Cold Heart - PNAU Remix","Elton John",196222,https://open.spotify.com/track/6zSpb8dQRaw0M1dK8PBwQz
25,Sommergewitter,Pashanim,184317,https://open.spotify.com/track/2H7jZg2HliuQhZjfBblLrZ
26,Acapulco,"Jason Derulo",184148,https://open.spotify.com/track/3eJH2nAjvNXdmPfBkALiPZ
27,"Gib ihr Flex",NGEE,181317,https://open.spotify.com/track/58e1uwNJd1b3cm93KruQjo
28,"OUT OUT (feat. Charli XCX & Saweetie)","Joel Corry",178388,https://open.spotify.com/track/6Dy1jexKYriXAVG6evyUTJ
29,"love nwantiti (ah ah ah)",CKay,176627,https://open.spotify.com/track/2Xr1dTzJee307rmrkt8c0g
30,"Love Tonight - Edit",Shouse,172609,https://open.spotify.com/track/6OufwUcCqo81guU2jAlDVP
31,BLUEPRINT,KALIM,171713,https://open.spotify.com/track/70PzQc4vr6iLKa2z2IZ9l0
32,"good 4 u","Olivia Rodrigo",169161,https://open.spotify.com/track/4ZtFanR9U6ndgddUvNcjcG
33,"THATS WHAT I WANT","Lil Nas X",166750,https://open.spotify.com/track/0e8nrvls4Qqv5Rfa2UhqmO
34,Woman,"Doja Cat",164772,https://open.spotify.com/track/6Uj1ctrBOjOas8xZXGqKk4
35,Infinity,"Jaymes Young",163793,https://open.spotify.com/track/1SOClUWhOi8vHZYMz3GluK
36,"Friendships (Lost My Love)","Pascal Letoublon",156707,https://open.spotify.com/track/0lQ2obtzmAsJu9xk3D6FqH
37,"love nwantiti (feat. Dj Yo! & AX'EL) - Remix",CKay,156261,https://open.spotify.com/track/4gvrJnKCKIPiacNsWVQwEU
38,Beggin',Måneskin,155251,https://open.spotify.com/track/3Wrjm47oTz2sjIgck11l5e
39,Colorado,"Milky Chance",152291,https://open.spotify.com/track/0eZmBWVC1HYayrP2fqQ7nu
40,"My Universe",Coldplay,152056,https://open.spotify.com/track/46HNZY1i7O6jwTA7Slo2PI
41,"Because You Move Me",Tinlicker,150914,https://open.spotify.com/track/1F80MEkZA9yTlpMQp9dhht
42,"Life Goes On","Oliver Tree",147226,https://open.spotify.com/track/0eu4C55hL6x29mmeAjytzC
43,"DOLLARS & ISYANS (feat. BILLA JOE)","Scorpion Gang",146749,https://open.spotify.com/track/2TtnAY1oHYA7UTh4FQIEBm
44,Crashen,t-low,143011,https://open.spotify.com/track/5STeQZH1Ahz3h0X9Njaij7
45,"Baby 2.0",Zuna,142740,https://open.spotify.com/track/4mc0wGvP83zeFlhuatdyXM
46,"Wenn du mich siehst","RAF Camora",139539,https://open.spotify.com/track/3AVC5l5wCEALuj4tg02uIL
47,"I WANNA BE YOUR SLAVE",Måneskin,138612,https://open.spotify.com/track/4pt5fDVTg5GhEvEtlz9dKk
48,Verkackt,Pajel,128086,https://open.spotify.com/track/6Eb1a9wOHEAAuUrpzytZ4E
49,"MONTERO (Call Me By Your Name)","Lil Nas X",127920,https://open.spotify.com/track/1SC5rEoYDGUK4NfG82494W
50,"Wenn Du mich lässt",LEA,125678,https://open.spotify.com/track/6Ey7KSTV0Zx0fnxOw6bdK8
51,RAFFAELO,BOJAN,118774,https://open.spotify.com/track/0DCzcpbdO1tMMlRRQ1txZy
52,Fair,Nura,118558,https://open.spotify.com/track/3uSWJuI3SGbn2HGKrhM3Mn
53,"In Da Getto","J Balvin",115864,https://open.spotify.com/track/1q0PYXTbDsirp2l74ng6pn
54,"Lüg mich an","Pietro Lombardi",113411,https://open.spotify.com/track/2PtNuLMikmNybz4nhIqgOq
55,"Vergesse nie die Street","RAF Camora",113374,https://open.spotify.com/track/3ZDXLSUZpKx8pspNBOdVr5
56,"Never Going Home",Kungs,112142,https://open.spotify.com/track/0xfMlIW8lS40qvpsUw1l0X
57,"Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit",Riton,108759,https://open.spotify.com/track/4cG7HUWYHBV6R6tHn1gxrl
58,"Stay in Touch",Alligatoah,108665,https://open.spotify.com/track/2x1pGvTWkRzRcMbZcLYjJk
59,u.,niteboi,107482,https://open.spotify.com/track/0J7oHYxjF6Oln61wy0kP2i
60,"ICH WILL DICH",Rubi,105143,https://open.spotify.com/track/6TVjsvC0IzHsVwfSmt2EjO
61,"61 Grad",Endzone,99623,https://open.spotify.com/track/5Z7J2Au61uO7K1ZPNG1eTv
62,"Chosen (feat. Ty Dolla $ign)",Blxst,98146,https://open.spotify.com/track/1dIWPXMX4kRHj6Dt2DStUQ
63,"Take My Breath - Single Version","The Weeknd",97822,https://open.spotify.com/track/6M3PsepEj5gyJoIi7Xvr7u
64,Kuku,"Butrint Imeri",95951,https://open.spotify.com/track/7rHuaTEGYh4WnRZWlR88JQ
65,Durstlöscher,01099,94988,https://open.spotify.com/track/51S7lhJk6AHiFg0PhJupfz
66,Ghost,"Justin Bieber",94295,https://open.spotify.com/track/6I3mqTwhRpn34SLVafSH7G
67,"Happier Than Ever","Billie Eilish",93294,https://open.spotify.com/track/4RVwu0g32PAqgUiJoXsdF8
68,"Keine Pause",1986zig,91639,https://open.spotify.com/track/0BbXvSdwgIqXdz0PIol1w7
69,OZEAN,KALIM,90032,https://open.spotify.com/track/3vQqFgN3bhO1Lim4yXzmi5
70,Habit,Laurell,89547,https://open.spotify.com/track/4bnutybG1itDcpyoQo2Uoc
71,"Blinding Lights","The Weeknd",88967,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
72,Madonna,Bausa,88876,https://open.spotify.com/track/6a3kNt1UlUOapDKmEr3JzZ
73,"Null auf 100","Helene Fischer",88779,https://open.spotify.com/track/2YyIZVbxDKCWolKTcbdp6B
74,"Sterne unterm Dach",badmómzjay,88604,https://open.spotify.com/track/1edUWAS1x66v10yguQ6qkO
75,"Niemals Allein",SOPHIA,88552,https://open.spotify.com/track/6Mqh9nRS9ksN38qaaa6ZR0
76,"Money On My Mind",Faroon,87328,https://open.spotify.com/track/11nCZnfaUl7BDwBCoezUTf
77,"Para Drill",Dardan,87123,https://open.spotify.com/track/1JOAfPOJkTIdrVdrYMF9LD
78,"King Kong",HBz,87049,https://open.spotify.com/track/7GIlBNE6pZRfoRfo4oL7f0
79,SCHMETTERLING,Luciano,86910,https://open.spotify.com/track/3gUVLJZ0JoGRuoRNUCIYsI
