,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Do It To It",ACRAZE,405736,https://open.spotify.com/track/20on25jryn53hWghthWWW3
2,"Ein Jahr (feat. Montez)","Capital Bra",402058,https://open.spotify.com/track/1umWYzhtxWxlVvnvfWLbT4
3,"Mit Dir",Sido,401231,https://open.spotify.com/track/2xFMvrqk99biaLQavjufta
4,abcdefu,GAYLE,383735,https://open.spotify.com/track/4fouWK6XVHhzl78KzQ1UjL
5,"DER LETZTE SONG (ALLES WIRD GUT) (feat. Fred Rabe)",KUMMER,345611,https://open.spotify.com/track/2FQRZLR31e3423Nmrgv0Pv
6,"Easy On Me",Adele,328823,https://open.spotify.com/track/46IZ0fSY2mpAiktS3KOqds
7,Shivers,"Ed Sheeran",312102,https://open.spotify.com/track/50nfwKoDiSYg8zOCREWAm5
8,"Heat Waves","Glass Animals",305611,https://open.spotify.com/track/02MWAaffLxlfxAUY7c5dvx
9,"paris freestyle - skrilla remix",Pashanim,288150,https://open.spotify.com/track/6fuO9uk9wbjCHvQJqk2Qpx
10,"Where Are You Now","Lost Frequencies",277862,https://open.spotify.com/track/3uUuGVFu1V7jTQL60S1r8z
11,HIGH,Hava,265765,https://open.spotify.com/track/2PDM9Byxz5crB2IXuh2Oal
12,"Cold Heart - PNAU Remix","Elton John",262581,https://open.spotify.com/track/7rglLriMNBPAyuJOMGwi39
13,"STAY (with Justin Bieber)","The Kid LAROI",250562,https://open.spotify.com/track/5PjdY0CKGZdEuoNab3yDmX
14,Pepas,Farruko,239018,https://open.spotify.com/track/2B4GHvToeLTOBB4QLzW3Ni
15,B.I.B.O.,Dardan,237926,https://open.spotify.com/track/5F3sqL2deoeV2kr8Vn9H4V
16,"All I Want for Christmas Is You","Mariah Carey",236499,https://open.spotify.com/track/0bYg9bo50gSsH3LtXe2SQn
17,"Auf & Ab",Montez,228025,https://open.spotify.com/track/0RSZ8EmUPEN3ySfCgytPke
18,"Last Christmas",Wham!,224456,https://open.spotify.com/track/2FRnf9qhLbvw8fu4IBXx78
19,"Enemy (with JID) - from the series Arcane League of Legends","Imagine Dragons",215779,https://open.spotify.com/track/1r9xUipOqoNwggBpENDsvJ
20,Violett,Jamule,208029,https://open.spotify.com/track/6tTHWYH8frkyqwAvGjGvXS
21,NDA's,"Shirin David",205851,https://open.spotify.com/track/4mIWLMi5SAeX6FhnlaOj1y
22,Toxic,BoyWithUke,205757,https://open.spotify.com/track/2gQPv5jvVPqU2a9HhMNO1v
23,"INDUSTRY BABY (feat. Jack Harlow)","Lil Nas X",201324,https://open.spotify.com/track/5Z9KJZvQzH6PFmb8SNkxuk
24,Lautlos,"Mario Novembre",195391,https://open.spotify.com/track/3wyLJfkbukEpP3oMp6Typx
25,"Schlechtes Vorbild","Shirin David",191319,https://open.spotify.com/track/3y8BOdCyXS6xlJq75lBDKw
26,"Bad Habits","Ed Sheeran",180838,https://open.spotify.com/track/3rmo8F54jFF8OgYsqTxm5d
27,"Be a Hoe/Break a Hoe","Shirin David",179447,https://open.spotify.com/track/0AbWRjGhzZDlWEoUs4VOUQ
28,"Blaues Licht","RAF Camora",177324,https://open.spotify.com/track/08EPQiLMyGB8GJX2EiVoCM
29,"Oh My God",Adele,177116,https://open.spotify.com/track/3Kkjo3cT83cw09VJyrLNwX
30,Späti,Gzuz,168427,https://open.spotify.com/track/1S4Ehm8b7O4n9lIy3uAMS1
31,"Babsi Bars","Shirin David",164811,https://open.spotify.com/track/6JOAAQNp721ZTe48yoX42A
