,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Ohne Dich",KASIMIR1441,1074479,https://open.spotify.com/track/4hSJUp6k7QeHLxU32MrLIU
2,"drivers license","Olivia Rodrigo",588254,https://open.spotify.com/track/7lPN2DXiMsVn7XUKtOW1CS
3,Angst,"Apache 207",377924,https://open.spotify.com/track/5yUzqd3H7cmJ1no6B4uTzu
4,"The Business",Tiësto,309466,https://open.spotify.com/track/6f3Slt0GbA2bPZlz0aIFXN
5,Lonely,"Miksu / Macloud",291795,https://open.spotify.com/track/2YjkalYiseRDPYjpzLu8Vl
6,"vija vija",Dardan,284690,https://open.spotify.com/track/5Hplvh1ZoVp6SNPvLIpcgS
7,"Lost (feat. TOPIC42)",Samra,284358,https://open.spotify.com/track/19LqJBBfd73oeBc3CPgDdl
8,"HIGHWAY (feat. ELIF)","Katja Krasavice",260671,https://open.spotify.com/track/2UD1csihq8aPrpM69C2XrW
9,"Dirty South",RIN,236091,https://open.spotify.com/track/51Gj7QV1S482b5g9jRU4zc
10,"Mood (feat. iann dior)",24kGoldn,235598,https://open.spotify.com/track/3tjFYV6RSFtuktYl3ZtYcq
11,7,Ufo361,230214,https://open.spotify.com/track/3ipliatTDndCmnYGaNiAbI
12,"All We Got (feat. KIDDO)","Robin Schulz",227780,https://open.spotify.com/track/1FP9s72rDYty6mfoOEYKnE
13,"WITHOUT YOU","The Kid LAROI",225467,https://open.spotify.com/track/27OeeYzk6klgBh83TSvGMA
14,Whoopty,CJ,223266,https://open.spotify.com/track/5vGLcdRuSbUhD8ScwsGSdA
15,Goosebumps,HVME,217181,https://open.spotify.com/track/20McUFi8KCIVdNDLrkTDuZ
16,Verlierer,LUNA,209714,https://open.spotify.com/track/6ZklqpekeC0KFGzyFVjQuj
17,"Head & Heart (feat. MNEK)","Joel Corry",208883,https://open.spotify.com/track/6cx06DFPPHchuUAcTxznu9
18,Habibi,"Ricky Rich",208591,https://open.spotify.com/track/6G0503JielRvasifhBznrX
19,Warum,"Pietro Lombardi",199530,https://open.spotify.com/track/426VLlB1Zlhm5utUE3lO2l
20,"Head Shoulders Knees & Toes (feat. Norma Jean Martine)",Ofenbach,198361,https://open.spotify.com/track/6i7zAdNhzUN2k1HcrBxPHG
21,"Auf mein Fahrrad",LX,191435,https://open.spotify.com/track/45e6Qb3cu7z96jPdyIzugR
22,"Paradise (feat. Dermot Kennedy)",MEDUZA,187099,https://open.spotify.com/track/6ft4hAq6yde8jPZY2i5zLr
23,"Birkin Bag (feat. Luciano, reezy & KALIM)","DJ JEEZY",182042,https://open.spotify.com/track/6DYhtpfCTasCnkDJAFMqGJ
24,"Lemonade (feat. Gunna, Don Toliver & NAV)","Internet Money",172899,https://open.spotify.com/track/7hxHWCCAIIxFLCzvDgnQHX
25,Goldjunge,Samra,171806,https://open.spotify.com/track/7wgkebUBtfN1dY3UikcYpm
26,"Blinding Lights","The Weeknd",169300,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
27,"gebe auf.",Lune,168053,https://open.spotify.com/track/1upzszB5JxMfNUEBmkcgaO
