,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"DER LETZTE SONG (ALLES WIRD GUT) (feat. Fred Rabe)",KUMMER,466523,https://open.spotify.com/track/2FQRZLR31e3423Nmrgv0Pv
2,abcdefu,GAYLE,445015,https://open.spotify.com/track/4fouWK6XVHhzl78KzQ1UjL
3,"Mit Dir",Sido,411821,https://open.spotify.com/track/2xFMvrqk99biaLQavjufta
4,"All I Want for Christmas Is You","Mariah Carey",384736,https://open.spotify.com/track/0bYg9bo50gSsH3LtXe2SQn
5,"Last Christmas",Wham!,377173,https://open.spotify.com/track/2FRnf9qhLbvw8fu4IBXx78
6,SUVs,Luciano,343626,https://open.spotify.com/track/01I8aPBUJIMzCtHsCVvmq5
7,"Do It To It",ACRAZE,326343,https://open.spotify.com/track/20on25jryn53hWghthWWW3
8,"Heat Waves","Glass Animals",283265,https://open.spotify.com/track/02MWAaffLxlfxAUY7c5dvx
9,"Merry Christmas Everyone","Shakin' Stevens",270537,https://open.spotify.com/track/2TE4xW3ImvpltVU0cPcKUn
10,"Driving Home for Christmas - 2019 Remaster","Chris Rea",262696,https://open.spotify.com/track/27qAMKrDdKEs8HDXcvR24R
11,"Santa Tell Me","Ariana Grande",250581,https://open.spotify.com/track/0lizgQ7Qw35od7CYaoMBZb
12,Sport,"Apache 207",248852,https://open.spotify.com/track/0rRn3j1DLkhEI6XL52Gaie
13,Shivers,"Ed Sheeran",247127,https://open.spotify.com/track/50nfwKoDiSYg8zOCREWAm5
14,"paris freestyle - skrilla remix",Pashanim,241222,https://open.spotify.com/track/6fuO9uk9wbjCHvQJqk2Qpx
15,"It's Beginning to Look a Lot like Christmas","Michael Bublé",241222,https://open.spotify.com/track/0lLdorYw7lVrJydTINhWdI
16,"Auf & Ab",Montez,241136,https://open.spotify.com/track/0RSZ8EmUPEN3ySfCgytPke
17,"Wonderful Dream (Holidays Are Coming) - Radio Version","Melanie Thornton",240596,https://open.spotify.com/track/0SvD6EdetxVtXei2JhkV4B
18,"Where Are You Now","Lost Frequencies",236932,https://open.spotify.com/track/3uUuGVFu1V7jTQL60S1r8z
19,"STAY (with Justin Bieber)","The Kid LAROI",230263,https://open.spotify.com/track/5PjdY0CKGZdEuoNab3yDmX
20,"Underneath the Tree","Kelly Clarkson",229819,https://open.spotify.com/track/3nAp4IvdMPPWEH9uuXFFV5
21,"Enemy (with JID) - from the series Arcane League of Legends","Imagine Dragons",220326,https://open.spotify.com/track/1r9xUipOqoNwggBpENDsvJ
22,"Easy On Me",Adele,215416,https://open.spotify.com/track/46IZ0fSY2mpAiktS3KOqds
