,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,Sommergewitter,Pashanim,886536,https://open.spotify.com/track/2H7jZg2HliuQhZjfBblLrZ
2,Beggin',Måneskin,640166,https://open.spotify.com/track/3Wrjm47oTz2sjIgck11l5e
3,"good 4 u","Olivia Rodrigo",544786,https://open.spotify.com/track/4ZtFanR9U6ndgddUvNcjcG
4,"I WANNA BE YOUR SLAVE",Måneskin,478214,https://open.spotify.com/track/4pt5fDVTg5GhEvEtlz9dKk
5,SCHMETTERLING,Luciano,413460,https://open.spotify.com/track/0it0PhmH2Tq2Xl5o49pdMo
6,"Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit",Riton,385576,https://open.spotify.com/track/4cG7HUWYHBV6R6tHn1gxrl
7,"Ramenez la coupe à la maison",Vegedream,381048,https://open.spotify.com/track/1m0UFnuTktOkksvjbF9z0m
8,"Nice To Meet Ya (feat. Yxng Bane)","Wes Nelson",357813,https://open.spotify.com/track/1YHjRAptXqPdsdx3g6FNJL
9,"MONTERO (Call Me By Your Name)","Lil Nas X",351556,https://open.spotify.com/track/67BtfxlNbhBmCDR2L2l8qd
10,GTA,Dardan,349279,https://open.spotify.com/track/1bQduKjv7s88QkGmzcxHMh
11,"Bad Habits","Ed Sheeran",332967,https://open.spotify.com/track/6PQ88X9TkUIAUIZJHW2upE
12,"Vergib mir",NGEE,332265,https://open.spotify.com/track/6uMbcYQjDxHeZNMyQqT2t3
13,"Liege wieder wach",Jamule,270101,https://open.spotify.com/track/2knDuFWczh1Wv92eBAdPTa
14,"Iko Iko (My Bestie)","Justin Wellington",266643,https://open.spotify.com/track/7MC4XR9M9amdmKQr2iDF7i
15,"Ich darf das","Shirin David",265661,https://open.spotify.com/track/4txsSBdT4yVJtUj41YaQEB
16,Durstlöscher,01099,264074,https://open.spotify.com/track/51S7lhJk6AHiFg0PhJupfz
17,"Levitating (feat. DaBaby)","Dua Lipa",258433,https://open.spotify.com/track/5nujrmhLynf4yMoMtj8AQF
18,GHETTOGIRL,Capo,251586,https://open.spotify.com/track/3idbCPumlga23rxFA08fZE
19,MAHALLE,Capo,243775,https://open.spotify.com/track/7eXnaPqRon4nlnRRdaNubB
20,Herzalarm,FiNCH,239075,https://open.spotify.com/track/4bLeejo8b8IuSWxwdKXEvY
21,"Oh Digga",Loredana,236314,https://open.spotify.com/track/68g2bb1Vb2NfARwZ4pLA4Z
22,"Insomnia (feat. Giant Rooks)",RIN,234923,https://open.spotify.com/track/3wvC1UaLIFHnUyq2u5KliM
23,Dinero,"Trinidad Cardona",232092,https://open.spotify.com/track/3ggtU1ZOKO8ZNiqPNyXGcm
24,Shawty,"PA Sports",231200,https://open.spotify.com/track/3quQYEq6YMZmSmHpc2UKkc
25,Extasy,"187 Strassenbande",223828,https://open.spotify.com/track/79lc69ZXfL4WmJIzVSDmWT
26,"Your Love (9PM)",ATB,217455,https://open.spotify.com/track/5YaskwnGDZFDRipaqzbwQx
27,"Peaches (feat. Daniel Caesar & Giveon)","Justin Bieber",215285,https://open.spotify.com/track/4iJyoBOLtHqaGxP12qzhQI
28,"Astronaut In The Ocean","Masked Wolf",210274,https://open.spotify.com/track/0BGwAKW4u8kWOhWFflZxfl
29,Rasputin,Majestic,204545,https://open.spotify.com/track/0b18g3G5spr4ZCkz7Y6Q0Q
30,Madonna,Bausa,203925,https://open.spotify.com/track/6a3kNt1UlUOapDKmEr3JzZ
31,"BLESSED (feat. Capital Bra)",CRO,201498,https://open.spotify.com/track/28tBoBognmn3BBdfjPzSw9
32,"Drink Ist Kalt",BHZ,200858,https://open.spotify.com/track/4rewc9tTT02T7Tfxpd0mo4
